# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 08:49:14
#
# Requested input R.A. = 28.390741666666663 degrees
# Requested input Dec. = 7.929975000000001 degrees
# Requested JD start = 2459218.948 days
# Requested JD end = 2459718.948 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 450 13 1 ZTF_r 1466124764915 0 2.005 143.342 7.29973 26.208 1.61856e-05 0.0251433 0.0882085 2.17951e-05 276 30. 0.081924 0.061972 20.2327 26.208 1 2459220.6247685 450120249 53.5793314906194 36.1170803800127 1.65021091746278 0.947764450517942 80.1125958180625 65.9326260939792 1.22325112070021 1.06559346245615 null null null null null 2458312.943588 2458353.000231 57
 1 450 13 1 ZTF_g 1466154954915 0 2.2927 87.7084 6.04118 26.2888 4.54746e-05 0.0419742 -0.100581 6.2421e-05 270 30. 0.110195 0.067374 20.3919 26.2888 1 2459220.6549537 450120149 35.9612294282529 31.4289546923875 1.27279773855244 1.03621061370988 19.2749270866951 52.6543981698619 0.368530369808917 1.11240977223916 null null null null null 2458315.944861 2458351.952674 57
 2 450 13 1 ZTF_g 1468149674915 0 2.1705 53.3403 8.16431 25.7385 5.33885e-05 0.0433005 -0.0697602 8.47345e-05 229 30. 0.093385 0.073384 19.5678 25.7385 1 2459222.6496759 450120149 1.76127532766709 38.9819739092227 0.0502595072109775 0.992872891006661 -24.2768279257834 69.083376934155 -0.353780241257217 1.08861530767349 null null null null null 2458315.944861 2458351.952674 57
 3 450 13 1 ZTF_r 1470123004915 0 2.2652 144.724 7.42239 26.2257 1.7414e-05 0.0260967 0.0791126 2.34394e-05 276 30. 0.082783 0.06512 20.1235 26.2257 1 2459224.6230093 450120249 -15.2297971784394 35.2720607969791 -0.480306082391318 0.954887742232957 -40.2488589441616 61.7501577511821 -0.656191640645473 1.05866362104523 null null null null null 2458312.943588 2458353.000231 57
 4 450 13 1 ZTF_g 1470163584915 0 2.8868 89.3938 7.35753 26.3055 4.43762e-05 0.0396798 -0.0829562 6.51561e-05 245 30. 0.11012 0.069411 20.0008 26.3055 1 2459224.663588 450120149 -3.47543905292406 44.5387359681504 -0.0868013721686315 0.955080587408926 -10.3399204384545 66.7048348608759 -0.156054061436846 1.12969563665779 null null null null null 2458315.944861 2458351.952674 57
 5 450 13 1 ZTF_g 1472173214915 0 3.3015 81.8623 6.72762 26.2194 4.63389e-05 0.0401535 -0.0663564 7.267e-05 234 30. 0.116186 0.086052 19.9076 26.2194 1 2459226.6732176 450120149 42.9633966352688 41.8955367529844 1.14073732285823 1.05284482814423 42.6931435218578 58.3347190538768 0.736794228153006 1.17200619313229 null null null null null 2458315.944861 2458351.952674 57
 6 450 13 1 ZTF_r 1474110334915 0 2.025 89.5491 11.8029 25.7127 2.57011e-05 0.0314781 0.085245 3.4199e-05 276 30. 0.074868 0.066777 19.1635 25.7127 1 2459228.6103356 450120249 -26.8117637531827 58.5950975843607 -0.509001313740655 0.947203259510405 -32.6740828763934 110.094127315375 -0.298782010508497 1.05327004142406 null null null null null 2458312.943588 2458353.000231 57
 7 450 13 1 ZTF_g 1474152474915 0 2.1003 49.8044 9.26276 25.6653 7.77347e-05 0.0492995 -0.0433606 0.000127986 210 30. 0.078666 0.066607 19.3789 25.6653 1 2459228.6524769 450120149 17.5104060105428 44.3748046069627 0.438949504824194 0.974613855926389 93.6820055181266 76.2419357220105 1.23702209711931 1.12056892545714 null null null null null 2458315.944861 2458351.952674 57
 8 450 13 1 ZTF_g 1476173194915 0 2.8063 87.1818 7.70545 26.2839 4.41744e-05 0.0407325 -0.0742662 6.47184e-05 252 30. 0.105606 0.070959 20.0047 26.2839 1 2459230.6731944 450120149 28.9371767836748 47.3958479459392 0.67915775031856 0.946555874850974 -50.1684199103865 72.9750810149722 -0.692103474260701 1.15166037951741 null null null null null 2458315.944861 2458351.952674 57
 9 450 13 1 ZTF_g 1478114444915 0 1.6346 90.2808 6.94164 26.3111 3.16288e-05 0.0353411 -0.0911966 4.25923e-05 277 30. 0.080501 0.067873 20.5367 26.3111 1 2459232.6144444 450120149 1.23537765496795 30.8008560844938 0.0446161154512045 0.971816911805872 -37.4633617130836 59.2948986770618 -0.636069551532308 1.08896403110523 null null null null null 2458315.944861 2458351.952674 57
