# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 14:34:21
#
# Requested input R.A. = 120.15535416666665 degrees
# Requested input Dec. = 46.19953888888889 degrees
# Requested JD start = 2459354.954 days
# Requested JD end = 2459854.954 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 748 6 2 ZTF_r 1697489562215 0 2.2538 155.696 13.9253 26.214 7.0267e-06 0.0295628 0.105931 1.09418e-05 899 30. 0.066321 0.06944 19.3936 26.214 1 2459451.9895602 748120222 10.8925745014595 60.1602118858869 0.201407659627401 1.0332271941828 97.4078930753952 106.047252998049 0.924719293213721 1.04948364909505 null null null null null 2458154.719630 2458363.983241 57
 1 748 6 2 ZTF_r 1697492002215 0 2.3376 154.714 13.7627 26.2051 9.2623e-06 0.0339216 0.120682 1.43675e-05 901 30. 0.063231 0.066483 19.3635 26.2051 1 2459451.9920023 748120222 -25.2852262898743 67.5219505851642 -0.41655913805471 0.928744924562824 -20.1654739254495 113.508832340914 -0.178852069340145 1.05629975228581 null null null null null 2458154.719630 2458363.983241 57
 2 748 6 2 ZTF_r 1697494442215 0 2.0838 155.741 14.0746 26.2039 6.8457e-06 0.029115 0.1191 1.0586e-05 898 30. 0.06173 0.063398 19.4615 26.2039 1 2459451.9944444 748120222 13.2604070932608 62.6185569277116 0.235563828069082 0.97159265308997 -38.853108748652 111.618287343223 -0.350433496181564 1.05147794843194 null null null null null 2458154.719630 2458363.983241 57
 3 748 6 2 ZTF_r 1697496892215 0 2.0782 156.895 13.7683 26.2149 5.9547e-06 0.027138 0.113434 9.21882e-06 900 30. 0.057466 0.063133 19.5051 26.2149 1 2459451.9968981 748120222 -14.1959181928138 58.601050930205 -0.269471527697823 0.970342908355968 -34.4295702260733 105.403064747065 -0.328846750762182 1.0498631515535 null null null null null 2458154.719630 2458363.983241 57
 4 748 6 2 ZTF_r 1697499342215 0 1.86 158.599 13.94 26.2137 5.9061e-06 0.0268835 0.114759 9.14654e-06 894 30. 0.055612 0.06395 19.5538 26.2137 1 2459451.9993403 748120222 -71.1662246306992 56.5962760414124 -1.39875248811924 1.0180784620729 -151.266182247775 105.672314121108 -1.4411056477269 1.0408254483614 null null null null null 2458154.719630 2458363.983241 57
 5 748 6 2 ZTF_r 1698491502215 33556480 1.8628 102.947 26.7849 25.3147 0.00255232 0.469213 0.175231 0.00417685 639 30. 0.065783 0.077884 17.8923 25.3147 1 2459452.9915046 748120222 -91.7709835469053 79.3049949361826 -1.28724035251732 0.997269231870897 33.8568111204446 147.801057020629 0.230612956215409 1.06059971496209 null null null null null 2458154.719630 2458363.983241 57
 6 748 6 2 ZTF_r 1698493962215 33556480 1.5984 83.9175 26.6828 25.5753 0.000647624 0.272738 0.151415 0.00101178 836 30. 0.053116 0.061498 18.2253 25.5753 1 2459452.9939699 748120222 11.5137600868156 70.4895534540684 0.181696774410909 0.922499863315818 -94.033805840558 138.012376962436 -0.685932167945247 1.05803965850729 null null null null null 2458154.719630 2458363.983241 57
 7 748 6 2 ZTF_r 1698496432215 33556480 1.6226 94.4673 16.7473 25.6942 0.00137147 0.391091 0.131194 0.00218368 818 30. 0.056327 0.064075 18.862 25.6942 1 2459452.9964352 748120222 -19.6259458729331 54.9152820999656 -0.397550385508802 1.16006660859721 -192.980945680441 107.455656624831 -1.80800796863629 1.0457844682004 null null null null null 2458154.719630 2458363.983241 57
 8 748 6 2 ZTF_r 1698498912215 33554432 1.5961 141.233 14.2165 26.0973 8.39295e-05 0.101195 0.113083 0.000130087 888 30. 0.050436 0.060942 19.5183 26.0973 1 2459452.998912 748120222 14.9207438888441 50.8322142202444 0.326517339563313 0.942717832518002 -70.7880308647327 100.036072033193 -0.712390949354178 1.03572938495812 null null null null null 2458154.719630 2458363.983241 57
