# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 22:03:57
#
# Requested input R.A. = 196.6435083333333 degrees
# Requested input Dec. = 54.96283888888889 degrees
# Requested JD start = 2459375.8619443984 days
# Requested JD end = 2459875.8619443984 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 791 12 2 ZTF_r 1623219534615 0 1.7188 185.408 6.30426 26.317 3.10325e-05 0.0385712 0.120364 4.47415e-05 327 30. 0.078465 0.063108 20.6131 26.317 1 2459377.719537 791120246 -41.973580199117 27.0307702460232 -1.72731838096359 0.900522290718849 -73.854765814659 53.7119931148294 -1.38427523537792 1.03737395637058 0.44599846727497 18.610000038147 0.115000002086163 7.02199983596802 0.888999998569489 2458182.874259 2458218.875845 0
 1 790 9 3 ZTF_r 1623239453515 0 1.7641 189.609 7.03422 26.3252 1.64417e-05 0.0277488 0.1152 2.29014e-05 322 30. 0.092791 0.066092 20.5119 26.3252 1 2459377.739456 790120235 -1.49629799090638 29.0098518886709 -0.0573756187918682 0.985251364789742 47.1357574394765 56.1637850265423 0.844907789874864 1.05713746546108 0.43302093822106 18.5680002212524 0.0890000015497208 6.10300016403198 0.690999984741211 2458184.894479 2458219.857512 0
 2 790 9 3 ZTF_g 1623348193515 0 1.917 211.349 6.96354 26.2316 2.64711e-05 0.0354877 -0.0555799 3.7565e-05 321 30. 0.116212 0.072692 20.3427 26.2316 1 2459377.8481944 790120135 -7.94830331619943 32.1124400052057 -0.275331516686193 0.957551708960599 113.258566211827 59.6867324191526 1.91033022834732 1.05881564754682 0.37609827293328 19.258000087738 0.0780000016093254 5.15999984741211 0.270000010728836 2458166.937269 2458227.817049 0
 3 791 12 2 ZTF_g 1623350054615 0 1.9158 248.516 6.80033 26.2537 2.12253e-05 0.0319135 -0.0523785 3.11728e-05 326 30. 0.105099 0.065919 20.3948 26.2537 1 2459377.8500579 791120146 34.5839374898567 31.5681423208771 1.21865342320845 0.916173715547664 -17.0617619900429 57.6006476669722 -0.298202791711694 1.05399153417127 0.867842843038745 19.6299998283386 0.0820000022649765 2.57999992370605 0.24099999666214 2458202.803009 2458214.776377 0
 4 791 12 2 ZTF_g 1625198144615 33554432 2.7961 344.076 5.6353 26.7635 0.000365279 0.125895 -0.0306937 0.000563429 281 30. 0.083601 0.070241 20.7407 26.7635 1 2459379.6981481 791120146 -261.163100367164 32.6606291360727 -8.89492049308548 1.00826528513991 -532.581053457261 51.3484477882348 -10.4417570654813 1.0816373166204 0.867842843038745 19.6299998283386 0.0820000022649765 2.57999992370605 0.24099999666214 2458202.803009 2458214.776377 0
 5 790 9 3 ZTF_r 1625219473515 0 1.5097 189.905 6.75154 26.3428 1.68226e-05 0.028474 0.110456 2.36914e-05 326 30. 0.090451 0.078035 20.6222 26.3428 1 2459379.7194792 790120235 6.61110147597007 26.1730942975198 0.280978800762186 0.994723514975041 66.5890433987787 52.2341095851102 1.28340513449422 1.04248522028891 0.43302093822106 18.5680002212524 0.0890000015497208 6.10300016403198 0.690999984741211 2458184.894479 2458219.857512 0
 6 791 12 2 ZTF_r 1625219954615 0 1.5135 186.297 6.36089 26.3361 1.44662e-05 0.0262096 0.115195 2.08354e-05 327 30. 0.078278 0.0793 20.6657 26.3361 1 2459379.7199537 791120246 -57.0647247286891 23.5793473699088 -2.69209726753035 0.976863013092833 -112.438528448748 47.8475659635494 -2.36575897075358 1.03362611705601 0.44599846727497 18.610000038147 0.115000002086163 7.02199983596802 0.888999998569489 2458182.874259 2458218.875845 0
 7 791 12 2 ZTF_r 1627205834615 0 2.354 135.735 9.32945 26.0021 3.63752e-05 0.0414126 0.14141 5.23376e-05 324 30. 0.081241 0.069423 19.6326 26.0021 1 2459381.7058333 791120246 43.2458649625101 43.7730767304828 1.09898639357933 1.08640174121032 153.116945844697 76.9342096381664 2.00363658780032 1.05093687422134 0.44599846727497 18.610000038147 0.115000002086163 7.02199983596802 0.888999998569489 2458182.874259 2458218.875845 0
 8 791 12 2 ZTF_g 1627303794615 33554432 1.8187 106.438 7.26691 25.2949 5.78401e-05 0.0494322 -0.0283971 9.93406e-05 266 30. 0.087397 0.061367 19.4043 25.2949 1 2459381.8037963 791120146 18.1823344683762 31.9701698702859 0.632644154624149 1.02285469875515 -17.5989902438764 61.3121715692956 -0.288972319887588 1.04807959628253 0.867842843038745 19.6299998283386 0.0820000022649765 2.57999992370605 0.24099999666214 2458202.803009 2458214.776377 0
