# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 13:39:33
#
# Requested input R.A. = 255.92858333333328 degrees
# Requested input Dec. = 78.65645 degrees
# Requested JD start = 2459387.864 days
# Requested JD end = 2459887.864 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 864 14 2 ZTF_r 1633404315415 33554432 1.7111 127.534 19.3602 25.4807 2.60689e-05 0.0526026 0.10661 4.49601e-05 732 30. 0.055449 0.073192 18.5742 25.4807 1 2459387.9043171 864120254 110.624079469933 61.3969539835621 2.00427655071897 1.12891513036041 113.178653008293 121.350327007962 0.938941991813106 1.04549097214979 0.591349640244182 17.0979999542236 0.0410000011324883 3.90799999237061 0.181999996304512 2458187.015961 2458261.811562 0
 1 864 14 2 ZTF_g 1637240895415 0 2.1709 144.434 13.213 26.2724 1.36332e-05 0.0370339 -0.0502093 2.76899e-05 692 30. 0.055403 0.073771 19.5953 26.2724 1 2459391.7408912 864120154 18.4385924676199 57.5159841474129 0.356610405566064 1.08338316112457 -10.9062039031238 99.6739912984158 -0.110155695290927 1.07625165704574 0.606215253130662 17.989999961853 0.0480000004172325 3.46000003814697 0.216999992728233 2458202.844965 2458320.932859 0
 2 864 14 2 ZTF_r 1637327815415 0 1.7473 241.18 12.7224 26.2402 5.266e-06 0.0251894 0.0947003 8.87453e-06 814 30. 0.05338 0.067375 19.8629 26.2402 1 2459391.8278125 864120254 -44.4601173446109 46.4585125716947 -1.06453539138725 1.03666802477627 2.57579710157237 90.3070951406934 0.0287147453830702 1.03583957312187 0.591349640244182 17.0979999542236 0.0410000011324883 3.90799999237061 0.181999996304512 2458187.015961 2458261.811562 0
 3 864 14 2 ZTF_g 1639319285415 0 2.3386 142.685 11.0509 26.2237 1.18678e-05 0.0358409 -0.0260344 2.27134e-05 738 30. 0.06083 0.079402 19.7622 26.2237 1 2459393.8192824 864120154 -28.2590792459862 53.7100227652017 -0.585271628614862 0.998024130597268 -18.9876502277191 90.730116114703 -0.210685646211333 1.09296916188107 0.606215253130662 17.989999961853 0.0480000004172325 3.46000003814697 0.216999992728233 2458202.844965 2458320.932859 0
 4 864 14 2 ZTF_r 1639409295415 0 1.688 236.499 11.6721 26.1899 4.6889e-06 0.0239758 0.10255 7.93232e-06 828 30. 0.05778 0.067706 19.9084 26.1899 1 2459393.909294 864120254 -69.0797997027732 41.9580416515447 -1.83143142145212 1.1093852149577 -131.46125843488 81.1587730514235 -1.63071289274166 1.03892338832786 0.591349640244182 17.0979999542236 0.0410000011324883 3.90799999237061 0.181999996304512 2458187.015961 2458261.811562 0
 5 864 14 2 ZTF_g 1641282765415 33554432 1.8595 23.1683 8.09893 24.2182 0.000326124 0.1115 0.0246092 0.000894416 338 30. 0.063528 0.092878 18.1599 24.2182 1 2459395.7827662 864120154 -37.4315604655353 37.7391848725102 -1.10331676672774 0.984235164200639 -0.627858666980992 69.9964915218379 -0.0090302716248242 1.06156767338588 0.606215253130662 17.989999961853 0.0480000004172325 3.46000003814697 0.216999992728233 2458202.844965 2458320.932859 0
 6 864 14 2 ZTF_g 1643308395415 0 1.888 136.582 6.69267 26.2022 7.405e-06 0.0295996 -0.0667144 1.27746e-05 802 30. 0.059737 0.068621 20.3843 26.2022 1 2459397.8083912 864120154 -27.607179530943 28.0304345309924 -1.09558735300304 1.08822016015539 95.8539002516155 51.6723395648018 1.86752685474472 1.0651575205055 0.606215253130662 17.989999961853 0.0480000004172325 3.46000003814697 0.216999992728233 2458202.844965 2458320.932859 0
 7 864 14 2 ZTF_r 1643360065415 0 1.6342 232.165 8.17479 26.1834 3.8279e-06 0.0216212 0.0967905 6.39101e-06 833 30. 0.048634 0.070448 20.3507 26.1834 1 2459397.8600694 864120254 3.924040326947 28.3636696786763 0.153895472742136 1.02288291458559 7.01832502642854 55.0930807798074 0.128248298139644 1.03436853400439 0.591349640244182 17.0979999542236 0.0410000011324883 3.90799999237061 0.181999996304512 2458187.015961 2458261.811562 0
 8 864 14 2 ZTF_g 1646309885415 33554432 2.8432 137.72 6.39345 26.2219 3.91233e-05 0.0670647 -0.0726202 6.92703e-05 781 30. 0.075892 0.107557 20.0956 26.2219 1 2459400.8098843 864120154 -70.9363219220852 32.4555993548748 -2.43127359732353 1.22191286965947 -33.520032407299 50.0392231502444 -0.674386803584287 1.08797129016853 0.606215253130662 17.989999961853 0.0480000004172325 3.46000003814697 0.216999992728233 2458202.844965 2458320.932859 0
