# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 15:19:50
#
# Requested input R.A. = 198.71875416666666 degrees
# Requested input Dec. = 54.79802222222222 degrees
# Requested JD start = 2459387.891979201 days
# Requested JD end = 2459887.891979201 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 791 8 0 ZTF_g 1637220232815 0 2.5903 227.019 10.852 26.3159 3.54219e-05 0.0400996 -0.0484248 6.43769e-05 258 30. 0.090236 0.075241 19.6783 26.3159 1 2459391.7202315 791120128 3.20020720424911 62.9030712473156 0.0565927827327312 0.89538215854683 -19.8500734853062 101.719274663826 -0.196459962365507 1.06873832531849 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 1 791 8 0 ZTF_r 1637304782815 0 1.9961 193.294 13.1423 26.2738 2.0683e-05 0.0326012 0.120762 3.02733e-05 314 30. 0.08973 0.076856 19.6668 26.2738 1 2459391.8047801 791120228 86.7806017172232 56.2931067861707 1.71483461092604 1.02982375397877 17.4960785421209 103.498006261786 0.170186038107682 1.04726458988654 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 2 791 8 0 ZTF_r 1639228102815 0 1.7133 196.894 6.3664 26.2854 1.14639e-05 0.0243998 0.115733 1.67949e-05 316 30. 0.087951 0.062986 20.5773 26.2854 1 2459393.7281019 791120228 -21.6537435180203 26.2329718195958 -0.918206360348794 1.44841360576056 -12.7436201239379 51.1626726249992 -0.250757993678518 1.03783341297365 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 3 791 8 0 ZTF_g 1641240742815 33554432 1.8928 119.902 6.19312 25.6033 3.83496e-05 0.0434905 -0.0651907 6.46164e-05 281 30. 0.088527 0.065079 19.8733 25.6033 1 2459395.7407407 791120128 6.27492208579988 29.0799126662239 0.240032495804111 0.955386227484736 -44.4933721140339 55.2657163568771 -0.810503156168174 1.04719967643863 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 4 791 8 0 ZTF_r 1643218192815 0 1.4038 195.402 6.69926 26.2777 1.71549e-05 0.0296918 0.117547 2.50257e-05 314 30. 0.088175 0.074977 20.5726 26.2777 1 2459397.7181944 791120228 18.9260360255024 26.1924684285678 0.803781552310522 1.62037053168136 5.81442061986358 52.0867905719711 0.112381296927525 1.03339319700815 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 5 791 8 0 ZTF_g 1643261942815 0 1.9638 207.86 5.82406 26.2147 2.04021e-05 0.0325204 -0.0733986 3.01073e-05 312 30. 0.087817 0.067816 20.5124 26.2147 1 2459397.7619444 791120128 6.02069706148251 32.1184856417966 0.208519423870135 1.48793484268081 -72.8468282960138 59.0368371657447 -1.24223212822072 1.05124998807483 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 6 791 8 0 ZTF_r 1646204202815 0 1.847 195.869 6.67214 26.2902 1.30909e-05 0.0259806 0.113772 1.90659e-05 315 30. 0.087964 0.075462 20.4947 26.2902 1 2459400.7042014 791120228 1.09361493137341 29.623775686538 0.0410656613757334 1.29383815869236 -1.58713264074423 55.699228583681 -0.0286866104078022 1.04475026173216 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 7 791 8 0 ZTF_g 1646280452815 0 2.4832 194.911 6.26954 26.1486 2.62023e-05 0.0368052 -0.0572414 4.04029e-05 304 30. 0.100809 0.07369 20.1481 26.1486 1 2459400.7804514 791120128 14.7397609713861 37.8027449413001 0.433732440430012 0.806730770117236 34.0770512129442 63.0098974065185 0.54446306890724 1.06113978284361 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 8 791 8 0 ZTF_r 1648229162815 0 2.0809 197.031 6.69068 26.2794 1.36813e-05 0.0266826 0.12804 1.99866e-05 318 30. 0.087082 0.067251 20.3733 26.2794 1 2459402.7291667 791120228 -87.4806545882987 31.8576377372496 -3.05459232131781 1.13317635378493 -174.303605411194 57.7857766903702 -3.03669103839221 1.04567622516956 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 9 791 8 0 ZTF_r 1650219812815 0 1.503 181.175 7.15849 26.1946 1.43135e-05 0.0269866 0.115598 2.08947e-05 311 30. 0.082025 0.065734 20.4237 26.1946 1 2459404.7198148 791120228 -13.9585758548647 29.6862483634381 -0.523046855515328 1.54579479948599 -61.3681892311617 59.0247161679898 -1.04670571122461 1.03494759468643 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 10 791 8 0 ZTF_g 1652202382815 0 2.6965 198.59 5.828 26.1516 2.26572e-05 0.0337615 -0.0502584 3.53301e-05 299 30. 0.095638 0.069167 20.1522 26.1516 1 2459406.7023843 791120128 -20.6263575407051 36.1696254132813 -0.634356408525396 0.858797886541824 12.4433129499524 56.6424048783637 0.221161502685072 1.07381568867932 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 11 791 8 0 ZTF_r 1652246342815 0 1.9088 174.155 7.69845 26.1527 1.47601e-05 0.0277289 0.116849 2.17734e-05 313 30. 0.08211 0.067109 20.1733 26.1527 1 2459406.7463426 791120228 null null null null null null null null 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 61
 12 791 8 0 ZTF_g 1654196772815 0 1.7455 157.878 6.16935 25.9079 2.80993e-05 0.0377527 -0.0733875 4.23855e-05 304 30. 0.089056 0.066255 20.249 25.9079 1 2459408.6967708 791120128 -34.2737844576697 23.5556142504788 -1.61853624253 1.03487215349124 -112.19194287768 47.2706131837785 -2.38938220726686 1.03982541640476 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 13 791 8 0 ZTF_r 1654221522815 0 1.53 151.689 8.62691 25.9806 1.70993e-05 0.02975 0.129035 2.50071e-05 315 30. 0.097145 0.066386 20.0222 25.9806 1 2459408.7215278 791120228 null null null null null null null null 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 61
 14 791 8 0 ZTF_r 1656217002815 0 1.38 161.846 9.33426 26.0979 1.71302e-05 0.0296311 0.108419 2.5012e-05 312 30. 0.099376 0.084195 20.0947 26.0979 1 2459410.7170023 791120228 -15.1191650652447 36.022367038115 -0.466885474508851 1.17586977659039 -17.8236106376284 74.5180969607984 -0.240795919549479 1.03053219982235 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 15 791 8 0 ZTF_r 1658218772815 0 1.5345 172.884 10.5803 26.1443 1.71082e-05 0.0297063 0.116069 2.49733e-05 314 30. 0.088321 0.074219 19.964 26.1443 1 2459412.7187731 791120228 7.47910211838252 40.2750584423028 0.206570397325257 1.14493578673333 6.67334491119766 80.0826093193164 0.0838920001512035 1.03804294418007 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 0
 16 791 8 0 ZTF_g 1658240852815 0 1.7699 176.306 9.40994 26.0373 2.50295e-05 0.0350527 -0.0629782 4.1778e-05 284 30. 0.093123 0.059929 19.893 26.0373 1 2459412.7408565 791120128 -28.2017140513419 38.5842090346433 -0.813056458769458 0.973449746815705 2.18027093284864 75.4893740497043 0.0290763463156794 1.04202856255479 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 17 791 8 0 ZTF_g 1665198192815 0 1.9489 168.192 17.9976 26.0348 3.66125e-05 0.0351468 -0.0631505 7.93401e-05 206 30. 0.083753 0.068069 19.0791 26.0348 1 2459419.6981944 791120128 -153.172386648113 80.2139157332157 -2.12415186430219 0.961365286264807 -164.081376332689 152.770150832266 -1.08127453525959 1.0459083235653 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 0
 18 791 8 0 ZTF_r 1782509032815 0 1.7919 183.656 14.0793 26.2128 2.45291e-05 0.0354278 0.124811 3.59887e-05 312 30. 0.089684 0.066167 19.6127 26.2128 1 2459537.0090394 791120228 null null null null null null null null 2.32601712612567 20.6199997901916 0.116999998688698 3.19799995422363 0.310000002384186 2458182.874259 2458219.856076 61
 19 791 8 0 ZTF_g 1782529002815 0 2.3263 207.929 13.8483 26.2354 3.76339e-05 0.0384862 -0.0761128 7.921e-05 232 30. 0.090195 0.068364 19.4163 26.2354 1 2459537.0290046 791120128 null null null null null null null null 3.51384077370036 19.7859999656677 0.0979999974370003 4.90799999237061 0.330000013113022 2458202.803009 2458227.851852 61
