# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-04 at 14:13:06
#
# Requested input R.A. = 216.97839166666662 degrees
# Requested input Dec. = 63.91336666666667 degrees
# Requested JD start = 2459387.86479 days
# Requested JD end = 2459887.86479 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 822 11 1 ZTF_g 1637224494115 0 2.2837 166.709 11.9209 26.3517 2.60798e-05 0.0403028 -0.0501293 4.6864e-05 360 30. 0.087615 0.081884 19.761 26.3517 1 2459391.7244907 822120141 114.632365604619 56.8722367451891 2.24213494157469 1.0489616314862 -142.077834642439 96.3936405564126 -1.48386072159483 1.06469099858882 0.494162163512258 18.7890002250671 0.0439999997615814 3.53600001335144 0.133000001311302 2458202.807349 2458230.892014 0
 1 822 11 1 ZTF_r 1637291584115 0 1.8666 188.436 12.7276 26.3698 1.09656e-05 0.0270779 0.11556 1.66918e-05 414 30. 0.083005 0.07566 19.8281 26.3698 1 2459391.7915856 822120241 203.913708427618 55.5877868734165 4.08057947024843 1.04764267751522 294.000062763304 103.690317952004 2.85446294260844 1.04833061067382 0.514338490407733 17.7070001602173 0.0529999993741512 3.53600001335144 0.268999993801117 2458187.013391 2458218.943692 0
 2 822 11 1 ZTF_r 1639241734115 0 1.864 186.637 7.52755 26.3461 7.6481e-06 0.0227509 0.115929 1.18736e-05 412 30. 0.077646 0.073355 20.442 26.3461 1 2459393.7417361 822120241 273.896438758732 32.6247464854176 9.33886378709207 1.0495571250457 207.313331418318 59.2710525586246 3.52127370147072 1.05376745051705 0.514338490407733 17.7070001602173 0.0529999993741512 3.53600001335144 0.268999993801117 2458187.013391 2458218.943692 0
 3 822 11 1 ZTF_g 1639260344115 0 2.1444 160.303 7.82845 26.3156 1.61085e-05 0.0325654 -0.0656835 2.55083e-05 401 30. 0.084126 0.075833 20.2631 26.3156 1 2459393.7603472 822120141 270.843008618404 33.0977951420071 9.10276575408157 1.07837304180675 286.877150370042 57.6280997456006 5.01160520229167 1.05773288995831 0.494162163512258 18.7890002250671 0.0439999997615814 3.53600001335144 0.133000001311302 2458202.807349 2458230.892014 0
 4 822 11 1 ZTF_g 1641262654115 0 1.7863 96.0327 6.86517 25.7372 2.07816e-05 0.0367962 -0.0489678 3.45438e-05 384 30. 0.082843 0.076196 19.9641 25.7372 1 2459395.7626505 822120141 142.164838595634 24.8332402489117 6.36815473234616 1.06378188435791 64.0685924484034 46.4616432204746 1.38824401450141 1.04892897609332 0.494162163512258 18.7890002250671 0.0439999997615814 3.53600001335144 0.133000001311302 2458202.807349 2458230.892014 0
 5 822 11 1 ZTF_g 1643259574115 0 2.0945 157.891 6.67344 26.2822 1.36532e-05 0.0300082 -0.0514752 2.11698e-05 404 30. 0.089702 0.081628 20.4282 26.2822 1 2459397.7595718 822120141 237.002214366615 29.3313325070097 8.98825555108666 1.01017582341249 288.825550473131 51.3919300292516 5.65790790514418 1.05505441340843 0.494162163512258 18.7890002250671 0.0439999997615814 3.53600001335144 0.133000001311302 2458202.807349 2458230.892014 0
 6 822 11 1 ZTF_r 1643348554115 0 1.9657 176.268 8.78659 26.2718 9.0313e-06 0.0243356 0.120135 1.37588e-05 409 30. 0.08238 0.072533 20.1127 26.2718 1 2459397.8485532 822120241 339.309783021171 38.8485375143583 9.7157539646539 1.10091816671511 209.242955587499 69.2449289586092 3.04213206801138 1.0548438003129 0.514338490407733 17.7070001602173 0.0529999993741512 3.53600001335144 0.268999993801117 2458187.013391 2458218.943692 0
 7 822 11 1 ZTF_r 1646207024115 0 2.0449 186.631 7.44694 26.3704 1.13438e-05 0.0275043 0.116979 1.74754e-05 409 30. 0.075921 0.075301 20.3438 26.3704 1 2459400.7070255 822120241 357.048137355106 36.6486061486163 10.8373752437302 1.06989821809428 274.63425184493 65.0917759614012 4.24760156330831 1.04971436563876 0.514338490407733 17.7070001602173 0.0529999993741512 3.53600001335144 0.268999993801117 2458187.013391 2458218.943692 0
 8 822 11 1 ZTF_g 1646283314115 0 2.3233 152.282 6.28243 26.2492 1.68505e-05 0.0337238 -0.0527687 2.60032e-05 409 30. 0.090954 0.08347 20.3482 26.2492 1 2459400.7833102 822120141 281.112801545765 29.5932094755698 10.566796802651 1.16973288367999 286.826616081419 48.8485353574303 5.91130128529734 1.06115882689376 0.494162163512258 18.7890002250671 0.0439999997615814 3.53600001335144 0.133000001311302 2458202.807349 2458230.892014 0
 9 822 11 1 ZTF_r 1648235944115 0 1.7986 189.189 7.35445 26.3543 7.7786e-06 0.0227237 0.112043 1.19094e-05 409 30. 0.076959 0.072394 20.4955 26.3543 1 2459402.7359491 822120241 234.643515929934 30.9591045586243 8.43091998745646 1.03863759805419 153.393839693041 57.002430127187 2.70912934210538 1.04716700171241 0.514338490407733 17.7070001602173 0.0529999993741512 3.53600001335144 0.268999993801117 2458187.013391 2458218.943692 0
