,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58472.2723495001,718272340215015017,2,718272340215,19.319,1,718,3.09442,19.4591,19.2763,0.225391,0.3139,85.3075011,-13.2242622,0.356667,t12_f5_c3,19.0247,0.3197,False,False,False,bulk_1.0.0,0.0,737238090215015003,,
1,ztf,58476.28188659996,722281880215015008,1,722281880215,19.261747,1,722,2.0380433,18.381845,18.4447,0.14781927,0.1624,85.3073263,-13.2241976,0.35,t8_f5_c3,18.5687,0.2335,False,False,False,bulk_1.0.0,0.0,737238090215015003,0.0,356120102.0
2,ztf,58476.30608800007,722306080215015017,2,722306080215,19.476955,1,722,3.3936484,18.128092,18.0899,0.09624813,0.1034,85.3073733,-13.224198,0.5566667,t8_f5_c3,18.0088,0.1229,False,False,False,bulk_1.0.0,0.0,737238090215015003,0.0,356120202.0
3,ztf,58480.271620399784,726271620215015037,1,726271620215,19.88998,1,726,2.033655,17.585375,17.5637,0.06774449,0.0278,85.307311,-13.2241898,0.46333334,t8_f5_c3,17.5067,0.0328,False,False,False,bulk_1.0.0,0.0,737238090215015003,0.0,356120102.0
4,ztf,58480.29392360011,726293920215015055,2,726293920215,19.738169,1,726,3.4100254,17.64512,17.6528,0.058666687,0.0428,85.3073097,-13.2242093,0.6433333,t8_f5_c3,17.687,0.0557,False,False,False,bulk_1.0.0,0.0,737238090215015003,0.0,356120202.0
5,ztf,58487.22874999978,733228750215015008,1,733228750215,20.382158,1,733,2.005748,17.23134,17.2456,0.037697833,0.021,85.3073244,-13.2241869,0.7133333,t8_f5_c3,17.2426,0.0257,False,False,False,bulk_1.0.0,0.0,737238090215015003,0.0,356120102.0
6,ztf,58491.20863430016,737208630215015010,1,737208630215,20.436592,1,737,2.0083835,17.309006,17.3161,0.049736653,0.022,85.307336,-13.2241918,0.72333336,t8_f5_c3,17.2936,0.0263,False,False,False,bulk_1.0.0,0.0,737238090215015003,0.0,356120102.0
7,ztf,58491.2380903,737238090215015003,2,737238090215,20.017628,1,737,3.4368596,17.212637,17.1718,0.050354242,0.0259,85.3073326,-13.224195,0.73,t8_f5_c3,17.1839,0.0326,False,False,False,bulk_1.0.0,0.0,755229290215015012,0.0,356120202.0
8,ztf,58495.270694400184,741270690215015019,1,741270690215,20.198578,1,741,2.0144339,17.522558,17.5331,0.05214958,0.0272,85.3073316,-13.2241922,0.62,t15_f5_c3,17.5403,0.0338,False,False,False,bulk_1.0.0,0.0,755229290215015012,0.0,356120102.0
9,ztf,58503.27222219994,749272220215015005,2,749272220215,18.1628,1,749,3.39447,17.5753,17.5917,0.133325,0.1442,85.3073856,-13.2241948,0.171429,t15_f5_c3,17.5552,0.179,False,False,False,bulk_1.0.0,0.0,755229290215015012,,
10,ztf,58506.23202549992,752232020215015020,2,752232020215,19.231878,1,752,3.437042,17.642626,17.6409,0.08521642,0.0634,85.3073441,-13.2241921,0.40714285,t15_f5_c3,17.6362,0.0805,False,False,False,bulk_1.0.0,0.0,780191030215015004,0.0,356120202.0
11,ztf,58509.22929400019,755229290215015012,1,755229290215,19.98426,1,755,2.0980756,18.517445,18.4916,0.09790816,0.066,85.3073442,-13.2242215,0.44285715,t15_f5_c3,18.5501,0.088,False,False,False,bulk_1.0.0,0.0,780191030215015004,0.0,356120102.0
12,ztf,58509.25342589989,755253420215015039,2,755253420215,19.62906,1,755,3.5016925,17.699205,17.7689,0.07296704,0.047,85.3073312,-13.224177,0.44285715,t15_f5_c3,17.7478,0.0583,False,False,False,bulk_1.0.0,0.0,780191030215015004,0.0,356120202.0
13,ztf,58514.206249999814,760206250215015013,1,760206250215,20.281359,1,760,2.0629401,18.80546,18.8048,0.09689669,0.0962,85.307337,-13.2242082,0.6785714,t15_f5_c3,18.8626,0.1286,False,False,False,bulk_1.0.0,0.0,780191030215015004,0.0,356120102.0
14,ztf,58534.17039350001,780170390215015015,1,780170390215,18.8109,1,780,2.45426,19.3421,19.2694,0.357087,0.3921,85.30724,-13.2242886,0.222857,t15_f5_c3,19.3032,0.5195,False,False,False,bulk_1.0.0,0.0,780191030215015004,,
15,ztf,58534.19103009999,780191030215015004,2,780191030215,18.991058,1,780,3.4091175,18.75695,18.496,0.17330517,0.1745,85.3073118,-13.2242094,0.108571425,t15_f5_c3,18.2436,0.1776,False,False,False,bulk_1.0.0,0.0,793127340215015020,0.0,356120202.0
16,ztf,58542.132928200066,788132920215015006,1,788132920215,20.0336,1,788,2.11425,19.7939,19.9008,0.219325,0.2396,85.307231,-13.224177,0.111429,t15_f5_c3,19.8919,0.3039,False,False,False,bulk_1.0.0,0.0,793127340215015020,,
17,ztf,58547.12734950008,793127340215015020,2,793127340215,20.215193,1,793,3.399084,18.980707,19.0765,0.1596366,0.1363,85.3073316,-13.2242069,0.45285714,t15_f5_c3,19.0948,0.1767,False,False,False,bulk_1.0.0,0.0,793234060215015008,0.0,356120202.0
18,ztf,58547.23406249983,793234060215015008,1,793234060215,20.085688,1,793,2.0667052,19.836096,19.8539,0.18452792,0.2948,85.3073211,-13.2242051,0.51857144,t15_f5_c3,19.7183,0.3331,True,False,False,bulk_1.0.0,0.0,0,0.0,356120102.0
