,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58471.271365699824,717271365115015110,2,717271365115,18.2574,1,717,0.723206,18.8288,17.125427,18.9489,0.264415,0.04712378,0.055072743,0.4801,86.2536307,-21.6091619,0.566667,t12_f5_c3,19.2592,0.8191,False,True,False,bulk_1.0.0,0.0,7.22311195115015e+17,,
1,ztf,58476.311192099936,722311195115015001,2,722311195115,19.386742,1,722,0.1731972,19.09963,17.176535,19.2866,0.15294915,100.0,0.026020091,0.3452,86.2534111,-21.6092066,0.7,t8_f5_c3,19.2231,0.4161,True,True,False,bulk_1.0.0,0.0,0.0,0.0,256120251.0
2,ztf,58481.28877309989,727288776215015024,1,727288776215,19.9003,1,727,0.303407,19.5625,18.029713,19.581,0.239076,0.051107664,0.058266744,0.2004,86.2534456,-21.6092649,0.493333,t12_f5_c3,19.3654,0.2083,False,True,False,bulk_1.0.0,0.0,7.5324815621501e+17,,
3,ztf,58481.28967589978,727289675115015013,1,727289675115,19.6547,1,727,0.779764,19.3662,18.011488,19.768,0.259357,0.068800904,0.07447551,0.2419,86.2531639,-21.6091669,0.583333,t12_f5_c3,19.6438,0.2737,False,True,False,bulk_1.0.0,0.0,7.5324815621501e+17,,
4,ztf,58507.24815970007,753248156215010003,2,753248156215,19.328001,-1,753,0.31787327,19.177713,17.382063,19.4271,0.20717481,100.0,0.03963478,0.3741,86.253315,-21.6091716,0.62857145,t15_f5_c3,19.2294,0.3979,True,True,False,bulk_1.0.0,0.0,0.0,0.0,257120262.0
5,ztf,58539.19004630018,785190046215010005,2,785190046215,19.750992,-1,785,0.40918553,19.217426,17.374628,19.363,0.113966875,100.0,0.020876568,0.2352,86.2533349,-21.609259,0.73285717,t15_f5_c3,19.2989,0.2808,True,True,False,bulk_1.0.0,0.0,0.0,0.0,257120262.0
6,ztf,58758.52261570003,1004522616215010005,2,1004522616215,19.943855,-1,1004,0.4698168,19.169775,17.383587,19.1213,0.12937312,100.0,0.024967153,0.1854,86.2532721,-21.6091851,0.95285714,t17_f5_c3,19.1903,0.2496,False,True,False,bulk_1.0.0,0.0,1.00750107621501e+18,0.9999994,257120262.0
7,ztf,58761.501076399814,1007501076215010008,2,1007501076215,19.88657,-1,1007,0.23963904,19.194748,17.378834,19.165,0.12815078,100.0,0.024063315,0.1992,86.2533374,-21.6091733,0.94714284,t17_f5_c3,19.3609,0.3019,False,True,False,bulk_1.0.0,0.0,1.02245968621501e+18,0.9999994,257120262.0
8,ztf,58764.48254630016,1010482546215010010,2,1010482546215,19.983877,-1,1010,0.47623336,19.043524,17.409739,19.1614,0.122774474,100.0,0.027264254,0.1859,86.253302,-21.6092557,0.9342857,t17_f5_c3,18.9639,0.1954,False,True,False,bulk_1.0.0,0.0,1.02245968621501e+18,0.99999726,257120262.0
9,ztf,58770.47999999998,1016480006215010019,2,1016480006215,19.004,-1,1016,0.235392,19.2503,17.368711,19.6039,0.220628,100.0,0.038996503,0.5846,86.2533893,-21.6091042,0.735714,t17_f5_c3,19.4542,0.6522,False,True,False,bulk_1.0.0,0.0,1.02245968621501e+18,,
10,ztf,58776.459687499795,1022459686215010008,2,1022459686215,19.466097,-1,1022,0.13958049,19.060507,17.406002,19.278,0.14776509,100.0,0.032193627,0.2837,86.253381,-21.6091942,0.93857145,t17_f5_c3,19.2854,0.3635,False,True,False,bulk_1.0.0,0.0,1.03848019621501e+18,0.99999523,257120262.0
11,ztf,58779.52349539986,1025523496215010010,2,1025523496215,19.660954,-1,1025,0.2846062,19.125912,17.39226,19.6627,0.12828243,100.0,0.025984036,0.3699,86.2533339,-21.6091328,0.94285715,t17_f5_c3,19.5668,0.4302,False,True,False,bulk_1.0.0,0.0,1.03848019621501e+18,0.9999989,257120262.0
12,ztf,58782.459629599936,1028459626215010011,2,1028459626215,19.81184,-1,1028,0.24742897,19.099474,17.397696,18.9194,0.1318677,100.0,0.027505957,0.1696,86.2533734,-21.6092293,0.9728571,t17_f5_c3,18.7951,0.1916,False,True,False,bulk_1.0.0,0.0,1.03848019621501e+18,0.9999894,257120262.0
13,ztf,58785.48096060008,1031480966215010017,2,1031480966215,19.575071,-1,1031,0.32317773,19.050213,17.408258,18.7364,0.14510489,100.0,0.031981587,0.1434,86.2533135,-21.6091622,0.78,t17_f5_c3,18.6777,0.1722,False,True,False,bulk_1.0.0,0.0,1.03848019621501e+18,0.9996109,257120262.0
14,ztf,58792.48019680008,1038480196215010010,2,1038480196215,19.72502,-1,1038,0.42566934,19.31204,17.358154,19.4244,0.1952205,100.0,0.032282814,0.2663,86.2533897,-21.6092852,0.9057143,t17_f5_c3,19.4182,0.3364,True,True,False,bulk_1.0.0,0.0,0.0,0.99996734,257120262.0
15,ztf,58861.29475690005,1107294756215010015,2,1107294756215,18.9455,-1,1107,0.842313,19.3137,17.357882,19.307,0.300653,100.0,0.049629293,0.3146,86.253436,-21.6094042,0.58,t17_f5_c3,18.8157,0.2555,False,True,False,bulk_1.0.0,0.0,1.11825281621501e+18,,
16,ztf,58872.25281250011,1118252816215010014,2,1118252816215,19.86951,-1,1118,0.4248437,19.022427,17.414478,19.173,0.17328419,100.0,0.039407585,0.1829,86.2533842,-21.6092851,0.9342857,t17_f5_c3,19.2864,0.2563,False,True,False,bulk_1.0.0,0.0,1.14021120621501e+18,0.99999857,257120262.0
17,ztf,58876.25182869984,1122251826215010013,2,1122251826215,19.816702,-1,1122,0.674166,19.13449,17.390532,19.1775,0.12513052,100.0,0.025106149,0.1842,86.253334,-21.6093428,0.9185714,t17_f5_c3,19.3993,0.2853,False,True,False,bulk_1.0.0,0.0,1.14021120621501e+18,0.99990207,257120262.0
18,ztf,58879.2725463002,1125272546215010009,2,1125272546215,18.9959,-1,1125,0.643229,19.3272,17.355669,19.3723,0.363394,100.0,0.05912419,0.2482,86.2536005,-21.6091267,0.537143,t17_f5_c3,19.7664,0.4539,False,True,False,bulk_1.0.0,0.0,1.14021120621501e+18,,
19,ztf,58894.21120369993,1140211206215010015,2,1140211206215,19.79544,-1,1140,0.09523974,19.046509,17.409077,19.079,0.13315795,100.0,0.029470937,0.1822,86.2534203,-21.6091938,0.94,t17_f5_c3,19.1936,0.2564,False,True,False,bulk_1.0.0,0.0,1.15916743621501e+18,0.99996805,257120262.0
20,ztf,58905.168831000105,1151168836215010004,2,1151168836215,19.1731,-1,1151,0.297081,19.1426,17.388912,19.4841,0.291834,100.0,0.058031093,0.2739,86.253361,-21.6090989,0.657143,t17_f5_c3,19.4145,0.3264,False,True,False,bulk_1.0.0,0.0,1.15916743621501e+18,,
21,ztf,58913.16743060015,1159167436215010005,2,1159167436215,19.229136,-1,1159,0.54840064,19.0772,17.4024,19.0177,0.19032326,100.0,0.04069785,0.2887,86.2532944,-21.6092779,0.91571426,t17_f5_c3,18.8766,0.3242,True,True,False,bulk_1.0.0,0.0,0.0,0.9999985,257120262.0
22,ztf,59137.48283560015,1383482836215010008,2,1383482836215,20.092756,-1,1383,0.4183402,19.089325,17.399824,19.0436,0.09523145,100.0,0.020089997,0.1561,86.2533206,-21.6090848,0.96428573,t17_f5_c3,19.0237,0.1929,False,True,False,bulk_1.0.0,0.0,1.38547181621501e+18,0.9999878,257120262.0
23,ztf,59139.471817099955,1385471816215010006,2,1385471816215,19.924576,-1,1385,0.16149332,18.975307,17.425486,18.7497,0.11594324,100.0,0.027817419,0.1454,86.2533852,-21.6091297,0.95714283,t17_f5_c3,18.6549,0.1684,False,True,False,bulk_1.0.0,0.0,1.41140037621501e+18,0.9999987,257120262.0
24,ztf,59141.49865739979,1387498656215010014,2,1387498656215,20.117636,-1,1387,0.123356625,19.233109,17.371778,19.3288,0.12766293,100.0,0.022989687,0.1798,86.2533752,-21.6091777,0.94,t17_f5_c3,19.2649,0.2127,False,True,False,bulk_1.0.0,0.0,1.41140037621501e+18,0.9999933,257120262.0
25,ztf,59143.459629599936,1389459626215010006,2,1389459626215,20.317001,-1,1389,0.27485654,19.217686,17.37458,19.2665,0.104968525,100.0,0.019222805,0.1593,86.2533279,-21.6091671,0.96,t17_f5_c3,19.3808,0.2213,False,True,False,bulk_1.0.0,0.0,1.39148296621501e+18,0.99999505,257120262.0
26,ztf,59145.48296299996,1391482966215010007,2,1391482966215,20.384363,-1,1391,0.42325437,19.262835,17.366512,19.0499,0.09354368,100.0,0.016311172,0.1287,86.2533238,-21.6090812,0.96,t17_f5_c3,18.9582,0.1473,False,True,False,bulk_1.0.0,0.0,1.39945124621501e+18,0.9999987,257120262.0
27,ztf,59152.45857639983,1398458576215010010,2,1398458576215,19.3208,-1,1398,0.160083,18.997,17.420345,19.0404,0.134151,100.0,0.03140018,0.2543,86.253392,-21.6092097,0.812857,t17_f5_c3,18.8619,0.2757,False,True,False,bulk_1.0.0,0.0,1.39945124621501e+18,,
28,ztf,59153.451249999925,1399451246215010009,2,1399451246215,19.115892,-1,1399,0.47473964,19.162823,17.384933,18.829,0.21164355,100.0,0.041157562,0.2404,86.2532729,-21.6091968,0.6785714,t17_f5_c3,18.7457,0.2851,False,True,False,bulk_1.0.0,0.0,1.42037868621501e+18,0.99967307,257120262.0
29,ztf,59155.418599499855,1401418596215010013,2,1401418596215,19.207,-1,1401,0.912952,19.1479,17.387861,18.7752,0.218322,100.0,0.043160032,0.2175,86.2534669,-21.6094197,0.704286,t17_f5_c3,18.7674,0.2762,False,True,False,bulk_1.0.0,0.0,1.42037868621501e+18,,
30,ztf,59165.40037039993,1411400376215010007,2,1411400376215,20.153273,-1,1411,0.45267403,19.33751,17.354,19.3307,0.13886423,100.0,0.022345338,0.1809,86.2532958,-21.6092341,0.89857143,t17_f5_c3,19.1766,0.197,False,True,False,bulk_1.0.0,0.0,1.42037868621501e+18,0.99983215,257120262.0
