,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58557.275358799845,803275353215025000,1,803275353215,19.273108,1,803,0.48209414,18.900085,17.567463,18.9369,0.18998739,0.048767388,0.055676974,0.1759,166.618887,-22.7405901,0.5042857,t15_f5_c3,0.0,18.7624,0.1904,267120132.0,False,True,False,bulk_1.0.0,0.0,8.14230083215015e+17
1,ztf,58560.25085650012,806250853215015012,1,806250853215,18.918255,1,806,0.43197235,18.596855,17.469503,18.5238,0.16178186,0.051752057,0.057278216,0.2045,166.6187495,-22.7407568,0.4,t15_f5_c3,0.0,18.6425,0.2919,267120132.0,False,True,False,bulk_1.0.0,0.0,8.14230083215015e+17
2,ztf,58568.2300809999,814230083215015005,1,814230083215,20.10471,1,814,0.20645975,18.699112,17.504618,18.6581,0.11895263,0.030405967,0.03958914,0.097,166.6188232,-22.7406949,0.5757143,t15_f5_c3,0.0,18.5555,0.1099,267120132.0,True,True,False,bulk_1.0.0,0.0,0.0
3,ztf,59201.50370369991,1447503703215010050,2,1447503703215,19.699463,-1,1447,0.7320188,19.68863,17.053902,19.8369,0.17317595,100.0,0.015296657,0.3841,166.6186546,-22.7407943,0.5557143,t17_f5_c3,0.9999205,19.984,0.5529,267120232.0,True,True,False,bulk_1.0.0,0.0,0.0
4,ztf,59264.398287000135,1510398284515010010,1,1510398284515,20.1462,-1,1510,0.508785,20.2782,17.922413,20.1289,0.26469,100.0,0.030228926,0.3513,166.6187307,-22.7407184,0.85,t17_f5_c3,,20.3503,0.5429,,False,True,False,correction_0.0.1,0.0,
5,ztf,59278.313819400035,1524313814515010005,1,1524313814515,20.0407,-1,1524,0.945834,20.1518,17.937832,19.9724,0.251961,100.0,0.032790333,0.3118,166.6186622,-22.7408754,0.742857,t17_f5_c3,,20.4097,0.5885,,False,True,False,correction_0.0.1,0.0,
6,ztf,59290.33533560019,1536335334515010040,2,1536335334515,20.043118,-1,1536,0.8209606,18.782955,17.123035,18.3993,0.19630818,100.0,0.042556968,0.0698,166.6188478,-22.7409565,0.5542857,t17_f5_c3,0.9799843,18.2498,0.0758,268120245.0,True,True,False,correction_0.0.1,0.0,
7,ztf,59639.294444399886,1885294443215010006,2,1885294443215,19.535536,-1,1885,0.7816327,19.546358,17.067413,19.9823,0.21264036,100.0,0.021680411,0.4126,166.6186537,-22.7408208,0.69142854,t17_f5_c3,0.99969566,19.5689,0.354,267120232.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59671.33465280011,1917334653215010007,2,1917334653215,20.237991,-1,1917,0.3493842,19.769373,17.04705,19.5171,0.14009294,100.0,0.011415292,0.2146,166.618747,-22.7407021,0.8842857,t17_f5_c3,0.9997572,19.5015,0.2604,267120232.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59672.29461809993,1918294614515010076,1,1918294614515,20.252048,-1,1918,0.6093035,19.825853,17.988468,19.6602,0.17723767,100.0,0.032628868,0.2093,166.6187017,-22.7407396,0.8314286,t17_f5_c3,0.998421,19.6802,0.2668,268120145.0,True,True,False,correction_1.0.6,0.0,
