,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58639.293310199864,885293310615010005,2,885293310615,20.074472,-1,885,0.08084039,19.83321,100.0,19.484,0.17313524,100.0,100.0,0.2207,243.4740843,-27.4530071,0.8357143,t17_f5_c3,0.0,19.4401,0.272,278120206.0,False,True,False,bulk_1.0.0,0.0,8.8825081061501e+17
1,ztf,58642.25081019988,888250810615010010,2,888250810615,20.146086,-1,888,0.25003162,19.795347,100.0,19.5457,0.15629345,100.0,100.0,0.2232,243.4740253,-27.4530823,0.8657143,t17_f5_c3,0.0,19.3188,0.2326,278120206.0,False,True,False,bulk_1.0.0,0.0,9.16294470615015e+17
2,ztf,58646.27390050003,892273900615010005,2,892273900615,19.5592,-1,892,0.133133,19.8456,100.0,19.8263,0.283633,100.0,100.0,0.5233,243.4740732,-27.4530597,0.635714,t17_f5_c3,,19.3103,0.4181,,False,True,False,bulk_1.0.0,0.0,9.16294470615015e+17
3,ztf,58654.33607639978,900336070615010006,2,900336070615,18.9964,-1,900,0.491596,19.4302,100.0,19.6737,0.306213,100.0,100.0,0.636,243.4742076,-27.4529538,0.708571,t17_f5_c3,,19.0693,0.4685,,False,True,False,bulk_1.0.0,0.0,9.16294470615015e+17
4,ztf,58670.29447920015,916294470615015006,2,916294470615,19.819193,1,916,0.089651525,18.691847,18.375566,18.6606,0.09759195,0.071688786,0.07292925,0.1312,243.4740439,-27.453038,0.94285715,t17_f5_c3,0.9999999,18.6774,0.1702,278120206.0,True,True,False,bulk_1.0.0,0.0,0.0
5,ztf,58964.37585650012,1210375850615015006,1,1210375850615,19.849247,1,1210,1.907639,18.807478,,18.8766,0.09779903,,,0.1276,243.4740371,-27.4530215,0.88285714,t17_f5_c3,0.9999998,18.7465,0.1449,278120106.0,False,False,False,bulk_1.0.0,0.0,1.23929513061501e+18
6,ztf,58964.3980208002,1210398020615015009,2,1210398020615,20.107826,1,1210,0.018025246,18.665892,18.356112,18.7802,0.08349446,0.061374906,0.06276908,0.1187,243.4740687,-27.4530224,0.9457143,t17_f5_c3,0.99999964,18.8391,0.1598,278120206.0,False,True,False,bulk_1.0.0,0.0,1.23929513061501e+18
7,ztf,58967.35589119978,1213355890615015005,2,1213355890615,20.002789,1,1213,0.14134723,18.928835,18.547607,18.929,0.09794506,0.06713331,0.06894321,0.1462,243.4740281,-27.4530443,0.93142855,t17_f5_c3,0.99999964,19.0007,0.1996,278120206.0,False,True,False,bulk_1.0.0,0.0,1.23929513061501e+18
8,ztf,58967.41888889996,1213418880615015005,1,1213418880615,19.729902,1,1213,2.0714872,19.10997,,19.1476,0.13143578,,,0.1664,243.474026,-27.4529745,0.79714286,t17_f5_c3,0.9999994,19.1895,0.2216,278120106.0,False,False,False,bulk_1.0.0,0.0,1.23929513061501e+18
9,ztf,58971.35612270003,1217356120615010010,2,1217356120615,19.6002,-1,1217,0.342108,19.9162,23.296944,19.2502,0.274587,6.0529633,6.17984,0.2597,243.4741698,-27.453052,0.505714,t17_f5_c3,,19.1785,0.3122,,False,True,False,bulk_1.0.0,0.0,1.23929513061501e+18
10,ztf,58993.29513890017,1239295130615010005,2,1239295130615,19.863127,-1,1239,0.17276286,19.869158,29.45962,19.7455,0.20384906,1349.8645,1397.9551,0.3356,243.4741033,-27.4530582,0.8214286,t17_f5_c3,0.9995789,19.4624,0.332,278120206.0,False,True,False,bulk_1.0.0,0.0,1.24229270061501e+18
11,ztf,58996.292708300054,1242292700615010005,2,1242292700615,20.072197,-1,1242,0.0039049038,19.999146,22.236656,20.2969,0.20334648,1.5262792,1.5967646,0.4852,243.4740696,-27.4530237,0.8542857,t17_f5_c3,0.9964293,20.1213,0.5299,278120206.0,True,True,False,bulk_1.0.0,0.0,0.0
