,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58690.34932869999,936349326315015007,2,936349326315,20.469,1,936,1.79814,20.5163,21.0663,0.248343,0.7717,268.0481665,64.4209049,0.811429,t17_f5_c3,21.073,0.976,False,False,False,bulk_1.0.0,0.0,937202756315015008,,
1,ztf,58691.20275459997,937202756315015008,2,937202756315,20.58738,1,937,1.6636999,19.941881,20.345,0.1669913,0.3532,268.0481129,64.4209456,0.86285716,t17_f5_c3,20.0255,0.3288,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9996354,826120263.0
2,ztf,58692.329155100044,938329155115015020,2,938329155115,20.497044,1,938,1.8101388,19.829115,19.8193,0.18122925,0.2264,268.0479151,64.4209488,0.7871429,t17_f5_c3,19.8561,0.2927,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9998511,825120251.0
3,ztf,58692.34678239981,938346786315015010,2,938346786315,20.218273,1,938,2.0213912,19.683176,19.6139,0.15574427,0.2273,268.0480831,64.4208458,0.9442857,t17_f5_c3,19.3294,0.2207,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9999163,826120263.0
4,ztf,58693.216527800076,939216525115015025,2,939216525115,20.57458,1,939,1.7374324,19.69769,19.9789,0.1284278,0.2495,268.0480874,64.420955,0.6785714,t17_f5_c3,19.8797,0.2842,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9987558,825120251.0
5,ztf,58693.21837959997,939218376315015015,2,939218376315,20.359697,1,939,1.7677636,19.631353,20.1155,0.1371274,0.3592,268.0480697,64.4209193,0.76285714,t17_f5_c3,19.7006,0.3093,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9998311,826120263.0
6,ztf,58693.26350690005,939263506315015027,1,939263506315,20.81831,1,939,1.7560996,19.384323,19.3711,0.12033061,0.105,268.0480875,64.4209097,0.93714285,t17_f5_c3,19.4108,0.1352,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.99999666,826120163.0
7,ztf,58693.26724540023,939267245115015018,1,939267245115,20.885208,1,939,1.6834235,19.31719,19.2191,0.106442034,0.086,268.0480943,64.4209275,0.95714283,t17_f5_c3,19.2156,0.1059,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.99949,825120151.0
8,ztf,58694.20225689979,940202256315015019,2,940202256315,20.608515,1,940,1.8110696,19.773512,20.4764,0.122983724,0.4007,268.0479833,64.4209126,0.70714283,t17_f5_c3,20.2513,0.4078,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9999888,826120263.0
9,ztf,58694.20410879981,940204105115015026,2,940204105115,20.51635,1,940,1.606636,19.718126,19.6526,0.13271253,0.1963,268.0481205,64.4209908,0.7557143,t17_f5_c3,19.7033,0.2569,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9996981,825120251.0
10,ztf,58695.30670139985,941306705115015007,1,941306705115,20.69252,1,941,1.7016716,19.59452,19.8466,0.170249,0.1822,268.0480679,64.4209218,0.92,t17_f5_c3,19.7526,0.2093,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9993801,825120151.0
11,ztf,58695.30912039988,941309126315015012,1,941309126315,20.844885,1,941,1.7091292,19.729664,20.0808,0.15903282,0.205,268.0479967,64.4209334,0.88,t17_f5_c3,19.9996,0.2381,False,False,False,bulk_1.0.0,0.0,942278785115015019,0.9999943,826120163.0
12,ztf,58696.278784700204,942278785115015019,2,942278785115,20.705097,1,942,1.9471713,19.980228,19.9822,0.15288949,0.2245,268.0479504,64.4209088,0.74857146,t17_f5_c3,20.0327,0.2913,False,False,False,bulk_1.0.0,0.0,946309186315015021,0.99365526,825120251.0
13,ztf,58696.28119210014,942281196315015012,2,942281196315,20.601519,1,942,1.7823267,19.785027,19.8605,0.1534751,0.2221,268.0481334,64.4209099,0.8957143,t17_f5_c3,19.8169,0.2659,False,False,False,bulk_1.0.0,0.0,946309186315015021,0.99999994,826120263.0
14,ztf,58696.31041669985,942310416315015024,1,942310416315,20.867693,1,942,1.7222614,19.898388,19.957,0.17935602,0.1817,268.0479693,64.420935,0.7942857,t17_f5_c3,19.9126,0.2181,False,False,False,bulk_1.0.0,0.0,946309186315015021,0.99999774,826120163.0
