,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,58694.18174770009,940181745815015007,2,940181745815,20.201239,1,940,1.660824,20.415438,20.3727,0.21511087,0.499,190.9036784,64.5208636,0.64,t17_f5_c3,0.9995024,20.3403,0.6187,820120258,False,False,False,bulk_1.0.0,0.0,966159155815015010,,,
1,ztf,58705.18925930001,951189255815015008,2,951189255815,19.730162,1,951,1.5543783,18.640888,18.5549,0.08885553,0.1428,190.9037509,64.5208625,0.9614286,t17_f5_c3,0.99998987,18.5129,0.1757,820120258,False,False,False,bulk_1.0.0,0.0,966159155815015010,,,
2,ztf,58705.217754600104,951217755815015003,1,951217755815,19.526268,1,951,1.2540643,18.448597,18.2797,0.087244816,0.118,190.9038898,64.5208823,0.9114286,t17_f5_c3,0.99997246,18.2492,0.1467,820120158,False,True,False,bulk_1.0.0,0.0,966159155815015010,18.319675,0.07703245,0.077476725
3,ztf,58706.19001160003,952190015815015004,2,952190015815,19.610645,1,952,1.4836875,18.494684,18.5794,0.101675965,0.154,190.9037977,64.5208643,0.94714284,t17_f5_c3,0.9999987,18.6427,0.2087,820120258,False,False,False,bulk_1.0.0,0.0,966159155815015010,,,
4,ztf,58706.22049769992,952220495815015001,1,952220495815,19.47185,1,952,1.1841701,18.446999,18.6258,0.10994848,0.17,190.9039531,64.5208746,0.94142854,t17_f5_c3,0.99995697,18.6938,0.2318,820120158,False,True,False,bulk_1.0.0,0.0,966159155815015010,18.318256,0.097303346,0.09765452
5,ztf,58707.18869209988,953188695815015008,2,953188695815,19.78589,1,953,1.4138051,18.56805,18.5782,0.09958952,0.1472,190.9038307,64.5208834,0.93142855,t17_f5_c3,0.9999746,18.5065,0.1762,820120258,False,False,False,bulk_1.0.0,0.0,966159155815015010,,,
6,ztf,58707.21740739979,953217405815015004,1,953217405815,19.01568,1,953,1.5967447,18.404411,18.3312,0.14219248,0.1491,190.9037862,64.520775,0.4,t17_f5_c3,0.999073,18.3122,0.1878,820120158,False,False,True,bulk_1.0.0,0.0,966159155815015010,,,
7,ztf,58708.1900578998,954190055815015001,2,954190055815,19.504917,1,954,1.4927325,18.50763,18.5832,0.09645583,0.1692,190.9037759,64.5208906,0.93714285,t17_f5_c3,0.9999994,18.6476,0.2298,820120258,False,False,False,bulk_1.0.0,0.0,966159155815015010,,,
8,ztf,58709.18966440018,955189665815015003,2,955189665815,19.386272,1,955,1.6142757,18.42366,18.4791,0.09459938,0.1702,190.9037183,64.5208501,0.92285717,t17_f5_c3,0.9999725,18.6083,0.2457,820120258,False,False,False,bulk_1.0.0,0.0,966159155815015010,,,
9,ztf,58716.153553199954,962153555815015010,1,962153555815,20.08104,1,962,1.2942123,18.79744,18.7152,0.120719604,0.111,190.9038748,64.5208709,0.9285714,t17_f5_c3,0.99999976,18.8525,0.1603,820120158,False,True,False,bulk_1.0.0,0.0,966159155815015010,18.623407,0.10225507,0.10284071
10,ztf,58720.15915510012,966159155815015010,1,966159155815,20.09897,1,966,1.251718,19.021097,18.9496,0.106398985,0.1365,190.903892,64.5208821,0.95428574,t17_f5_c3,0.99999857,19.3152,0.243,820120158,False,True,False,bulk_1.0.0,0.0,972144725815015007,18.810892,0.086697884,0.08767087
11,ztf,58726.1447222,972144725815015007,2,972144725815,19.742178,1,972,1.4820527,19.121176,19.2116,0.1413223,0.2433,190.9037662,64.5209328,0.8371429,t17_f5_c3,0.9986018,19.397,0.3692,820120258,True,False,False,bulk_1.0.0,0.0,0,,,
