,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58512.54831020022,758548310515015170,1,758548310515,19.354452,1,758,0.24521312,17.856321,15.481733,17.9548,0.10266064,100.0,0.0115230875,0.1256,273.4876544,59.368049,0.24714285,t15_f5_c3,0.0,17.8969,0.1481,826120105.0,True,True,False,bulk_1.0.0,0.0,0.0
1,ztf,58642.45059029991,888450590515010033,2,888450590515,20.77885,-1,888,0.55707026,18.230524,14.990578,18.9331,0.1822653,100.0,0.00921988,0.1227,273.4873098,59.3682237,0.32285714,t17_f5_c3,0.0,19.1438,0.1644,826120205.0,True,True,False,bulk_1.0.0,0.0,0.0
2,ztf,58714.18513889983,960185130515010004,2,960185130515,20.469156,-1,960,0.5141071,18.068756,14.999437,18.3587,0.19602491,100.0,0.01160336,0.0826,273.4874215,59.3682541,0.41,t17_f5_c3,0.00014785,18.4998,0.108,826120205.0,False,True,False,bulk_1.0.0,0.0,9.672959805150152e+17
3,ztf,58721.26984950015,967269840515015007,2,967269840515,17.313576,1,967,0.15208207,16.27807,14.659864,16.3319,0.087741286,0.013192031,0.019766133,0.1781,273.4875426,59.368168,0.7014286,t17_f5_c3,0.6790551,16.1753,0.1969,826120205.0,False,True,False,bulk_1.0.0,0.0,9.672959805150152e+17
4,ztf,58721.2959838002,967295980515015201,1,967295980515,18.78376,1,967,0.23789157,17.45868,15.429126,17.3557,0.10426526,0.008688083,0.016081199,0.119,273.4874757,59.3680466,0.67714286,t17_f5_c3,0.9472593,17.4204,0.1589,826120105.0,True,True,False,bulk_1.0.0,0.0,0.0
5,ztf,58791.09383099992,1037093830515010006,2,1037093830515,20.1384,-1,1037,1.49896,18.9689,,19.1141,0.295317,,,0.2047,273.4883368,59.368032,0.26,t17_f5_c3,,19.341,0.3006,,False,False,True,bulk_1.0.0,0.0,1.0650956005150102e+18
6,ztf,58819.095601900015,1065095600515010151,2,1065095600515,16.803007,-1,1065,0.23883255,15.984188,15.45808,15.9133,0.07639393,0.03565918,0.04705606,0.1434,273.4875684,59.3680569,0.5657143,t17_f5_c3,0.9679138,15.955,0.1911,826120205.0,True,True,False,bulk_1.0.0,0.0,0.0
7,ztf,58981.32469910011,1227324690515010026,1,1227324690515,19.99823,-1,1227,0.29862282,19.305462,15.647751,19.6832,0.18753007,100.0,0.006456343,0.2425,273.4876083,59.3681775,0.7985714,t17_f5_c3,0.8780697,19.6358,0.2793,826120105.0,True,True,False,bulk_1.0.0,0.0,0.0
8,ztf,59127.265104200225,1373265100515010035,2,1373265100515,18.694193,-1,1373,0.22494794,16.867966,15.137857,16.7301,0.09389766,100.0,0.019081462,0.0752,273.4876094,59.3681644,0.5042857,t17_f5_c3,0.36665374,16.6397,0.088,826120205.0,True,True,False,bulk_1.0.0,0.0,0.0
9,ztf,59708.34607640002,1954346070515010011,2,1954346070515,19.871672,-1,1954,0.37845656,18.346958,14.985006,18.8662,0.15617965,100.0,0.007060636,0.1404,273.4873412,59.3681196,0.5314286,t17_f5_c3,0.97613525,18.8925,0.1695,826120205.0,True,True,False,correction_1.0.6,0.0,
