,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58726.29060189985,972290603315015011,1,972290603315,20.3977,1,972,5.49854,20.7615,20.5111,0.471269,0.4006,273.3269502,56.3217772,0.33,t17_f5_c3,20.975,0.7842,False,False,False,bulk_1.0.0,0.0,982273003315015006,,
1,ztf,58727.289189800154,973289183315015011,2,973289183315,20.4522,1,973,5.55284,20.8375,20.6847,0.4041,0.57,273.3269788,56.3218395,0.245714,t17_f5_c3,21.3007,1.2758,False,False,False,bulk_1.0.0,0.0,982273003315015006,,
2,ztf,58727.31255789986,973312553315015016,1,973312553315,20.4565,1,973,5.58464,20.6706,20.1443,0.275661,0.2959,273.3270135,56.3217665,0.377143,t17_f5_c3,20.2238,0.4049,False,False,False,bulk_1.0.0,0.0,982273003315015006,,
3,ztf,58732.26385420002,978263853315015012,2,978263853315,20.377705,1,978,5.5210514,19.88165,19.7497,0.18644942,0.2611,273.3270127,56.321786,0.38285714,t17_f5_c3,19.7896,0.343,False,False,False,bulk_1.0.0,0.0,982273003315015006,0.9570696,797120233.0
4,ztf,58732.28758100001,978287583315015013,1,978287583315,20.44877,1,978,5.79385,19.746527,20.0198,0.15316954,0.2625,273.3271071,56.3217957,0.80714285,t17_f5_c3,20.1407,0.3724,False,False,False,bulk_1.0.0,0.0,982273003315015006,0.9999509,797120133.0
5,ztf,58733.263449099846,979263443315015007,2,979263443315,20.2556,1,979,5.58575,19.7733,19.2748,0.211399,0.183,273.327037,56.3218,0.288571,t17_f5_c3,19.2233,0.2214,False,False,False,bulk_1.0.0,0.0,982273003315015006,,
6,ztf,58733.28689809982,979286893315015002,1,979286893315,20.136154,1,979,5.7647843,19.63925,19.5574,0.20430237,0.2179,273.3270266,56.3218476,0.83285713,t17_f5_c3,19.6395,0.2998,False,False,False,bulk_1.0.0,0.0,982273003315015006,0.99996907,797120133.0
7,ztf,58734.2647338002,980264733315015002,2,980264733315,20.048077,1,980,5.668633,19.690203,19.5749,0.20133542,0.2715,273.3270693,56.3218176,0.5914286,t17_f5_c3,19.4938,0.3209,False,False,False,bulk_1.0.0,0.0,982273003315015006,0.99505734,797120233.0
8,ztf,58735.26332180016,981263323315015008,2,981263323315,19.943073,1,981,5.607541,19.587048,19.4164,0.1911132,0.2525,273.327037,56.321815,0.7442857,t17_f5_c3,19.277,0.2833,False,False,False,bulk_1.0.0,0.0,982273003315015006,0.99991786,797120233.0
9,ztf,58735.28672449989,981286723315015001,1,981286723315,19.866299,1,981,5.5536294,19.61928,19.6098,0.21052435,0.2998,273.3269815,56.3217794,0.70714283,t17_f5_c3,20.0301,0.5645,False,False,False,bulk_1.0.0,0.0,982273003315015006,0.99970174,797120133.0
10,ztf,58736.27300930023,982273003315015006,2,982273003315,19.862783,1,982,5.3525214,19.486893,19.4254,0.15047207,0.2793,273.32696,56.3217479,0.84,t17_f5_c3,19.6616,0.4434,False,False,False,bulk_1.0.0,0.0,985186873315015005,0.9999086,797120233.0
11,ztf,58736.2957870001,982295783315015005,1,982295783315,19.5749,1,982,5.63733,19.4619,19.4368,0.222581,0.3055,273.3269893,56.3218105,0.695714,t17_f5_c3,19.0395,0.2718,False,False,False,bulk_1.0.0,0.0,985186873315015005,,
12,ztf,58737.28710650001,983287103315015008,2,983287103315,19.717655,1,983,5.6756635,19.416042,19.4468,0.19794068,0.3186,273.3270775,56.3218173,0.7242857,t17_f5_c3,19.5863,0.4631,False,False,False,bulk_1.0.0,0.0,985186873315015005,0.96022755,797120233.0
13,ztf,58737.30868060002,983308683315015002,1,983308683315,19.1976,1,983,5.48459,19.6631,19.2777,0.322352,0.3323,273.326931,56.3217856,0.337143,t17_f5_c3,18.8202,0.2801,False,False,False,bulk_1.0.0,0.0,985186873315015005,,
14,ztf,58738.15459490009,984154593315015011,2,984154593315,19.667439,1,984,5.6909976,19.366453,19.6325,0.20005603,0.3397,273.3271144,56.321801,0.8742857,t17_f5_c3,19.3658,0.3401,False,False,False,bulk_1.0.0,0.0,985186873315015005,0.99994195,797120233.0
15,ztf,58738.18782409979,984187823315015004,1,984187823315,19.545113,1,984,5.7220078,19.372635,19.4197,0.20721662,0.2995,273.3270667,56.3217879,0.77,t17_f5_c3,19.7549,0.5227,False,False,False,bulk_1.0.0,0.0,985186873315015005,0.998529,797120133.0
16,ztf,58739.18687500013,985186873315015005,1,985186873315,19.369467,1,985,5.6910214,19.139782,19.5967,0.18400478,0.4029,273.3269966,56.3218367,0.74857146,t17_f5_c3,19.6553,0.546,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.9999787,797120133.0
17,ztf,58740.153506900184,986153503315015007,2,986153503315,19.7192,1,986,5.67887,19.4883,20.0774,0.244743,0.5869,273.3270255,56.3218617,0.481429,t17_f5_c3,19.9194,0.6501,False,False,False,bulk_1.0.0,0.0,1008152933315015009,,
18,ztf,58740.18663189979,986186633315015005,1,986186633315,19.399645,1,986,5.552284,19.067148,18.899,0.19631563,0.2323,273.3269839,56.3217722,0.67285717,t17_f5_c3,19.0244,0.3343,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.999647,797120133.0
19,ztf,58741.15354169998,987153543315015010,2,987153543315,20.001648,1,987,5.5170884,19.327406,19.5998,0.13744368,0.3104,273.3270283,56.3217631,0.75285715,t17_f5_c3,19.6723,0.4233,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.99991995,797120233.0
20,ztf,58741.18351850007,987183513315015007,1,987183513315,19.629496,1,987,5.43726,19.2982,19.1209,0.17708652,0.2371,273.3269828,56.3217047,0.51714283,t17_f5_c3,19.2877,0.3539,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.99993265,797120133.0
21,ztf,58743.15511569986,989155113315015010,2,989155113315,20.266197,1,989,5.546777,19.460917,19.6424,0.14680669,0.2505,273.3270314,56.321784,0.76428574,t17_f5_c3,19.9484,0.4209,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.99990845,797120233.0
22,ztf,58743.18408560008,989184083315015005,1,989184083315,19.913654,1,989,5.762846,19.340029,19.353,0.15685484,0.2212,273.3270792,56.3217986,0.85714287,t17_f5_c3,19.3189,0.2741,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.9999895,797120133.0
23,ztf,58744.154027800076,990154023315015009,2,990154023315,20.407564,1,990,5.5511665,19.360218,19.6147,0.12301619,0.2117,273.3270182,56.3217947,0.87857145,t17_f5_c3,19.827,0.3256,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.9999843,797120233.0
24,ztf,58744.18309029983,990183093315015015,1,990183093315,20.277588,1,990,5.66141,19.305063,19.2077,0.11151168,0.147,273.3270152,56.3218029,0.8957143,t17_f5_c3,19.1377,0.1757,False,False,False,bulk_1.0.0,0.0,1008152933315015009,0.9994112,797120133.0
