,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58738.149803199805,984149805315015005,2,984149805315,19.260391,1,984,0.032140598,18.54334,18.485912,18.6885,0.12331173,0.11685641,0.116958864,0.1767,233.8632744,72.655361,0.81857145,t17_f5_c3,0.99878055,18.7373,0.2381,846120253.0,False,True,False,bulk_1.0.0,0.0,1000149525315015002
1,ztf,58738.17975689983,984179755315015006,1,984179755315,19.271786,1,984,0.2907251,18.462242,18.423895,18.4069,0.09911792,0.09552107,0.0956783,0.1511,233.8630504,72.6553465,0.9028571,t17_f5_c3,0.9999558,18.51,0.2137,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
2,ztf,58739.15005790023,985150055315015005,2,985150055315,19.215273,1,985,0.055143453,18.760406,18.69067,18.7665,0.13762933,0.12893188,0.12906726,0.2072,233.8632379,72.6553656,0.8757143,t17_f5_c3,0.99979883,18.8688,0.2933,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
3,ztf,58739.178657399956,985178655315015004,1,985178655315,19.283184,1,985,0.20101415,18.39645,18.360321,18.3718,0.11857718,0.11457968,0.11469631,0.1602,233.8631393,72.6553562,0.92714286,t17_f5_c3,0.99996674,18.2977,0.1923,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
4,ztf,58740.15020829998,986150205315015005,2,986150205315,19.179966,1,986,0.21918832,18.644123,18.581268,18.5091,0.14408636,0.13587676,0.13598178,0.1803,233.8631024,72.6553145,0.75285715,t17_f5_c3,0.99808896,18.7953,0.302,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
5,ztf,58740.183333300054,986183335315015009,1,986183335315,19.098488,1,986,0.36513677,18.51431,18.474115,18.345,0.14637001,0.14093323,0.14105017,0.1832,233.8630895,72.6553109,0.75,t17_f5_c3,0.99999434,18.559,0.2869,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
6,ztf,58741.15024309978,987150245315015002,2,987150245315,19.514128,1,987,0.16914797,18.590654,18.530737,18.4039,0.08799445,0.08311365,0.083270006,0.1346,233.8633457,72.6553113,0.92714286,t17_f5_c3,0.9999926,18.481,0.1864,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
7,ztf,58741.18021989986,987180215315015000,1,987180215315,19.293835,1,987,0.22297916,18.507156,18.46722,18.6245,0.14461082,0.13927135,0.1393882,0.199,233.8632858,72.6553387,0.8642857,t17_f5_c3,0.9999678,18.487,0.2257,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
8,ztf,58743.15180560015,989151805315015006,2,989151805315,19.86813,1,989,0.116809115,18.666222,18.602112,18.6677,0.09205509,0.086605676,0.08677681,0.1338,233.8631623,72.6553478,0.92142856,t17_f5_c3,0.9999992,18.6702,0.174,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
9,ztf,58744.15072919987,990150725315015010,2,990150725315,20.121674,1,990,0.05535395,18.660542,18.596756,18.4754,0.07148465,0.06718772,0.067406006,0.092,233.8632363,72.6553408,0.9657143,t17_f5_c3,0.9999933,18.3073,0.1027,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
10,ztf,58744.179791700095,990179795315015002,1,990179795315,20.037252,1,990,0.18127587,18.678005,18.631407,18.6663,0.12019919,0.11495803,0.115149505,0.1107,233.8633015,72.6553515,0.95,t17_f5_c3,0.9999995,18.7131,0.1489,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
11,ztf,58745.15076390002,991150765315015008,2,991150765315,20.158134,1,991,0.060704622,18.627827,18.565882,18.8109,0.07554734,0.07116299,0.07135774,0.1247,233.8632087,72.6553444,0.9442857,t17_f5_c3,0.9998593,18.7769,0.1574,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
12,ztf,58745.17989580007,991179895315015007,1,991179895315,20.142984,1,991,0.19650717,18.717812,18.669512,18.7535,0.10731206,0.10241226,0.10264275,0.1014,233.8632479,72.6553457,0.94714284,t17_f5_c3,0.9999966,18.7473,0.1301,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
13,ztf,58746.15052080015,992150525315015006,2,992150525315,20.109388,1,992,0.020368347,18.687117,18.621798,18.7048,0.07573435,0.07109637,0.07131241,0.1094,233.8632512,72.6553493,0.96,t17_f5_c3,0.9999801,18.6637,0.1372,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
14,ztf,58746.204375000205,992204375315015025,1,992204375315,19.78822,1,992,0.4828867,18.78807,18.736616,18.8301,0.13930269,0.13265353,0.13285497,0.1119,233.8633737,72.6552702,0.5985714,t17_f5_c3,0.9994025,18.929,0.1576,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
15,ztf,58747.150381899904,993150385315015004,2,993150385315,20.01557,1,993,0.029359886,18.74744,18.678505,18.7922,0.101806104,0.09536429,0.0955432,0.1299,233.863255,72.6553586,0.95714283,t17_f5_c3,0.99973524,18.7295,0.1595,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
16,ztf,58747.179791700095,993179795315015007,1,993179795315,20.158886,1,993,0.22952023,18.81616,18.76339,18.6745,0.13968131,0.13284335,0.13305466,0.0968,233.8633419,72.6553417,0.89,t17_f5_c3,0.9973208,18.6805,0.1258,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
17,ztf,58748.149386600126,994149385315015008,2,994149385315,19.922249,1,994,0.19010754,18.715433,18.64844,18.5339,0.097851366,0.09182035,0.09199615,0.1043,233.863409,72.6553204,0.93,t17_f5_c3,0.99999905,18.28,0.1071,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
18,ztf,58748.17890049983,994178905315015003,1,994178905315,19.8253,1,994,0.4061708,18.761618,18.711374,18.6498,0.12801248,0.12201448,0.122223504,0.102,233.8632907,72.6552871,0.73285717,t17_f5_c3,0.9981582,18.7882,0.1488,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
19,ztf,58749.150578700006,995150575315015008,2,995150575315,19.994066,1,995,0.049120493,18.783981,18.712763,18.8005,0.08153235,0.07611727,0.07635587,0.1288,233.8632337,72.6553516,0.9457143,t17_f5_c3,0.99999106,18.6484,0.1458,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
20,ztf,58749.180428199936,995180425315015002,1,995180425315,20.02719,1,995,0.33553132,18.872723,18.817202,18.7769,0.11784553,0.11169334,0.11197072,0.1115,233.8634842,72.6553351,0.9085714,t17_f5_c3,0.99984735,18.8223,0.1501,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
21,ztf,58750.15225689998,996152255315015008,2,996152255315,19.643633,1,996,0.13320382,18.85661,18.780632,18.7215,0.11078301,0.103095956,0.10329569,0.1365,233.8631448,72.655363,0.9442857,t17_f5_c3,0.99995255,18.7991,0.1899,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
22,ztf,58750.18072920013,996180725315015005,1,996180725315,19.622871,1,996,0.44581467,18.902637,18.845606,18.7457,0.14348555,0.13590264,0.13614294,0.1225,233.8632055,72.6552763,0.64857143,t17_f5_c3,0.9998014,19.0151,0.2018,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
23,ztf,58751.1499073999,997149905315015005,2,997149905315,19.726242,1,997,0.151441,18.721739,18.654367,18.8091,0.119626775,0.112284,0.11242937,0.151,233.863129,72.655368,0.95285714,t17_f5_c3,0.9999908,18.8378,0.2007,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
24,ztf,58751.178368099965,997178365315015001,1,997178365315,19.883812,1,997,0.30477992,18.887283,18.831032,18.7743,0.1339935,0.12697771,0.12722807,0.1203,233.8633085,72.6553166,0.87142855,t17_f5_c3,0.9999249,18.9516,0.1826,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
25,ztf,58754.1495254999,1000149525315015002,2,1000149525315,20.277166,1,1000,0.053030282,18.786224,18.714863,18.7854,0.08805625,0.08223298,0.08245473,0.101,233.8633005,72.6553435,0.94142854,t17_f5_c3,0.9999924,18.6609,0.1181,846120253.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
26,ztf,58754.17803240009,1000178035315015003,1,1000178035315,20.100965,1,1000,0.21896714,19.026815,18.963072,18.9034,0.14506532,0.13649668,0.13679367,0.0951,233.8633081,72.6553413,0.6857143,t17_f5_c3,0.99994284,18.9566,0.1291,846120153.0,False,True,False,bulk_1.0.0,0.0,1004158465315015000
27,ztf,58758.158460599836,1004158465315015000,2,1004158465315,19.6487,1,1004,0.22196227,18.888329,18.810179,18.9169,0.1234869,0.11472119,0.11491075,0.1621,233.8630678,72.6553317,0.9128571,t17_f5_c3,0.9996574,19.0906,0.2464,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
28,ztf,58760.150937499944,1006150935315015005,2,1006150935315,19.748146,1,1006,0.11889606,18.975105,18.8907,18.7909,0.12235445,0.11297957,0.113202795,0.1465,233.863193,72.6553268,0.93142855,t17_f5_c3,0.99984336,18.7772,0.1874,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
29,ztf,58760.1791782002,1006179175315015004,1,1006179175315,19.997753,1,1006,0.35697314,19.242006,19.164776,19.2802,0.16305476,0.15147127,0.15185925,0.193,233.8633719,72.6553066,0.9457143,t17_f5_c3,0.9999839,19.2587,0.2447,846120153.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
30,ztf,58761.14991899999,1007149915315015005,2,1007149915315,19.8491,1,1007,0.04629554,18.885715,18.807747,18.8353,0.1095725,0.10176703,0.10197973,0.1551,233.8632943,72.6553426,0.95,t17_f5_c3,0.99997455,18.7093,0.179,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
31,ztf,58761.17819439992,1007178195315015003,1,1007178195315,19.718557,1,1007,0.517578,19.292238,19.211483,18.9102,0.18113832,0.16777265,0.16815446,0.1606,233.863075,72.6552658,0.49,t17_f5_c3,0.99805766,18.822,0.1912,846120153.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
32,ztf,58762.14964119997,1008149645315015004,2,1008149645315,19.722536,1,1008,0.013013922,18.853514,18.777746,18.6773,0.10222031,0.09511474,0.09533005,0.141,233.8632736,72.6553492,0.9285714,t17_f5_c3,0.9999995,18.5992,0.1699,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
33,ztf,58763.150902799796,1009150905315015008,2,1009150905315,19.572588,1,1009,0.051487993,18.914522,18.834532,18.8006,0.119880885,0.11116172,0.11136631,0.1686,233.8632954,72.6553431,0.9457143,t17_f5_c3,0.9999988,18.6495,0.1899,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
34,ztf,58764.13618060015,1010136185315015003,2,1010136185315,19.853975,1,1010,0.071199246,18.989164,18.9037,19.3716,0.12565818,0.11592337,0.1161462,0.2755,233.8633231,72.6553658,0.74857146,t17_f5_c3,0.56208473,18.8712,0.2254,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
35,ztf,58765.136377300136,1011136375315015003,2,1011136375315,19.705055,1,1011,0.15399547,18.896105,18.817413,18.6276,0.10712282,0.09941179,0.09963342,0.1499,233.8631678,72.6553222,0.9128571,t17_f5_c3,0.9994488,18.4661,0.1672,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
36,ztf,58766.13659719983,1012136595315015003,2,1012136595315,19.49096,1,1012,0.14605935,18.912743,18.832878,18.669,0.12858501,0.119276,0.11946612,0.1637,233.8632874,72.6553115,0.8857143,t17_f5_c3,0.99994695,18.5897,0.1965,846120253.0,False,True,False,bulk_1.0.0,0.0,1017138095315015001
