,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58719.29631939996,965296314115015007,1,965296314115,20.138,1,965,0.19409,20.2456,20.014343,20.0712,0.279173,0.22451645,0.2256166,0.3052,256.540642,63.2607065,0.504286,t17_f5_c3,20.001,0.3669,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
1,ztf,58720.29020830011,966290204115015016,2,966290204115,20.1594,1,966,0.514675,20.3074,19.963732,20.0439,0.276728,0.2006148,0.20164424,0.3605,256.5403438,63.2608077,0.554286,t17_f5_c3,19.5677,0.2986,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
2,ztf,58720.31460649986,966314604115015011,1,966314604115,20.2115,1,966,0.203763,20.0735,19.873213,20.1238,0.24013,0.1987203,0.19967875,0.3376,256.5406876,63.2608151,0.87,t17_f5_c3,20.5344,0.6309,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
3,ztf,58722.269247699995,968269244115015010,2,968269244115,20.3396,1,968,0.216993,20.2079,19.890339,20.4661,0.241087,0.17894126,0.1799492,0.4743,256.5405628,63.260784,0.745714,t17_f5_c3,20.302,0.5237,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
4,ztf,58722.294664400164,968294664115015016,1,968294664115,20.4058,1,968,0.144801,19.9179,19.742313,19.4237,0.240089,0.20350246,0.20423831,0.155,256.5406922,63.2607262,0.414286,t17_f5_c3,19.408,0.1953,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
5,ztf,58723.29320599977,969293204115015023,2,969293204115,20.307478,1,969,0.2026944,19.946997,19.689903,19.5821,0.18976222,0.1489147,0.14975195,0.2106,256.5405348,63.2608096,0.3257143,t17_f5_c3,19.9844,0.3907,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.99957836,825120241.0
6,ztf,58723.31665509986,969316654115015011,1,969316654115,20.2086,1,969,0.035224,19.8093,19.649254,19.5959,0.27135,0.23361915,0.2341595,0.1944,256.5406508,63.2607516,0.69,t17_f5_c3,19.3149,0.1923,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
7,ztf,58724.293252300005,970293254115015016,2,970293254115,20.2252,1,970,0.180961,19.9708,19.708645,20.167,0.24507,0.19182523,0.19249874,0.3817,256.5405888,63.2607923,0.724286,t17_f5_c3,19.817,0.3552,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
8,ztf,58724.31667819992,970316674115015009,1,970316674115,20.2498,1,970,0.444112,20.204,19.980602,20.0912,0.260031,0.2105711,0.21167323,0.3041,256.5404655,63.2608563,0.815714,t17_f5_c3,20.0514,0.3757,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
9,ztf,58725.26774309995,971267744115015046,2,971267744115,20.371132,1,971,0.23651402,20.002653,19.733585,19.9517,0.19879444,0.15428326,0.15515906,0.2853,256.5405148,63.2608016,0.64428574,t17_f5_c3,19.9969,0.381,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.99978924,825120241.0
10,ztf,58725.292986100074,971292984115015021,1,971292984115,20.477573,1,971,0.3299446,19.791134,19.63356,19.4201,0.16869903,0.14506547,0.1459094,0.1486,256.5405117,63.260833,0.6257143,t17_f5_c3,19.3583,0.1795,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.9998715,825120141.0
11,ztf,58726.269201400224,972269204115015032,2,972269204115,20.219837,1,972,0.34316403,19.943968,19.687513,20.2545,0.20718943,0.16283816,0.16360082,0.4067,256.5405129,63.2607574,0.61142856,t17_f5_c3,19.8263,0.3521,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.9913646,825120241.0
12,ztf,58726.29428240005,972294284115015013,1,972294284115,20.13186,1,972,0.29209623,19.872913,19.703926,19.9817,0.1881805,0.16018683,0.16105703,0.2834,256.5405002,63.260811,0.8542857,t17_f5_c3,19.8882,0.3335,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.9999825,825120141.0
13,ztf,58727.29287040001,973292874115015014,2,973292874115,20.215147,1,973,0.22319464,19.870434,19.62904,19.9178,0.20592494,0.16419446,0.16487378,0.316,256.5406113,63.2607723,0.7242857,t17_f5_c3,19.7554,0.3492,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.9994253,825120241.0
14,ztf,58727.31569440011,973315694115015012,1,973315694115,20.322714,1,973,0.14061451,19.655153,19.514984,19.8952,0.17850524,0.15625544,0.15688577,0.2636,256.540624,63.2607994,0.79142857,t17_f5_c3,19.9693,0.3615,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.9999764,825120141.0
15,ztf,58730.292986100074,976292984115015013,1,976292984115,19.9371,1,976,0.466476,19.7704,19.615604,19.395,0.25352,0.21929263,0.21983364,0.199,256.5404322,63.2606716,0.474286,t17_f5_c3,19.3808,0.2516,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
16,ztf,58732.291261599865,978291264115015018,1,978291264115,20.404366,1,978,0.24912085,19.784073,19.62745,20.0823,0.15420859,0.1325808,0.13349338,0.2855,256.5406216,63.2608306,0.8914286,t17_f5_c3,20.3066,0.4494,False,True,False,bulk_1.0.0,0.0,991182264115015020,0.9999839,825120141.0
17,ztf,58733.26712960005,979267124115015013,2,979267124115,20.1016,1,979,0.263488,19.8044,19.575853,19.6546,0.260283,0.210395,0.2108761,0.278,256.5404856,63.2608321,0.738571,t17_f5_c3,19.3653,0.2732,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
18,ztf,58733.290590300225,979290594115015008,1,979290594115,19.9439,1,979,0.540617,19.7895,19.632147,19.8744,0.230821,0.19906563,0.19967987,0.3252,256.5405138,63.260904,0.891429,t17_f5_c3,19.699,0.3552,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
19,ztf,58734.291828699876,980291824115015006,1,980291824115,19.6201,1,980,0.166426,19.7329,19.583014,19.2564,0.270035,0.23473915,0.23521522,0.2316,256.5405415,63.2607585,0.34,t17_f5_c3,19.104,0.2582,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
20,ztf,58735.29040510021,981290404115015009,1,981290404115,19.7056,1,981,0.314036,19.7685,19.613956,19.24,0.293199,0.25383326,0.25429937,0.2446,256.540768,63.2606922,0.122857,t17_f5_c3,19.1485,0.2886,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
21,ztf,58736.27668979997,982276684115015020,2,982276684115,19.5707,1,982,0.156678,19.7964,19.569368,20.3698,0.298679,0.24190785,0.24232143,0.7452,256.540616,63.2607916,0.668571,t17_f5_c3,20.4348,1.0162,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
22,ztf,58736.29891199991,982298914115015007,1,982298914115,19.3196,1,982,0.670337,19.5528,19.424526,19.7857,0.238597,0.2116152,0.21200962,0.4934,256.5410646,63.2607532,0.524286,t17_f5_c3,19.4415,0.4617,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
23,ztf,58738.15366900014,984153664115015029,2,984153664115,19.6927,1,984,0.541546,20.0398,19.76247,20.2828,0.270741,0.20902857,0.20971116,0.6329,256.5404641,63.2607042,0.657143,t17_f5_c3,19.8186,0.5307,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
24,ztf,58739.15241899993,985152414115015010,2,985152414115,19.6334,1,985,0.406953,19.7354,19.519619,19.7883,0.350738,0.28720355,0.2875215,0.4361,256.5404756,63.2607484,0.715714,t17_f5_c3,19.7071,0.5199,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
25,ztf,58740.15258099977,986152584115015030,2,986152584115,19.5314,1,986,0.454183,19.8755,19.633095,19.9883,0.33919,0.27090412,0.27131948,0.5786,256.5403677,63.2608485,0.47,t17_f5_c3,19.804,0.6273,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
26,ztf,58741.152604199946,987152604115015013,2,987152604115,19.8186,1,987,0.503502,20.1395,19.838882,19.8713,0.269478,0.20349686,0.20430368,0.4275,256.5405466,63.2606994,0.554286,t17_f5_c3,19.5021,0.3909,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
27,ztf,58741.18258100003,987182584115015008,1,987182584115,19.5961,1,987,0.116096,19.4665,19.34751,19.2671,0.265863,0.23796155,0.23826599,0.2973,256.5407122,63.2607589,0.394286,t17_f5_c3,19.4642,0.4576,False,True,False,bulk_1.0.0,0.0,991182264115015020,,
