,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58774.12978010019,1020129783615015018,2,1020129783615,19.9936,1,1020,0.4040891,19.513538,18.38316,19.3953,0.18504803,0.048883706,0.06533303,0.1849,9.5553771,34.4068721,0.9257143,t17_f5_c3,0.9987433,19.2198,0.2006,649120236.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
1,ztf,58774.15776620014,1020157763615015007,1,1020157763615,20.084,1,1020,0.447874,19.6889,18.83886,19.6978,0.221464,0.09381931,0.10122473,0.1732,9.5552161,34.4068622,0.338571,t17_f5_c3,,19.8148,0.2452,,False,True,False,bulk_1.0.0,0.0,1028128613615015013
2,ztf,58775.129490700085,1021129493615015010,2,1021129493615,20.400549,1,1021,0.17662868,19.651356,18.429846,19.8511,0.14645815,0.014596604,0.047545478,0.2683,9.5553335,34.4069445,0.92285717,t17_f5_c3,0.99999976,20.0181,0.3985,649120236.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
3,ztf,58775.15787040023,1021157873615015011,1,1021157873615,20.46955,1,1021,0.39406013,19.422731,18.709068,19.1979,0.16394597,0.077985,0.084964074,0.1169,9.5552344,34.4068717,0.89285713,t17_f5_c3,0.9999917,18.9938,0.1231,649120136.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
4,ztf,58776.129270799924,1022129273615015016,2,1022129273615,20.334003,1,1022,0.09426468,19.525444,18.387348,19.6212,0.13077636,0.014436479,0.045844868,0.2197,9.5552846,34.4069212,0.94285715,t17_f5_c3,0.99999297,19.3719,0.2226,649120236.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
5,ztf,58776.15708329994,1022157083615015017,1,1022157083615,20.631992,1,1022,0.31263703,19.48327,18.74002,19.2576,0.13559645,0.05892603,0.06838301,0.115,9.5553041,34.4068844,0.9128571,t17_f5_c3,0.99999905,19.1551,0.1326,649120136.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
6,ztf,58777.12966440013,1023129663615015017,2,1023129663615,20.128036,1,1023,0.23742777,19.532948,18.389973,19.6038,0.1597032,0.034695964,0.055734422,0.2196,9.5553137,34.406888,0.9671429,t17_f5_c3,0.99999857,19.6426,0.29,649120236.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
7,ztf,58777.157500000205,1023157503615015013,1,1023157503615,20.185946,1,1023,0.40240556,19.369951,18.681395,19.3762,0.14468583,0.0693384,0.076736756,0.1351,9.5551898,34.4068947,0.74714285,t17_f5_c3,0.9999263,19.2128,0.1479,649120136.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
8,ztf,58778.12984950002,1024129843615015012,2,1024129843615,20.355331,1,1024,0.019398283,19.517153,18.384434,19.6255,0.13576113,0.020109015,0.047828626,0.2161,9.555268,34.4069412,0.94142854,t17_f5_c3,0.9999974,19.5605,0.2595,649120236.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
9,ztf,58778.15768520022,1024157683615015021,1,1024157683615,20.347694,1,1024,0.18596078,19.335924,18.663216,19.4998,0.15454742,0.07663218,0.083172195,0.1522,9.5552361,34.4069444,0.9071429,t17_f5_c3,0.99995244,19.4238,0.1806,649120136.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
10,ztf,58779.12962959986,1025129623615015006,2,1025129623615,20.211323,1,1025,0.20665722,19.413443,18.346756,19.2268,0.15385295,0.039509,0.057601172,0.1773,9.5553313,34.4069077,0.9657143,t17_f5_c3,0.99998647,19.2902,0.2397,649120236.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
11,ztf,58779.15748840012,1025157483615015042,1,1025157483615,20.466373,1,1025,0.3061258,19.438583,18.717255,19.4005,0.17050283,0.080894224,0.08774046,0.1453,9.5552394,34.406899,0.93714285,t17_f5_c3,0.99999964,19.3257,0.1725,649120136.0,False,True,False,bulk_1.0.0,0.0,1028128613615015013
12,ztf,58781.129513899796,1027129513615015016,2,1027129513615,19.4784,1,1027,0.081503,19.2726,18.291866,19.2711,0.226761,0.082801275,0.09189133,0.1905,9.5552926,34.4069633,0.492857,t17_f5_c3,,19.4028,0.2748,,False,True,False,bulk_1.0.0,0.0,1028128613615015013
13,ztf,58781.1574074002,1027157403615015017,1,1027157403615,19.8781,1,1027,0.735208,19.5256,18.761162,19.5101,0.23702,0.1117553,0.11722208,0.17,9.5551837,34.4067836,0.35,t17_f5_c3,,19.2704,0.1741,,False,True,False,bulk_1.0.0,0.0,1028128613615015013
14,ztf,58782.128611099906,1028128613615015013,2,1028128613615,20.164553,1,1028,0.20121771,19.369719,18.33018,19.6045,0.13456692,0.031052697,0.051656228,0.2486,9.5553377,34.4069271,0.96,t17_f5_c3,0.9999982,19.6307,0.3251,649120236.0,False,True,False,bulk_1.0.0,0.0,1035129903615015012
15,ztf,58783.129814799875,1029129813615015010,2,1029129813615,20.179209,1,1029,0.2050341,19.40057,18.341919,19.438,0.11976368,0.017295044,0.045171525,0.2105,9.5553425,34.4069343,0.9671429,t17_f5_c3,0.9999981,19.4602,0.2742,649120236.0,False,True,False,bulk_1.0.0,0.0,1035129903615015012
