,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58349.30597219989,595305973715015018,2,595305973715,20.425833,1,595,5.548152,19.448591,19.5462,0.10804389,0.1831,300.8153701,77.9002247,0.7033333,t8_f5_c3,0.0,19.6482,0.2575,866120237.0,True,False,False,bulk_1.0.0,0.0,0.0
1,ztf,58781.144791699946,1027144793715015014,2,1027144793715,19.2854,1,1027,5.84534,19.5207,19.4631,0.239587,0.2556,300.8156114,77.8999966,0.305714,t17_f5_c3,,19.5361,0.3506,,False,False,False,bulk_1.0.0,0.0,1.028143903715015e+18
2,ztf,58781.1723842998,1027172383715015010,1,1027172383715,19.5106,1,1027,4.32191,19.3189,19.4737,0.223222,0.2047,300.8160752,77.9001459,0.492857,t17_f5_c3,,19.2732,0.2185,,False,False,False,bulk_1.0.0,0.0,1.028143903715015e+18
3,ztf,58782.143900500145,1028143903715015013,2,1028143903715,20.18285,1,1028,5.69015,19.968267,19.8933,0.16339175,0.3265,300.8155553,77.900247,0.7228571,t17_f5_c3,0.99996483,20.1612,0.5366,866120237.0,True,False,False,bulk_1.0.0,0.0,0.0
4,ztf,58903.51358800009,1149513583715015023,2,1149513583715,20.285439,1,1149,5.7099876,19.318356,19.2078,0.107708625,0.1428,300.8155878,77.9002167,0.89,t17_f5_c3,0.99987555,19.1145,0.1679,866120237.0,False,False,False,bulk_1.0.0,0.0,1.149531683715015e+18
5,ztf,58903.53168979986,1149531683715015014,1,1149531683715,20.24276,1,1149,4.7073994,19.32098,19.2731,0.15478832,0.1361,300.8153701,77.9002209,0.88285714,t17_f5_c3,0.9999949,19.2663,0.1729,866120137.0,True,False,False,bulk_1.0.0,0.0,0.0
6,ztf,59113.20539350016,1359205393715015012,1,1359205393715,20.4739,1,1359,4.3467,20.3969,20.5903,0.242397,0.4546,300.8156874,77.9001365,0.742857,t17_f5_c3,,20.6937,0.6414,,False,False,False,bulk_1.0.0,0.0,1.360303243715015e+18
7,ztf,59114.22222220013,1360222223715015004,1,1360222223715,20.475416,1,1360,4.5654163,19.750044,19.6777,0.14036217,0.1968,300.8154554,77.9001863,0.8457143,t17_f5_c3,0.99989957,19.8246,0.2879,866120137.0,False,False,False,bulk_1.0.0,0.0,1.360303243715015e+18
8,ztf,59114.30324070016,1360303243715015009,2,1360303243715,20.293295,1,1360,5.776188,20.02235,20.07,0.17308435,0.3235,300.8156852,77.9002579,0.8314286,t17_f5_c3,0.9998251,19.9739,0.3802,866120237.0,True,False,False,bulk_1.0.0,0.0,0.0
9,ztf,59392.36245370004,1638362453715015008,2,1638362453715,19.771843,1,1638,5.73386,19.489222,19.6836,0.1726818,0.3353,300.8155913,77.9001893,0.58,t17_f5_c3,0.99998116,19.4429,0.3449,866120237.0,True,False,False,correction_0.0.1,0.0,
