,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58833.35998839978,1079359985215015005,2,1079359985215,19.3655,1,1079,0.811109,19.7833,19.391752,19.672,0.308998,0.21489108,0.21544512,0.4132,115.6766061,29.6666617,0.507143,t17_f5_c3,20.0769,0.7714,False,True,False,bulk_1.0.0,0.0,1098430925215015003,,
1,ztf,58836.40855319984,1082408555215015007,1,1082408555215,20.432476,1,1082,0.68815845,19.8531,19.669245,19.9462,0.17124052,0.14237341,0.14456551,0.2498,115.6764197,29.666598,0.83285713,t17_f5_c3,19.9364,0.3173,False,True,False,bulk_1.0.0,0.0,1098430925215015003,0.9999955,615120152.0
2,ztf,58836.45565970009,1082455655215015006,2,1082455655215,20.20241,1,1082,0.47179544,19.79186,19.397715,19.8742,0.15558657,0.107102014,0.10822151,0.2768,115.6764317,29.6666687,0.8742857,t17_f5_c3,19.8867,0.3588,False,True,False,bulk_1.0.0,0.0,1098430925215015003,0.9999442,615120252.0
3,ztf,58836.47208329989,1082472081015015024,2,1082472081015,20.280308,1,1082,0.33970472,19.825512,19.429031,20.1498,0.16878816,0.11545202,0.11715196,0.3555,115.6764211,29.6666485,0.64857143,t17_f5_c3,20.1515,0.4564,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.999997,663120210.0
4,ztf,58846.24689809978,1092246895215015004,1,1092246895215,20.395887,1,1092,0.7678674,19.648024,19.493677,19.4212,0.16703255,0.14331861,0.14489795,0.1406,115.6763638,29.6666015,0.69,t17_f5_c3,19.4157,0.1786,False,True,False,bulk_1.0.0,0.0,1098430925215015003,0.99996793,615120152.0
5,ztf,58846.28184030019,1092281841015015014,2,1092281841015,20.253338,1,1092,0.3575341,19.525814,19.212563,19.6569,0.18318434,0.13630368,0.13727373,0.2283,115.6764638,29.6666208,0.8471429,t17_f5_c3,19.6899,0.3013,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.99999356,663120210.0
6,ztf,58846.48538189987,1092485381015015009,1,1092485381015,20.400936,1,1092,0.53327227,19.744843,19.50277,19.5335,0.17232949,0.13711518,0.13788915,0.1474,115.6764704,29.666626,0.7457143,t17_f5_c3,19.5836,0.1972,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.9972133,663120110.0
7,ztf,58849.46989580011,1095469891015015021,1,1095469891015,20.360401,1,1095,0.51227,19.718758,19.481848,19.6026,0.14069463,0.11220428,0.11311322,0.1633,115.6764475,29.6665723,0.85571426,t17_f5_c3,19.683,0.2246,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.9998089,663120110.0
8,ztf,58850.42451390019,1096424515215015008,1,1096424515215,19.9763,1,1096,0.492368,19.7139,19.550589,19.663,0.224407,0.19175532,0.19306892,0.1728,115.6764314,29.6665459,0.288571,t17_f5_c3,19.6404,0.2162,False,True,False,bulk_1.0.0,0.0,1098430925215015003,,
9,ztf,58850.42596059991,1096425961015015021,1,1096425961015,20.130348,1,1096,0.5462909,19.904203,19.628355,19.8216,0.20730726,0.15995982,0.1607961,0.1809,115.6764334,29.6665385,0.42285714,t17_f5_c3,19.782,0.223,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.9938378,663120110.0
10,ztf,58850.44839120004,1096448395215015004,2,1096448395215,19.7228,1,1096,0.466516,19.4557,19.153336,19.4307,0.196603,0.14829709,0.14881432,0.189,115.6764357,29.6666694,0.4,t17_f5_c3,19.3312,0.221,False,True,False,bulk_1.0.0,0.0,1098430925215015003,,
11,ztf,58850.44884259999,1096448841015015018,2,1096448841015,19.7463,1,1096,0.78955,19.5847,19.256386,19.616,0.243386,0.17907332,0.17987482,0.2132,115.6766244,29.6665316,0.475714,t17_f5_c3,19.4751,0.2399,False,True,False,bulk_1.0.0,0.0,1099428051015015022,,
12,ztf,58851.43511570012,1097435111015015016,2,1097435111015,20.094812,1,1097,0.26158756,19.504658,19.196669,19.6338,0.13357125,0.09929192,0.10058138,0.2253,115.6764574,29.6665783,0.87285715,t17_f5_c3,19.5563,0.2688,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.99999726,663120210.0
13,ztf,58851.43605320016,1097436055215015003,2,1097436055215,19.94708,1,1097,0.39233205,19.653795,19.299852,19.4241,0.19070388,0.13691887,0.137652,0.1966,115.6764764,29.6666177,0.74285716,t17_f5_c3,19.4467,0.2571,False,True,False,bulk_1.0.0,0.0,1098430925215015003,0.9996402,615120252.0
14,ztf,58852.42998840008,1098429981015015019,2,1098429981015,20.500975,1,1098,0.24354939,19.68715,19.331156,19.945,0.13478167,0.09538791,0.097103216,0.2474,115.6764326,29.6666069,0.7014286,t17_f5_c3,19.8238,0.2831,False,True,False,bulk_1.0.0,0.0,1099428051015015022,0.99893427,663120210.0
