,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59170.40041670017,1416400414115015029,2,1416400414115,20.247538,1,1416,0.113874085,19.348957,16.550241,19.4953,0.10478458,100.0,0.00795813,0.2179,81.3131144,-8.6260651,0.91714287,t17_f5_c3,0.99999046,19.4475,0.2577,356120241.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
1,ztf,59170.422025499865,1416422024115015012,1,1416422024115,20.365744,1,1416,0.48062095,19.619331,17.452406,20.0184,0.17942582,100.0,0.024384553,0.2792,81.3131204,-8.6259216,0.9028571,t17_f5_c3,0.9999403,20.1975,0.4121,356120141.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
2,ztf,59173.347037000116,1419347034115025009,1,1419347034115,18.6992,1,1419,0.377331,18.7853,17.293997,18.5832,0.262968,0.056583825,0.06658589,0.3695,81.3130482,-8.6261277,0.855714,t17_f5_c3,,18.5671,0.4654,,False,True,False,bulk_1.0.0,0.0,1427335604115015005
3,ztf,59175.35010420019,1421350104115015005,2,1421350104115,18.80278,1,1421,0.22415036,18.470482,16.45208,18.3073,0.1565022,100.0,0.024387073,0.2997,81.3130947,-8.6260988,0.82,t17_f5_c3,0.99944335,18.5457,0.4754,356120241.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
4,ztf,59176.37060189992,1422370604115015033,1,1422370604115,20.49625,1,1422,0.07143864,18.638802,17.254993,18.6562,0.08394818,100.0,0.023468638,0.0743,81.3131115,-8.6260698,0.9514286,t17_f5_c3,0.9999999,18.5372,0.0824,356120141.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
5,ztf,59179.33697920013,1425336974115015006,2,1425336974115,19.818556,1,1425,0.081998825,18.263025,16.41703,18.3598,0.065379776,100.0,0.011941125,0.1019,81.3131209,-8.6260449,0.93714285,t17_f5_c3,0.99999917,18.2881,0.1196,356120241.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
6,ztf,59179.43728009984,1425437284115015020,1,1425437284115,19.636091,1,1425,0.18690103,18.568268,17.234808,18.4519,0.11585911,0.0068082013,0.033927087,0.102,81.313097,-8.6261008,0.82857144,t17_f5_c3,0.9999836,18.4538,0.1294,356120141.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
7,ztf,59181.253541700076,1427253544115015010,1,1427253544115,18.90026,1,1427,0.21938927,18.604006,17.245153,18.8137,0.15714937,0.029915616,0.04495432,0.26,81.3130733,-8.6260862,0.8457143,t17_f5_c3,0.99616325,19.0017,0.3956,356120141.0,False,True,False,bulk_1.0.0,0.0,1427335604115015005
8,ztf,59181.33560189977,1427335604115015005,2,1427335604115,19.237453,1,1427,0.441303,18.142344,16.393963,18.3742,0.09588463,100.0,0.019160062,0.1327,81.3131098,-8.6259119,0.83285713,t17_f5_c3,0.9999355,18.3271,0.1611,356120241.0,False,True,False,bulk_1.0.0,0.0,1431339564115015003
9,ztf,59185.339560199995,1431339564115015003,2,1431339564115,19.541792,1,1431,0.041575007,18.420609,16.444157,18.3622,0.081623495,100.0,0.013220084,0.1404,81.3130989,-8.6260449,0.93142855,t17_f5_c3,0.999999,18.5041,0.2031,356120241.0,False,True,False,bulk_1.0.0,0.0,1442294394115015008
10,ztf,59185.401504599955,1431401504115015008,1,1431401504115,19.192707,1,1431,0.31685033,18.946487,17.332605,19.2928,0.1588729,100.0,0.035933286,0.3798,81.3130499,-8.6260103,0.9185714,t17_f5_c3,0.9998697,19.4161,0.5452,356120141.0,False,True,False,bulk_1.0.0,0.0,1442294394115015008
11,ztf,59187.400011599995,1433400014115015005,2,1433400014115,19.321928,1,1433,0.12311381,18.354498,16.433172,18.4342,0.10326622,100.0,0.01759656,0.1212,81.3131253,-8.6260125,0.7657143,t17_f5_c3,0.99802715,18.3466,0.141,356120241.0,False,True,False,bulk_1.0.0,0.0,1442294394115015008
12,ztf,59192.47143519996,1438471434115015171,2,1438471434115,18.462284,1,1438,0.9499381,18.309294,16.425335,18.0327,0.13967758,100.0,0.02463446,0.1282,81.3133709,-8.6260243,0.42571428,t17_f5_c3,0.6676445,17.8516,0.1382,356120241.0,False,True,False,bulk_1.0.0,0.0,1442294394115015008
13,ztf,59196.294398100115,1442294394115015008,2,1442294394115,19.8573,1,1442,0.5026352,18.914125,16.510366,18.9145,0.16473341,100.0,0.018000228,0.1258,81.313136,-8.6258987,0.6957143,t17_f5_c3,0.99681455,18.9931,0.1669,356120241.0,False,True,False,bulk_1.0.0,0.0,1449234134115015008
14,ztf,59203.23413190013,1449234134115015008,2,1449234134115,19.946657,1,1449,1.0902011,19.520908,16.562387,19.4741,0.15736617,100.0,0.0103157945,0.2281,81.3129035,-8.6257983,0.85714287,t17_f5_c3,0.99652064,19.3838,0.2606,356120241.0,False,True,False,bulk_1.0.0,0.0,1451206964115015015
15,ztf,59205.206967600156,1451206964115015015,2,1451206964115,20.187557,1,1451,0.17899509,19.646927,16.570213,19.7101,0.14682601,100.0,0.008632129,0.2906,81.3131473,-8.6260189,0.92,t17_f5_c3,0.9995164,19.5904,0.3235,356120241.0,True,True,False,bulk_1.0.0,0.0,0
