,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59176.33189810021,1422331893615015015,2,1422331893615,20.472198,1,1422,2.7132494,19.833244,19.8324,0.1714634,0.227,72.974641,13.0996273,0.76714283,t17_f5_c3,0.99978447,19.9183,0.3168,509120236.0,False,False,False,bulk_1.0.0,0.0,1425346373615015013,,,
1,ztf,59176.36778939981,1422367783615015014,1,1422367783615,20.870905,1,1422,0.97044444,20.085388,20.1326,0.15626097,0.2061,72.9746028,13.0995637,0.7814286,t17_f5_c3,0.99999726,19.8458,0.2036,509120136.0,False,True,False,bulk_1.0.0,0.0,1435286433615015008,20.02319,0.14654136,0.14756083
2,ztf,59179.3463773001,1425346373615015013,2,1425346373615,19.711508,1,1425,2.9113255,19.329676,19.2098,0.16754109,0.1885,72.9746484,13.0995697,0.64285713,t17_f5_c3,0.9987569,19.3866,0.2849,509120236.0,False,False,False,bulk_1.0.0,0.0,1435286433615015008,,,
3,ztf,59179.432129600085,1425432123615015020,1,1425432123615,19.833588,1,1425,0.85991704,19.328655,19.266,0.13173501,0.1908,72.974678,13.0995763,0.81,t17_f5_c3,0.9999225,19.017,0.1948,509120136.0,False,True,False,bulk_1.0.0,0.0,1435286433615015008,19.29723,0.12766875,0.1279767
4,ztf,59181.21244210005,1427212443615015009,1,1427212443615,19.0508,1,1427,0.768586,19.3445,19.551,0.217827,0.4874,72.9745822,13.099635,0.587143,t17_f5_c3,,19.7044,0.7215,,False,True,False,bulk_1.0.0,0.0,1435286433615015008,19.312618,0.21133232,0.21152383
5,ztf,59181.29484950006,1427294843615015010,2,1427294843615,19.543077,1,1427,2.9421272,18.954556,18.7633,0.13031955,0.179,72.9746979,13.0995859,0.7842857,t17_f5_c3,0.9999831,18.7583,0.2289,509120236.0,False,False,False,bulk_1.0.0,0.0,1435286433615015008,,,
6,ztf,59185.34236110002,1431342363615015009,2,1431342363615,19.468386,1,1431,2.7754033,18.86277,19.0259,0.11401728,0.2629,72.9746465,13.0996103,0.9085714,t17_f5_c3,0.9999979,18.9706,0.3212,509120236.0,False,False,False,bulk_1.0.0,0.0,1435286433615015008,,,
7,ztf,59185.42682870012,1431426823615015004,1,1431426823615,19.075972,1,1431,1.0046304,18.938002,18.8958,0.18347488,0.27,72.9745279,13.0995928,0.69714284,t17_f5_c3,0.97267854,18.8451,0.3311,509120136.0,False,True,False,bulk_1.0.0,0.0,1435286433615015008,18.915977,0.17968197,0.17979048
8,ztf,59187.36490740022,1433364903615015008,1,1433364903615,19.5676,1,1433,0.886503,19.2124,19.6346,0.189369,0.3182,72.9747281,13.0995694,0.768571,t17_f5_c3,,19.5875,0.3911,,False,True,False,bulk_1.0.0,0.0,1435286433615015008,19.184124,0.1843276,0.1845009
9,ztf,59187.409374999814,1433409373615015012,2,1433409373615,19.517141,1,1433,3.0458932,18.778767,18.7424,0.11983541,0.1417,72.9746601,13.0995334,0.68,t17_f5_c3,0.9998232,18.6993,0.1748,509120236.0,False,False,False,bulk_1.0.0,0.0,1435286433615015008,,,
