,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59188.31902780011,1434319020915015010,2,1434319020915,20.173,1,1434,6.68232,20.2064,19.5834,0.207302,0.2349,77.0638254,9.3763276,0.285714,t17_f5_c3,19.7614,0.3548,False,False,False,bulk_1.0.0,0.0,1451204120915015009,,
1,ztf,59188.42562500015,1434425620915015005,1,1434425620915,19.810482,1,1434,3.2293222,19.988535,20.3347,0.200567,0.5411,77.0638937,9.3764174,0.63714284,t17_f5_c3,20.5137,0.8197,False,False,False,bulk_1.0.0,0.0,1451204120915015009,0.9999746,510120109.0
2,ztf,59190.20516199991,1436205160915015013,2,1436205160915,20.4399,1,1436,6.62277,19.7944,19.579,0.137647,0.1835,77.0638411,9.3764021,0.691429,t17_f5_c3,19.6739,0.2563,False,False,False,bulk_1.0.0,0.0,1451204120915015009,,
3,ztf,59193.300821799785,1439300820915015008,2,1439300820915,20.658175,1,1439,6.679175,19.716688,19.6445,0.11867602,0.1656,77.0638244,9.3764208,0.75,t17_f5_c3,19.5192,0.1889,False,False,False,bulk_1.0.0,0.0,1451204120915015009,0.9999992,510120209.0
4,ztf,59193.34172450006,1439341720915015013,1,1439341720915,20.786371,1,1439,3.5721016,19.57711,19.4335,0.09189744,0.1123,77.063795,9.3763964,0.8857143,t17_f5_c3,19.3738,0.1355,False,False,False,bulk_1.0.0,0.0,1451204120915015009,0.99999994,510120109.0
5,ztf,59195.34758100007,1441347580915015004,2,1441347580915,19.453,1,1441,6.49078,19.7601,19.5793,0.230415,0.4664,77.0638776,9.3763907,0.51,t17_f5_c3,19.8043,0.737,False,False,False,bulk_1.0.0,0.0,1451204120915015009,,
6,ztf,59198.26103009982,1444261030915015010,2,1444261030915,20.1575,1,1444,6.44882,20.0431,20.8187,0.237916,0.5962,77.0638912,9.3764717,0.64,t17_f5_c3,20.5563,0.6012,False,False,False,bulk_1.0.0,0.0,1451204120915015009,,
7,ztf,59198.26103009982,1444261030915025010,2,1444261030915,20.1575,1,1444,6.44882,20.0431,20.8187,0.237916,0.5962,77.0638912,9.3764717,0.64,t17_f5_c3,20.5563,0.6012,False,False,False,bulk_1.0.0,0.0,1465268430915015005,,
8,ztf,59198.34417819977,1444344170915015019,1,1444344170915,20.577662,1,1444,3.3292964,19.862833,19.8591,0.18701984,0.1779,77.063864,9.3764271,0.7385714,t17_f5_c3,19.9513,0.2476,False,False,False,bulk_1.0.0,0.0,1451204120915015009,0.9999589,510120109.0
9,ztf,59200.3098726999,1446309870915015029,1,1446309870915,20.0296,1,1446,3.52565,19.9302,19.8711,0.17898,0.3516,77.0638086,9.376439,0.458571,t17_f5_c3,19.5735,0.3432,False,False,False,bulk_1.0.0,0.0,1451204120915015009,,
