,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59190.274409700185,1436274400315015001,1,1436274400315,20.429,1,1436,1.94217,20.7632,21.029,0.269756,0.6351,64.7064095,-12.8521622,0.46,t17_f5_c3,21.0016,0.7995,False,False,False,bulk_1.0.0,0.0,1444310100315015002,,
1,ztf,59193.27089119982,1439270890315015004,2,1439270890315,20.279253,1,1439,6.1659856,19.97814,19.917,0.19506703,0.295,64.7063986,-12.8521799,0.7871429,t17_f5_c3,19.8455,0.3571,False,False,False,bulk_1.0.0,0.0,1444310100315015002,0.99999225,353120203.0
2,ztf,59193.33039350016,1439330390315015001,1,1439330390315,20.3019,1,1439,1.62125,20.3183,20.5984,0.251469,0.469,64.7064584,-12.8520471,0.492857,t17_f5_c3,20.9614,0.8433,False,False,False,bulk_1.0.0,0.0,1444310100315015002,,
3,ztf,59195.26199069992,1441261990315015004,2,1441261990315,19.965,1,1441,6.44336,20.1184,20.2128,0.218418,0.3808,64.7063238,-12.8522536,0.404286,t17_f5_c3,19.8868,0.3649,False,False,False,bulk_1.0.0,0.0,1444310100315015002,,
4,ztf,59198.25303239981,1444253030315015002,2,1444253030315,19.44,1,1444,6.49393,19.7058,19.6427,0.230745,0.2972,64.7063386,-12.8524588,0.228571,t17_f5_c3,19.7255,0.4128,False,False,False,bulk_1.0.0,0.0,1444310100315015002,,
5,ztf,59198.31010420015,1444310100315015002,1,1444310100315,20.095104,1,1444,1.8270617,19.71957,19.9561,0.1827114,0.2629,64.7063992,-12.8521318,0.7242857,t17_f5_c3,20.1148,0.3912,False,False,False,bulk_1.0.0,0.0,1448237960315015001,0.99989796,353120103.0
6,ztf,59202.23796299985,1448237960315015001,1,1448237960315,20.094475,1,1448,1.8404499,19.737885,19.819,0.1740272,0.2302,64.7063605,-12.8521421,0.7657143,t17_f5_c3,19.7447,0.2762,False,False,False,bulk_1.0.0,0.0,1450278370315015002,0.9999346,353120103.0
7,ztf,59202.29129630001,1448291290315015001,2,1448291290315,19.7349,1,1448,6.12144,19.6188,19.6472,0.241902,0.2457,64.7064099,-12.8520747,0.447143,t17_f5_c3,19.688,0.3285,False,False,False,bulk_1.0.0,0.0,1450278370315015002,,
8,ztf,59204.27837960003,1450278370315015002,2,1450278370315,20.020649,1,1450,6.212583,19.654425,20.1106,0.20112568,0.4016,64.7063794,-12.8521212,0.74857146,t17_f5_c3,19.9677,0.4545,False,False,False,bulk_1.0.0,0.0,1450301900315015002,0.9996855,353120203.0
9,ztf,59204.301909700036,1450301900315015002,1,1450301900315,20.272455,1,1450,1.7874147,19.75243,19.71,0.15992424,0.2122,64.7064065,-12.8521179,0.82714283,t17_f5_c3,19.9196,0.3302,True,False,False,bulk_1.0.0,0.0,0,0.9999875,353120103.0
