,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59189.26534719998,1435265345815015013,2,1435265345815,20.2685,1,1435,3.08624,20.6068,20.6672,0.253684,0.5781,74.287924,6.618497,0.714286,t17_f5_c3,20.563,0.6732,False,False,False,bulk_1.0.0,0.0,1440322515815015015,,
1,ztf,59189.395960600115,1435395965815015015,1,1435395965815,20.0277,1,1435,2.07478,20.3175,20.9189,0.301364,0.7987,74.2877233,6.6182977,0.678571,t17_f5_c3,20.8305,0.9439,False,False,False,bulk_1.0.0,0.0,1440322515815015015,,
2,ztf,59194.303993099835,1440303995815015011,2,1440303995815,20.391018,1,1440,2.5043168,19.641218,19.6434,0.12336694,0.1752,74.2878015,6.6183435,0.88857144,t17_f5_c3,19.4193,0.1817,False,False,False,bulk_1.0.0,0.0,1440322515815015015,0.9999025,457120258.0
3,ztf,59194.322511599865,1440322515815015015,1,1440322515815,20.690815,1,1440,2.6880226,19.695055,19.5924,0.13525142,0.1312,74.2878994,6.6183182,0.81714284,t17_f5_c3,19.8149,0.204,False,False,False,bulk_1.0.0,0.0,1449226055815015010,0.99999785,457120158.0
4,ztf,59196.28216439998,1442282165815015009,2,1442282165815,19.90271,1,1442,2.6065042,19.525076,19.6178,0.182987,0.2091,74.2878339,6.6183352,0.56857145,t17_f5_c3,19.6977,0.2877,False,False,False,bulk_1.0.0,0.0,1449226055815015010,0.9999242,457120258.0
5,ztf,59196.3283218001,1442328325815015012,1,1442328325815,20.3056,1,1442,2.60892,19.486,19.5161,0.159168,0.1433,74.2878733,6.6183265,0.731429,t17_f5_c3,19.5126,0.1819,False,False,False,bulk_1.0.0,0.0,1449226055815015010,,
6,ztf,59198.28564810008,1444285645815015007,2,1444285645815,20.0895,1,1444,2.92521,19.3753,19.2818,0.119366,0.1483,74.2879138,6.6183874,0.798571,t17_f5_c3,19.2106,0.1772,False,False,False,bulk_1.0.0,0.0,1449226055815015010,,
7,ztf,59198.28564810008,1444285645815025007,2,1444285645815,20.0895,1,1444,2.92521,19.3753,19.2818,0.119366,0.1483,74.2879138,6.6183874,0.798571,t17_f5_c3,19.2106,0.1772,False,False,False,bulk_1.0.0,0.0,1465268915815015013,,
8,ztf,59198.32090280019,1444320905815015007,1,1444320905815,20.242962,1,1444,2.500091,19.235552,19.248,0.14948258,0.1129,74.2878481,6.6182902,0.6571429,t17_f5_c3,19.1445,0.1307,False,False,False,bulk_1.0.0,0.0,1449226055815015010,0.9999827,457120158.0
9,ztf,59198.32090280019,1444320905815025007,1,1444320905815,20.243,1,1444,2.50009,19.2356,19.248,0.149483,0.1129,74.2878481,6.6182902,0.657143,t17_f5_c3,19.1445,0.1307,False,False,False,bulk_1.0.0,0.0,1465268915815015013,,
10,ztf,59200.323877300136,1446323875815015017,2,1446323875815,19.2601,1,1446,2.93255,19.427,19.9491,0.278931,0.8405,74.2879143,6.6183912,0.605714,t17_f5_c3,19.976,1.1063,False,False,False,bulk_1.0.0,0.0,1449226055815015010,,
11,ztf,59203.2260532002,1449226055815015010,2,1449226055815,20.208487,1,1449,2.5951147,19.171625,19.318,0.09995704,0.1599,74.2878349,6.6183115,0.9285714,t17_f5_c3,19.2751,0.1961,False,False,False,bulk_1.0.0,0.0,1451204595815015007,0.9999925,457120258.0
