,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59203.2260532002,1449226053315015000,2,1449226053315,20.242949,1,1449,1.1825526,18.624542,18.200365,18.5681,0.081026554,0.049781874,0.054822214,0.0784,77.5858727,6.3388492,0.94142854,t17_f5_c3,1.0,18.6169,0.1042,457120233.0,False,True,False,bulk_1.0.0,0.0,1.461235913315015e+18
1,ztf,59203.333368100226,1449333363315015000,1,1449333363315,20.22082,1,1449,1.3576841,18.510244,18.258944,18.3942,0.10065842,0.07821699,0.079860136,0.0565,77.5858984,6.338839,0.82,t17_f5_c3,0.9972567,18.2933,0.0651,457120133.0,False,True,False,bulk_1.0.0,0.0,1.461235913315015e+18
2,ztf,59205.2045948999,1451204593315015000,2,1451204593315,20.32407,1,1451,1.1026161,18.13192,17.84402,18.0454,0.06887629,0.050178707,0.05283358,0.0515,77.5858797,6.3388281,0.9442857,t17_f5_c3,0.9999994,18.0096,0.0631,457120233.0,False,True,False,bulk_1.0.0,0.0,1.461235913315015e+18
3,ztf,59205.28008100018,1451280083315015000,1,1451280083315,20.251328,1,1451,1.4187324,18.028126,,17.9283,0.054658648,,,0.0439,77.5858652,6.3388372,0.94714284,t17_f5_c3,0.99995935,17.883,0.0532,457120133.0,False,False,True,bulk_1.0.0,0.0,1.461235913315015e+18
4,ztf,59215.1506829001,1461150683315015000,1,1461150683315,18.90919,1,1461,1.4739587,17.40387,,17.347,0.06988179,,,0.0522,77.5858486,6.338841,0.46285716,t17_f5_c3,0.9469759,17.2552,0.0613,457120133.0,False,False,True,bulk_1.0.0,0.0,1.461235913315015e+18
5,ztf,59215.23591439985,1461235913315015000,2,1461235913315,19.326216,1,1461,1.2301987,17.471724,17.305624,17.5508,0.058718584,0.049372133,0.050388973,0.0579,77.5858492,6.3388406,0.88714284,t17_f5_c3,0.99999964,17.5447,0.0735,457120233.0,False,True,False,bulk_1.0.0,0.0,1.475232493315015e+18
6,ztf,59219.268912000116,1465268913315015000,2,1465268913315,20.53039,1,1465,1.1580381,17.540918,17.36473,17.4961,0.04713166,0.03863455,0.040071666,0.0256,77.5858701,6.3388403,0.93857145,t17_f5_c3,0.9999949,17.4917,0.0316,457120233.0,False,True,False,bulk_1.0.0,0.0,1.475232493315015e+18
7,ztf,59221.184930600226,1467184933315015000,1,1467184933315,19.1767,1,1467,1.45233,17.6541,,17.6152,0.074941,,,0.0959,77.5858694,6.3388499,0.968571,t17_f5_c3,,17.615,0.1223,,False,False,True,bulk_1.0.0,0.0,1.475232493315015e+18
8,ztf,59221.21121530002,1467211213315015001,2,1467211213315,20.5097,1,1467,1.21106,17.628,17.438314,17.6468,0.059044,0.048255462,0.04957942,0.0321,77.5858605,6.3388528,0.925714,t17_f5_c3,,17.665,0.0407,,False,True,False,bulk_1.0.0,0.0,1.475232493315015e+18
9,ztf,59223.18696760014,1469186963315015000,1,1469186963315,20.537971,1,1469,1.4454272,17.739344,,17.7164,0.05689378,,,0.0287,77.5858546,6.3388337,0.94142854,t17_f5_c3,0.9999986,17.6909,0.0348,457120133.0,False,False,True,bulk_1.0.0,0.0,1.475232493315015e+18
10,ztf,59223.258287000004,1469258283315015000,2,1469258283315,20.246325,1,1469,1.1833634,17.748821,17.538841,17.6771,0.05176109,0.040791105,0.042659037,0.0369,77.5858701,6.3388496,0.9442857,t17_f5_c3,1.0,17.6571,0.0456,457120233.0,False,True,False,bulk_1.0.0,0.0,1.475232493315015e+18
11,ztf,59225.1936458,1471193643315015000,1,1471193643315,19.833658,1,1471,1.4006311,17.888535,,17.8353,0.06695332,,,0.0507,77.5858561,6.3388163,0.7942857,t17_f5_c3,0.9999453,17.7608,0.0599,457120133.0,False,False,True,bulk_1.0.0,0.0,1.475232493315015e+18
12,ztf,59225.26909720013,1471269093315015000,2,1471269093315,20.2216,1,1471,1.15078,17.9103,17.670126,17.8664,0.041829,0.030423746,0.033528052,0.0416,77.585875,6.3388401,0.942857,t17_f5_c3,,17.8509,0.0517,,False,True,False,bulk_1.0.0,0.0,1.475232493315015e+18
13,ztf,59227.2086920999,1473208693315015000,1,1473208693315,20.662653,1,1473,1.4172049,18.008173,,18.0079,0.06807506,,,0.0367,77.5858763,6.3388425,0.9442857,t17_f5_c3,0.9997382,17.9727,0.0443,457120133.0,False,False,True,bulk_1.0.0,0.0,1.475232493315015e+18
14,ztf,59227.254270799924,1473254273315015000,2,1473254273315,20.439835,1,1473,1.1789559,17.998924,17.74058,17.9905,0.055249378,0.04087267,0.043550108,0.0417,77.5858728,6.3388518,0.94285715,t17_f5_c3,0.9999998,18.0042,0.0531,457120233.0,False,True,False,bulk_1.0.0,0.0,1.475232493315015e+18
15,ztf,59229.19280089997,1475192803315015000,1,1475192803315,19.7385,1,1475,1.43906,18.2043,,18.2543,0.104938,,,0.0486,77.5858996,6.3388686,0.454286,t17_f5_c3,,18.2124,0.059,,False,False,True,bulk_1.0.0,0.0,1.475232493315015e+18
16,ztf,59229.232499999925,1475232493315015000,2,1475232493315,19.636005,1,1475,1.1327164,18.170044,17.873144,18.1466,0.092565335,0.06833922,0.07041879,0.0527,77.5859013,6.3388555,0.41428572,t17_f5_c3,0.9983675,18.0984,0.0639,457120233.0,False,True,False,bulk_1.0.0,0.0,1.479193393315015e+18
17,ztf,59231.16870369995,1477168703315015000,2,1477168703315,19.874205,1,1477,1.0965871,18.159176,17.864866,18.1621,0.078853376,0.057719294,0.060130753,0.0544,77.5859016,6.3388428,0.73714286,t17_f5_c3,0.99998283,18.1306,0.0669,457120233.0,False,True,False,bulk_1.0.0,0.0,1.479193393315015e+18
18,ztf,59231.21424769983,1477214243315015000,1,1477214243315,20.177345,1,1477,1.3004984,18.404982,18.17461,18.3522,0.0853951,0.067440234,0.06906921,0.0536,77.5858982,6.3388275,0.8142857,t17_f5_c3,0.9962126,18.2893,0.064,457120133.0,False,True,False,bulk_1.0.0,0.0,1.479193393315015e+18
19,ztf,59233.193391200155,1479193393315015000,1,1479193393315,20.273085,1,1479,1.3534433,18.600632,18.330029,18.4967,0.070288196,0.052009918,0.054782417,0.0667,77.5858765,6.3388245,0.92714286,t17_f5_c3,0.99993014,18.4377,0.0801,457120133.0,False,True,False,bulk_1.0.0,0.0,1.479213073315015e+18
20,ztf,59233.213078700006,1479213073315015001,2,1479213073315,20.370907,1,1479,1.1193106,18.27278,17.950401,18.2175,0.059463892,0.040247608,0.044187758,0.055,77.5858883,6.3388425,0.9514286,t17_f5_c3,0.99999875,18.1938,0.068,457120233.0,True,True,False,bulk_1.0.0,0.0,0.0
21,ztf,59249.204988399986,1495204983315015000,2,1495204983315,20.283962,1,1495,1.0784582,18.654846,18.220776,18.7812,0.09942732,0.062420886,0.06666189,0.0907,77.5858898,6.3388263,0.9457143,t17_f5_c3,0.9999999,18.8518,0.123,457120233.0,True,True,False,correction_0.0.1,0.0,
22,ztf,59251.147419000044,1497147413315015000,1,1497147413315,20.2038,1,1497,1.81951,20.0672,,20.2103,0.218329,,,0.2779,77.5858704,6.3389787,0.611429,t17_f5_c3,,20.2569,0.3711,,False,False,True,correction_0.0.1,0.0,
23,ztf,59251.20862270007,1497208623315015000,2,1497208623315,20.470407,1,1497,1.1512815,18.807516,18.320726,18.7288,0.09116081,0.052266385,0.058222707,0.0797,77.5858829,6.3388482,0.94714284,t17_f5_c3,0.99999976,18.7214,0.1004,457120233.0,True,True,False,correction_0.0.1,0.0,
24,ztf,59253.17157409992,1499171573315015000,1,1499171573315,20.4122,1,1499,1.69926,20.1704,,19.7264,0.226873,,,0.2064,77.5858221,6.3389037,0.45,t17_f5_c3,,19.4497,0.2047,,False,False,True,correction_0.0.1,0.0,
25,ztf,59253.283321800176,1499283323315015001,2,1499283323315,20.422842,1,1499,1.1612847,18.986706,18.431711,18.8744,0.10819306,0.058341887,0.064893514,0.0981,77.5858713,6.3388405,0.93,t17_f5_c3,0.9999782,18.7765,0.114,457120233.0,True,True,False,correction_0.0.1,0.0,
26,ztf,59255.17206020001,1501172063315015003,1,1501172063315,20.71828,1,1501,1.4313602,20.133074,,20.0496,0.1843027,,,0.1957,77.5859361,6.3388941,0.8528572,t17_f5_c3,0.99082315,19.8457,0.2068,457120133.0,True,False,True,correction_0.0.1,0.0,
27,ztf,59255.2654281999,1501265423315015000,2,1501265423315,20.24427,1,1501,1.1368568,19.126518,18.513391,19.2255,0.1176767,0.05947604,0.06690208,0.1307,77.5858852,6.3388495,0.9357143,t17_f5_c3,1.0,19.1406,0.154,457120233.0,True,True,False,correction_0.0.1,0.0,
28,ztf,59257.183252300136,1503183253315015000,1,1503183253315,20.9259,1,1503,1.42957,20.2543,,19.8179,0.158528,,,0.1467,77.5858968,6.3388648,0.461429,t17_f5_c3,,19.665,0.1619,,False,False,True,correction_0.0.1,0.0,
29,ztf,59257.20814809995,1503208143315015000,2,1503208143315,20.639992,1,1503,1.1295469,19.1234,18.511618,19.0419,0.08671137,0.038740754,0.049358614,0.0892,77.5858863,6.3388418,0.93285716,t17_f5_c3,0.99999094,19.0397,0.1126,457120233.0,True,True,False,correction_0.0.1,0.0,
30,ztf,59262.194317100104,1508194313315015000,2,1508194313315,20.10846,1,1508,1.1934505,19.45457,18.687616,19.4327,0.1424899,0.06041137,0.07030763,0.2013,77.5859026,6.3388784,0.93714285,t17_f5_c3,0.9998528,19.382,0.2456,457120233.0,True,True,False,correction_0.0.1,0.0,
31,ztf,59264.14892360009,1510148923315015000,2,1510148923315,20.159357,1,1510,1.2121894,19.400686,18.660694,19.1667,0.10791707,0.041818175,0.05458754,0.1534,77.5858729,6.3388632,0.9042857,t17_f5_c3,0.99999166,18.9714,0.1639,457120233.0,True,True,False,correction_0.0.1,0.0,
32,ztf,59264.20636569988,1510206363315015000,1,1510206363315,20.014,1,1510,2.06374,20.4832,,20.6441,0.315001,,,0.6357,77.585766,6.338987,0.715714,t17_f5_c3,,20.5772,0.7673,,False,False,True,correction_0.0.1,0.0,
33,ztf,59267.15299770003,1513152993315015000,2,1513152993315,19.724033,1,1513,1.0259507,19.585983,18.750473,19.3467,0.15542577,0.06108394,0.07199775,0.2479,77.5858911,6.3388068,0.8757143,t17_f5_c3,0.9999965,19.1589,0.2676,457120233.0,True,True,False,correction_0.0.1,0.0,
34,ztf,59271.15005790023,1517150053315015000,2,1517150053315,19.779488,1,1517,1.1881953,19.524874,18.721737,19.4919,0.17790852,0.07636496,0.08490673,0.3013,77.5858242,6.3388029,0.85714287,t17_f5_c3,0.99986076,19.3878,0.3513,457120233.0,True,True,False,correction_0.0.1,0.0,
