,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58850.511354200076,1096511353415015008,2,1096511353415,19.74893,1,1096,0.22025338,19.578867,19.045486,19.5983,0.181816,0.106709726,0.111244895,0.241,251.1112973,62.2733909,0.7185714,t17_f5_c3,0.99657166,19.9865,0.441,824120234.0,False,True,False,bulk_1.0.0,0.0,1121547533415015011
1,ztf,58850.55517360009,1096555173415015010,1,1096555173415,20.21585,1,1096,0.40096998,19.518417,19.155869,19.5389,0.14399093,0.10106742,0.1031136,0.1492,251.1114222,62.2733745,0.65,t17_f5_c3,0.99989194,19.5493,0.1921,824120134.0,False,True,False,bulk_1.0.0,0.0,1121547533415015011
2,ztf,58851.49971059989,1097499713415015013,2,1097499713415,19.2126,1,1097,0.23898,19.5296,19.015078,19.8211,0.26538,0.16236575,0.1652188,0.5289,251.1112949,62.2734455,0.641429,t17_f5_c3,,19.5912,0.5496,,False,True,False,bulk_1.0.0,0.0,1121547533415015011
3,ztf,58851.55624999991,1097556253415015005,1,1097556253415,20.13759,1,1097,0.12921515,19.58447,19.202759,19.5808,0.17252022,0.11949132,0.121382274,0.1716,251.1112579,62.2733807,0.84,t17_f5_c3,0.9991709,19.6429,0.2319,824120134.0,False,True,False,bulk_1.0.0,0.0,1121547533415015011
4,ztf,58852.530451400205,1098530453415015008,1,1098530453415,20.482903,1,1098,0.32305053,19.518497,19.155926,19.3947,0.10880657,0.075186916,0.07791603,0.1316,251.1112925,62.2734565,0.93142855,t17_f5_c3,0.9999884,19.3126,0.1554,824120134.0,False,True,False,bulk_1.0.0,0.0,1121547533415015011
5,ztf,58852.55810189992,1098558103415015015,2,1098558103415,20.455877,1,1098,0.23578487,19.615835,19.067957,19.3293,0.13451257,0.07459817,0.08121034,0.1459,251.1112014,62.273479,0.80285716,t17_f5_c3,0.99999297,19.3391,0.188,824120234.0,False,True,False,bulk_1.0.0,0.0,1121547533415015011
6,ztf,58853.533715299796,1099533713415015008,1,1099533713415,20.263746,1,1099,0.36049283,19.440416,19.09945,19.469,0.1540035,0.1108114,0.11249762,0.1466,251.1113205,62.2734651,0.81857145,t17_f5_c3,0.99989104,19.5095,0.194,824120134.0,False,True,False,bulk_1.0.0,0.0,1121547533415015011
7,ztf,58854.55291670002,1100552913415015005,1,1100552913415,19.5178,1,1100,0.519099,19.611,19.221357,19.7935,0.304686,0.21170118,0.21281153,0.1989,251.111479,62.2734322,0.26,t17_f5_c3,,19.5691,0.2073,,False,True,False,bulk_1.0.0,0.0,1121547533415015011
8,ztf,58854.57699069986,1100576993415015003,2,1100576993415,19.1325,1,1100,0.425205,19.2815,18.854092,19.9091,0.242931,0.16174403,0.16387771,0.4219,251.111355,62.2734877,0.53,t17_f5_c3,,19.7355,0.4616,,False,True,False,bulk_1.0.0,0.0,1130555233415015008
9,ztf,58855.50459490018,1101504593415015004,1,1101504593415,20.199238,1,1101,0.18315007,19.436611,19.096668,19.4495,0.17148255,0.123881154,0.12538408,0.1633,251.1112366,62.273431,0.86142856,t17_f5_c3,0.99987483,19.4029,0.1999,824120134.0,False,True,False,bulk_1.0.0,0.0,1130555233415015008
10,ztf,58859.49005790008,1105490053415015005,2,1105490053415,19.53145,1,1105,0.22888015,19.398867,18.931856,19.6582,0.18439244,0.11654257,0.119933106,0.4692,251.111152,62.273474,0.87142855,t17_f5_c3,0.99990463,19.6123,0.5782,824120234.0,False,True,False,bulk_1.0.0,0.0,1130555233415015008
11,ztf,58861.48671300011,1107486713415015002,1,1107486713415,18.7484,1,1107,0.408148,19.1439,18.875217,18.8365,0.251627,0.19582944,0.19646451,0.2305,251.1111789,62.2735011,0.29,t17_f5_c3,,19.3744,0.4851,,False,True,False,bulk_1.0.0,0.0,1130555233415015008
