,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58873.19528939994,1119195285815015016,2,1119195285815,20.4511,1,1119,16.4389,20.8069,20.7993,0.28727,0.5174,108.4539098,35.8362413,0.347143,t17_f5_c3,20.4942,0.5022,False,False,False,bulk_1.0.0,0.0,1136306805815015006,,
1,ztf,58874.24559029983,1120245595815015011,2,1120245595815,20.0195,1,1120,16.2687,20.3662,20.0634,0.278116,0.4089,108.4540356,35.8364738,0.322857,t17_f5_c3,20.4576,0.7539,False,False,False,bulk_1.0.0,0.0,1136306805815015006,,
2,ztf,58875.218900499865,1121218905815015021,2,1121218905815,20.159147,1,1121,16.58071,19.957981,19.8112,0.19226064,0.2149,108.4539481,35.8363408,0.38428572,t17_f5_c3,19.6791,0.2438,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.99678767,662120258.0
3,ztf,58876.19478010014,1122194785815015013,1,1122194785815,20.671621,1,1122,12.08495,19.716688,19.7564,0.14442831,0.1624,108.4539855,35.8363642,0.7942857,t17_f5_c3,19.7885,0.2137,True,False,False,bulk_1.0.0,0.0,0,0.9999993,662120158.0
4,ztf,58876.19478010014,1122194785815025014,1,1122194785815,20.6722,1,1122,12.0691,19.7198,19.7399,0.144185,0.1599,108.4539852,35.8363583,0.778571,t17_f5_c3,19.7609,0.2084,False,False,False,bulk_1.0.0,0.0,1136306805815015006,,
5,ztf,58878.18305560015,1124183055815015007,2,1124183055815,19.6981,1,1124,16.31205,19.296375,19.1356,0.15040328,0.1384,108.4540328,35.8363714,0.27285713,t17_f5_c3,19.1831,0.185,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.99940675,662120258.0
6,ztf,58879.172048599925,1125172045815015005,1,1125172045815,19.935638,1,1125,12.099411,18.863228,18.8547,0.121428736,0.1034,108.4539644,35.8363556,0.68285716,t17_f5_c3,18.8605,0.1328,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.99998677,662120158.0
7,ztf,58880.20662039984,1126206625815015008,2,1126206625815,20.282413,1,1126,16.465645,18.924326,18.6295,0.089292414,0.0807,108.4539793,35.8363823,0.66571426,t17_f5_c3,18.6324,0.103,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.9999985,662120258.0
8,ztf,58881.186550899874,1127186555815015011,1,1127186555815,20.212257,1,1127,12.2822075,18.535873,18.4426,0.07986444,0.0711,108.4539359,35.8364022,0.9,t17_f5_c3,18.4359,0.0901,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.9999998,662120158.0
9,ztf,58881.260266200174,1127260265815015010,2,1127260265815,20.226227,1,1127,16.463673,18.718876,18.6311,0.08124331,0.0829,108.4539821,35.8363967,0.9042857,t17_f5_c3,18.4954,0.0933,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.99999994,662120258.0
10,ztf,58882.144270800054,1128144275815015008,2,1128144275815,20.08614,1,1128,16.50789,18.69589,18.6826,0.106295526,0.0995,108.453957,35.8364264,0.9028571,t17_f5_c3,18.5436,0.1119,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.999988,662120258.0
11,ztf,58884.17013890017,1130170135815015007,2,1130170135815,19.276083,1,1130,16.561878,18.460678,18.5855,0.12629856,0.1517,108.4539475,35.8363638,0.6471428,t17_f5_c3,18.5353,0.186,False,False,False,bulk_1.0.0,0.0,1136306805815015006,0.9999919,662120258.0
12,ztf,58890.30680559995,1136306805815015006,1,1136306805815,19.419933,1,1136,12.264936,18.223267,18.1759,0.09100886,0.0971,108.4539227,35.8363917,0.82,t17_f5_c3,18.1112,0.1172,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.9999585,662120158.0
13,ztf,58892.284247700125,1138284245815015008,2,1138284245815,20.077093,1,1138,16.502932,18.384718,18.3424,0.07320633,0.0739,108.4539595,35.8364207,0.9285714,t17_f5_c3,18.2754,0.0886,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.9999999,662120258.0
14,ztf,58894.247303199954,1140247305815015009,2,1140247305815,20.491371,1,1140,16.549974,18.460154,18.5187,0.074031055,0.0647,108.4539453,35.8364166,0.91,t17_f5_c3,18.5855,0.0871,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.99997556,662120258.0
15,ztf,58895.19993059989,1141199935815015013,1,1141199935815,20.736563,1,1141,12.246903,18.464285,18.4062,0.077025205,0.0467,108.4539772,35.8364168,0.92,t17_f5_c3,18.3575,0.0561,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.99999976,662120158.0
16,ztf,58898.13849540008,1144138495815015015,2,1144138495815,20.484833,1,1144,16.57175,18.693684,18.5891,0.06398393,0.0698,108.4539386,35.8364048,0.9057143,t17_f5_c3,18.666,0.0951,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.99999905,662120258.0
17,ztf,58898.1631713002,1144163175815015019,2,1144163175815,20.540947,1,1144,16.553434,18.704334,18.6718,0.064761095,0.0713,108.4539424,35.8364223,0.93142855,t17_f5_c3,18.7348,0.0956,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.99997497,662120258.0
18,ztf,58898.23605319997,1144236055815015020,1,1144236055815,20.876705,1,1144,12.234941,18.631306,18.5861,0.08239176,0.0498,108.4539814,35.8364154,0.92714286,t17_f5_c3,18.531,0.0595,False,False,False,bulk_1.0.0,0.0,1145224295815015013,0.99999994,662120158.0
19,ztf,58899.22429399984,1145224295815015013,1,1145224295815,20.795853,1,1145,12.238955,18.636946,18.5129,0.075519346,0.0508,108.4539649,35.8364078,0.92142856,t17_f5_c3,18.4973,0.063,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.99999976,662120158.0
20,ztf,58900.18609949993,1146186095815015179,2,1146186095815,19.360466,1,1146,16.588045,18.851503,18.7967,0.12053224,0.2379,108.4539337,35.8363971,0.63714284,t17_f5_c3,18.7171,0.2835,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.99986756,662120258.0
21,ztf,58903.17211809987,1149172115815015017,2,1149172115815,20.39541,1,1149,16.455706,18.968107,19.0055,0.1032112,0.1037,108.4539769,35.8364339,0.92,t17_f5_c3,19.0274,0.1347,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.9999869,662120258.0
22,ztf,58903.18208329985,1149182085815015011,2,1149182085815,20.451736,1,1149,16.56745,19.008778,18.8902,0.08776979,0.0923,108.4539388,35.836413,0.88714284,t17_f5_c3,18.9704,0.1263,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.9999985,662120258.0
23,ztf,58903.242928199936,1149242925815015011,1,1149242925815,20.734325,1,1149,12.256219,18.941767,18.9557,0.09189647,0.077,108.4539749,35.8364198,0.9071429,t17_f5_c3,18.8789,0.0911,False,False,False,bulk_1.0.0,0.0,1158173955815015010,1.0,662120158.0
24,ztf,58904.158703700174,1150158705815015011,1,1150158705815,20.733597,1,1150,12.217601,19.074308,19.0421,0.104665026,0.0868,108.4539732,35.8364043,0.9057143,t17_f5_c3,19.027,0.1088,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.9999996,662120158.0
25,ztf,58906.14498839993,1152144985815025008,1,1152144985815,20.3632,1,1152,12.1638,19.2481,19.1375,0.122771,0.1101,108.453979,35.8363893,0.75,t17_f5_c3,19.1737,0.1452,False,False,False,bulk_1.0.0,0.0,1158173955815015010,,
26,ztf,58906.16877309978,1152168775815025006,2,1152168775815,19.7356,1,1152,16.5934,18.9816,18.8744,0.1321,0.1394,108.4539365,35.8363646,0.617143,t17_f5_c3,18.89,0.181,False,False,False,bulk_1.0.0,0.0,1158173955815015010,,
27,ztf,58906.26265050005,1152262655815025011,1,1152262655815,20.3103,1,1152,12.1304,19.2749,19.1428,0.128696,0.11,108.4539798,35.8363799,0.735714,t17_f5_c3,19.1512,0.1415,False,False,False,bulk_1.0.0,0.0,1158173955815015010,,
28,ztf,58909.11450230004,1155114505815015004,2,1155114505815,19.591192,1,1155,16.220259,19.110004,18.9603,0.16867067,0.1397,108.4540668,35.8363647,0.45285714,t17_f5_c3,18.9845,0.1828,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.99977803,662120258.0
29,ztf,58909.18910880014,1155189105815015003,1,1155189105815,19.7706,1,1155,11.9205,19.6323,19.8975,0.220591,0.2285,108.4540092,35.8363216,0.395714,t17_f5_c3,19.9346,0.3029,False,False,False,bulk_1.0.0,0.0,1158173955815015010,,
30,ztf,58912.16504629981,1158165045815015011,1,1158165045815,19.91564,1,1158,12.179062,19.753445,19.6752,0.21666114,0.3212,108.453998,35.8364082,0.62714285,t17_f5_c3,20.1429,0.6338,False,False,False,bulk_1.0.0,0.0,1158173955815015010,0.99577916,662120158.0
31,ztf,58912.17395830015,1158173955815015010,2,1158173955815,19.863197,1,1158,16.555574,19.233376,18.9997,0.13745052,0.178,108.4539438,35.8364066,0.7228571,t17_f5_c3,19.3242,0.3076,False,False,False,bulk_1.0.0,0.0,1161143795815015003,0.99323094,662120258.0
32,ztf,58915.14379630005,1161143795815015003,2,1161143795815,19.613857,1,1161,16.59968,19.39156,19.0382,0.18113752,0.2411,108.4539193,35.8364687,0.41285715,t17_f5_c3,18.939,0.2827,True,False,False,bulk_1.0.0,0.0,0,0.9891449,662120258.0
