,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58887.434224499855,1133434226115015009,1,1133434226115,19.4721,1,1133,4.38131,19.9124,19.5606,0.317998,0.4339,198.7429306,65.3060898,0.281429,t17_f5_c3,19.1453,0.3804,False,False,False,bulk_1.0.0,0.0,1144364584915015024,,
1,ztf,58887.510231500026,1133510236115015009,2,1133510236115,19.5579,1,1133,4.14441,19.8832,19.9477,0.329131,0.567,198.7429886,65.3062446,0.381429,t17_f5_c3,20.2313,0.9458,False,False,False,bulk_1.0.0,0.0,1144364584915015024,,
2,ztf,58890.509884300176,1136509886115015008,1,1136509886115,18.9671,1,1136,4.49093,19.5369,19.1849,0.327728,0.2828,198.7434968,65.3061434,0.155714,t17_f5_c3,19.0675,0.3261,False,False,False,bulk_1.0.0,0.0,1144364584915015024,,
3,ztf,58891.4458217998,1137445824915015002,1,1137445824915,19.598028,1,1137,1.7554233,19.511423,19.1496,0.19254625,0.2259,198.7432645,65.306094,0.26857144,t17_f5_c3,18.9991,0.2525,False,False,False,bulk_1.0.0,0.0,1144364584915015024,0.9980607,820120149.0
4,ztf,58891.486944399774,1137486946115015003,2,1137486946115,19.9353,1,1137,4.5393,19.9367,20.1374,0.244597,0.5012,198.7430666,65.3061382,0.67,t17_f5_c3,19.8048,0.4742,False,False,False,bulk_1.0.0,0.0,1144364584915015024,,
5,ztf,58892.32290509995,1138322904915015021,2,1138322904915,19.741293,1,1138,5.5528607,19.697367,19.736,0.20141304,0.3719,198.7431382,65.3060215,0.5042857,t17_f5_c3,20.2625,0.7753,False,False,False,bulk_1.0.0,0.0,1144364584915015024,0.99996156,820120249.0
6,ztf,58892.367939800024,1138367934915015005,1,1138367934915,19.7282,1,1138,2.05753,19.5727,19.7691,0.227679,0.3703,198.7430053,65.3061486,0.697143,t17_f5_c3,20.1514,0.6756,False,False,False,bulk_1.0.0,0.0,1144364584915015024,,
7,ztf,58892.38887730008,1138388876115015003,1,1138388876115,19.8785,1,1138,4.55284,19.5899,19.414,0.270892,0.2441,198.7431336,65.3060883,0.445714,t17_f5_c3,19.1849,0.2538,False,False,False,bulk_1.0.0,0.0,1144364584915015024,,
8,ztf,58892.50787039986,1138507876115015002,2,1138507876115,19.881548,1,1138,4.613185,19.7413,19.4084,0.17424645,0.2478,198.7431843,65.3061401,0.66571426,t17_f5_c3,19.1101,0.2418,False,False,False,bulk_1.0.0,0.0,1144364584915015024,0.9999521,821120261.0
9,ztf,58893.31593749998,1139315934915015003,2,1139315934915,20.042974,1,1139,5.428133,19.640364,19.545,0.18406317,0.2566,198.743103,65.3060793,0.63285714,t17_f5_c3,19.4958,0.3146,False,False,False,bulk_1.0.0,0.0,1144364584915015024,0.9999599,820120249.0
10,ztf,58893.31920140004,1139319204915015009,2,1139319204915,20.022636,1,1139,5.377776,19.525145,19.2573,0.1955669,0.1969,198.7430531,65.3061105,0.54714286,t17_f5_c3,19.0948,0.2175,False,False,False,bulk_1.0.0,0.0,1144364584915015024,0.9996549,820120249.0
