,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58898.36315969983,1144363150815015012,2,1144363150815,20.96198,1,1144,2.7706227,17.791355,17.8017,0.046071902,0.0369,183.3561405,37.6993817,0.8971428,t17_f5_c3,0.99913204,17.7771,0.0419,715120208.0,False,False,False,bulk_1.0.0,0.0,1150465930815015002
1,ztf,58899.34049770003,1145340490815015006,2,1145340490815,20.727617,1,1145,2.745708,17.581919,17.5782,0.0548981,0.0332,183.3561586,37.6993888,0.9185714,t17_f5_c3,0.9993041,17.5306,0.0373,715120208.0,False,False,False,bulk_1.0.0,0.0,1150465930815015002
2,ztf,58900.41059029987,1146410590815015002,2,1146410590815,19.668003,1,1146,2.7768583,17.368595,17.3797,0.051346652,0.0587,183.3561513,37.6993794,0.9085714,t17_f5_c3,0.99999917,17.3487,0.0705,715120208.0,False,False,False,bulk_1.0.0,0.0,1150465930815015002
3,ztf,58901.38969910005,1147389690815015003,2,1147389690815,20.798628,1,1147,2.7523246,17.245073,17.278,0.042937767,0.0249,183.3561481,37.6993918,0.94,t17_f5_c3,0.9999864,17.2757,0.0289,715120208.0,False,False,False,bulk_1.0.0,0.0,1150465930815015002
4,ztf,58903.40464119986,1149404640815015007,2,1149404640815,20.864386,1,1149,2.7527862,17.163097,17.1888,0.042444464,0.0229,183.3561527,37.6993907,0.93714285,t17_f5_c3,0.9999887,17.2028,0.0268,715120208.0,False,False,False,bulk_1.0.0,0.0,1150465930815015002
5,ztf,58904.46593749989,1150465930815015002,2,1150465930815,20.326965,1,1150,2.7673366,17.094866,17.1401,0.05592062,0.0248,183.3561726,37.6993778,0.88714284,t17_f5_c3,0.9999784,17.1187,0.0288,715120208.0,False,False,False,bulk_1.0.0,0.0,1160366420815015003
6,ztf,58906.47143519996,1152471430815025003,2,1152471430815,20.3844,1,1152,2.74549,17.0815,17.0921,0.044248,0.0249,183.3561673,37.6993905,0.902857,t17_f5_c3,,17.088,0.0294,,False,False,False,bulk_1.0.0,0.0,1182403390815015006
7,ztf,58911.443113400135,1157443110815015011,2,1157443110815,20.361269,1,1157,2.787951,16.997992,17.0519,0.045895364,0.0233,183.356158,37.6993789,0.9285714,t17_f5_c3,0.9999963,17.0407,0.0272,715120208.0,False,False,False,bulk_1.0.0,0.0,1182403390815015006
8,ztf,58912.4522338002,1158452230815015007,2,1158452230815,20.683123,1,1158,2.6956344,16.994001,17.037,0.05563203,0.0218,183.3561654,37.6994091,0.9071429,t17_f5_c3,0.9995215,17.0477,0.0257,715120208.0,False,False,False,bulk_1.0.0,0.0,1182403390815015006
9,ztf,58913.47085649986,1159470850815015001,2,1159470850815,20.201817,1,1159,2.7281718,16.98929,17.0212,0.0466819,0.0284,183.3561556,37.6993936,0.9257143,t17_f5_c3,0.9999849,16.9929,0.0332,715120208.0,False,False,False,bulk_1.0.0,0.0,1182403390815015006
10,ztf,58914.36642359989,1160366420815015003,2,1160366420815,20.105066,1,1160,2.7222977,17.051056,17.0221,0.03902309,0.0298,183.3561612,37.6993949,0.89857143,t17_f5_c3,0.99998844,16.9809,0.0353,715120208.0,False,False,False,bulk_1.0.0,0.0,1190363190815015006
11,ztf,58915.42975689983,1161429750815015003,2,1161429750815,19.46533,1,1161,2.751512,17.097904,17.1659,0.04325717,0.0546,183.3561578,37.6993865,0.9114286,t17_f5_c3,0.99999964,17.2271,0.0727,715120208.0,False,False,False,bulk_1.0.0,0.0,1190363190815015006
12,ztf,58936.40339120012,1182403390815015006,2,1182403390815,20.591665,1,1182,2.7086794,18.490198,18.369,0.06966506,0.0725,183.3561434,37.6994021,0.88285714,t17_f5_c3,0.9998137,18.2823,0.0802,715120208.0,False,False,False,bulk_1.0.0,0.0,1190363190815015006
13,ztf,58939.39055560017,1185390550815015006,2,1185390550815,18.5856,1,1185,2.75536,18.3788,17.6111,0.182163,0.1697,183.3562322,37.6993837,0.444286,t17_f5_c3,,17.4264,0.1822,,False,False,False,bulk_1.0.0,0.0,1190363190815015006
14,ztf,58944.36319439998,1190363190815015006,2,1190363190815,19.605516,1,1190,2.7243307,18.84023,18.5389,0.13715163,0.1654,183.3561106,37.6993994,0.7557143,t17_f5_c3,0.9999783,18.4652,0.1951,715120208.0,True,False,False,bulk_1.0.0,0.0,0
