,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58936.29868059978,1182298682415015004,1,1182298682415,20.718872,1,1182,0.19946262,17.977339,17.061396,17.9443,0.053369954,0.005755678,0.02295725,0.0351,204.1228267,47.5739766,0.9671429,t17_f5_c3,0.99999934,17.9052,0.041,757120124,False,True,False,bulk_1.0.0,0.0,1201326902415015003
1,ztf,58936.4276389,1182427632415015002,2,1182427632415,20.624405,1,1182,0.29042584,17.98739,16.49079,18.027,0.07112492,100.0,0.017921774,0.0441,204.1228603,47.573998,0.9557143,t17_f5_c3,0.9999708,18.0351,0.0533,757120224,False,True,False,bulk_1.0.0,0.0,1201326902415015003
2,ztf,58939.34790509986,1185347902415015001,1,1185347902415,19.98814,1,1185,0.1956977,18.131586,17.12508,18.085,0.08836976,0.025836991,0.034970466,0.0712,204.1228244,47.5739747,0.9614286,t17_f5_c3,0.9999982,18.0812,0.0887,757120124,False,True,False,bulk_1.0.0,0.0,1201326902415015003
3,ztf,58939.423692100216,1185423692415015000,2,1185423692415,20.034029,1,1185,0.3032669,18.093996,16.51668,18.1149,0.07757525,100.0,0.018146668,0.0773,204.1228802,47.5739873,0.96,t17_f5_c3,0.9998898,18.1381,0.0978,757120224,False,True,False,bulk_1.0.0,0.0,1201326902415015003
4,ztf,58940.386979199946,1186386972415015001,1,1186386972415,20.026762,1,1186,0.3060756,18.228706,17.162481,18.0768,0.085843235,0.020947423,0.03215261,0.0658,204.122878,47.573981,0.9185714,t17_f5_c3,0.99999857,18.0114,0.077,757120124,False,True,False,bulk_1.0.0,0.0,1201326902415015003
5,ztf,58941.426921300124,1187426922415015001,2,1187426922415,20.602356,1,1187,0.24063636,18.18459,16.537205,18.2106,0.06277356,100.0,0.0137664825,0.05,204.1228284,47.5739943,0.9557143,t17_f5_c3,0.9999995,18.2416,0.0612,757120224,False,True,False,bulk_1.0.0,0.0,1201326902415015003
6,ztf,58941.45013889996,1187450132415015001,1,1187450132415,20.601427,1,1187,0.166009,18.3289,17.198935,18.2899,0.08066172,0.013240793,0.028489292,0.0431,204.1228302,47.5739583,0.9128571,t17_f5_c3,0.9999597,18.2098,0.0483,757120124,False,True,False,bulk_1.0.0,0.0,1201326902415015003
7,ztf,58943.417106499895,1189417102415015000,1,1189417102415,19.989092,1,1189,0.29889485,18.49888,17.25598,18.5533,0.07445981,100.0,0.02370074,0.1079,204.1228505,47.5739978,0.9714286,t17_f5_c3,0.9999998,18.5146,0.1319,757120124,False,True,False,bulk_1.0.0,0.0,1201326902415015003
8,ztf,58944.4754745001,1190475472415015000,1,1190475472415,19.638903,1,1190,0.34422073,18.572487,17.278873,18.4731,0.09691447,0.01137822,0.029440343,0.1222,204.1228865,47.5739912,0.98,t17_f5_c3,0.99996495,18.4389,0.1508,757120124,False,True,False,bulk_1.0.0,0.0,1201259912415015000
9,ztf,58954.31193289999,1200311932415015004,1,1200311932415,20.72712,1,1200,0.23944005,19.671942,17.512262,19.6273,0.116314106,100.0,0.015913319,0.1495,204.1228362,47.5739841,0.95428574,t17_f5_c3,0.99998724,19.5657,0.1738,757120124,False,True,False,bulk_1.0.0,0.0,1201259912415015000
10,ztf,58954.44623839995,1200446232415015002,2,1200446232415,20.252676,1,1200,0.31321713,18.531298,16.604328,18.6833,0.09623199,100.0,0.016312907,0.0962,204.1228498,47.5740098,0.9714286,t17_f5_c3,0.999995,18.6194,0.1114,757120224,False,True,False,bulk_1.0.0,0.0,1201326902415015003
11,ztf,58955.25991899986,1201259912415015000,2,1201259912415,20.65777,1,1201,0.3315833,18.659937,16.62509,18.5835,0.09158455,100.0,0.014056686,0.0709,204.122855,47.5740137,0.9514286,t17_f5_c3,0.99999774,18.6414,0.0898,757120224,False,True,False,bulk_1.0.0,0.0,1201326902415015003
12,ztf,58955.32690969994,1201326902415015003,1,1201326902415,20.79608,1,1201,0.4409846,19.965403,17.548027,19.752,0.15481342,100.0,0.016705446,0.1633,204.1229507,47.5739642,0.92142856,t17_f5_c3,0.9999924,19.5384,0.1651,757120124,False,True,False,bulk_1.0.0,0.0,1220271232415015001
13,ztf,58962.29554399988,1208295542415015002,2,1208295542415,20.662567,1,1208,0.23495623,19.11293,16.683477,19.3388,0.12007253,100.0,0.012813338,0.1396,204.1228584,47.5739751,0.85571426,t17_f5_c3,0.99942684,19.3589,0.1719,757120224,False,True,False,bulk_1.0.0,0.0,1220271232415015001
14,ztf,58968.36370369978,1214363702415015000,2,1214363702415,20.77037,1,1214,0.4141467,19.234447,16.695814,19.4652,0.11082235,100.0,0.010694841,0.1479,204.1229378,47.5739824,0.85714287,t17_f5_c3,0.9999942,19.5315,0.1884,757120224,False,True,False,bulk_1.0.0,0.0,1220271232415015001
15,ztf,58974.271238400135,1220271232415015001,2,1220271232415,19.93104,1,1220,0.42032018,19.527946,16.72092,19.2426,0.16374226,100.0,0.012341011,0.2316,204.1229366,47.5739882,0.8742857,t17_f5_c3,0.99991333,19.5384,0.3838,757120224,False,True,False,bulk_1.0.0,0.0,1226330112415015002
16,ztf,58980.33011570014,1226330112415015002,2,1226330112415,20.165989,1,1226,0.08882606,19.36747,16.707964,20.0309,0.19863927,100.0,0.017149957,0.3336,204.1227571,47.5739563,0.77428573,t17_f5_c3,0.99994534,19.9651,0.3893,757120224,True,True,False,bulk_1.0.0,0.0,0
