,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58849.50668979995,1095506685115015011,1,1095506685115,19.957045,1,1095,3.2100122,19.262993,19.4406,0.15296403,0.1735,267.1220967,78.3968324,0.74285716,t17_f5_c3,0.99972725,19.604,0.2573,864120151.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
1,ztf,58850.51225689985,1096512255115015020,2,1096512255115,19.57355,1,1096,3.1974635,18.99923,18.92,0.14689015,0.1427,267.1225169,78.39682,0.52428573,t17_f5_c3,0.99918884,18.8135,0.1653,864120251.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
2,ztf,58850.55328699993,1096553285115015016,1,1096553285115,19.894281,1,1096,3.4735222,19.172592,19.3118,0.14793076,0.1391,267.1217816,78.3969426,0.59,t17_f5_c3,0.999469,19.1999,0.16,864120151.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
3,ztf,58851.55521989986,1097555215115015011,1,1097555215115,19.88957,1,1097,3.6467707,19.377136,19.1889,0.19443643,0.142,267.1226866,78.3969036,0.32,t17_f5_c3,0.99621403,19.1845,0.1805,864120151.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
4,ztf,58852.52954859985,1098529545115015019,1,1098529545115,20.429026,1,1098,3.3918626,19.424442,19.2515,0.15179418,0.1291,267.1222108,78.396875,0.7457143,t17_f5_c3,0.9999823,19.2572,0.1653,864120151.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
5,ztf,58852.55899310019,1098558995115015009,2,1098558995115,20.253077,1,1098,3.1662447,19.346766,19.3697,0.12870394,0.1696,267.1227629,78.3968537,0.7785714,t17_f5_c3,0.78381884,19.1258,0.1732,864120251.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
6,ztf,58853.507696799934,1099507695115015011,1,1099507695115,20.159868,1,1099,3.5310051,19.353437,19.5104,0.12656458,0.1758,267.1223803,78.3969001,0.8428571,t17_f5_c3,0.99993885,19.3559,0.195,864120151.0,False,False,False,bulk_1.0.0,0.0,1110514405115015009
7,ztf,58859.49186340021,1105491865115015032,2,1105491865115,19.3603,1,1105,3.61499,19.6105,19.4111,0.245748,0.4033,267.1235364,78.3968164,0.381429,t17_f5_c3,,19.0497,0.3716,,False,False,False,bulk_1.0.0,0.0,1110514405115015009
8,ztf,58864.51440969994,1110514405115015009,2,1110514405115,20.005749,1,1110,2.911877,19.875841,19.793,0.1875795,0.3125,267.1227223,78.3969371,0.6028572,t17_f5_c3,0.99941957,19.6797,0.3609,864120251.0,False,False,False,bulk_1.0.0,0.0,1112533475115015010
9,ztf,58866.533472199924,1112533475115015010,2,1112533475115,20.095873,1,1112,3.073616,19.88066,20.0956,0.2028906,0.3737,267.1224744,78.3968518,0.5442857,t17_f5_c3,0.9949075,20.2277,0.5399,864120251.0,False,False,False,bulk_1.0.0,0.0,1119514695115015015
10,ztf,58871.52983799996,1117529835115015010,2,1117529835115,19.7008,1,1117,3.36161,19.9951,20.105,0.344806,0.414,267.1230099,78.3968245,0.175714,t17_f5_c3,,20.2577,0.6106,,False,False,False,bulk_1.0.0,0.0,1119514695115015015
11,ztf,58873.51469910005,1119514695115015015,2,1119514695115,20.08323,1,1119,2.9908602,20.033558,20.1199,0.19089162,0.3655,267.122332,78.3968631,0.6142857,t17_f5_c3,0.99964803,20.0786,0.4504,864120251.0,True,False,False,bulk_1.0.0,0.0,0
