,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58936.48605319997,1182486054115015010,1,1182486054115,20.688385,1,1182,0.8626128,18.840008,18.55092,18.7698,0.10671194,0.07991636,0.08176705,0.0663,270.7359264,63.5050376,0.95,t17_f5_c3,0.99998474,18.664,0.0758,826120141.0,False,True,False,bulk_1.0.0,0.0,1190467124115015002
1,ztf,58936.5187615999,1182518764115015004,2,1182518764115,20.568634,1,1182,1.1280414,18.853437,18.344988,18.7226,0.079891555,0.03922337,0.050017383,0.0782,270.7358964,63.5050289,0.96,t17_f5_c3,0.9999994,18.7547,0.1018,826120241.0,False,True,False,bulk_1.0.0,0.0,1190467124115015002
2,ztf,58940.4681712999,1186468174115015013,1,1186468174115,19.697313,1,1186,0.75939035,18.954264,18.637371,18.8195,0.16280068,0.120138906,0.12159045,0.1695,270.7358706,63.5050613,0.87857145,t17_f5_c3,0.99999976,18.79,0.2109,826120141.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
3,ztf,58940.51329859998,1186513294115015022,2,1186513294115,19.79098,1,1186,1.1496216,18.983135,18.424356,18.8537,0.17505674,0.09916188,0.104632646,0.1722,270.7359365,63.505035,0.7185714,t17_f5_c3,0.999642,18.8245,0.2143,826120241.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
4,ztf,58941.43662039982,1187436624115015005,2,1187436624115,20.201715,1,1187,1.268866,19.05223,18.849108,18.9941,0.11707339,0.09598252,0.0970977,0.094,270.7360462,63.5049892,0.7557143,t17_f5_c3,0.9999827,18.9833,0.1178,826120241.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
5,ztf,58941.492708299775,1187492704115015007,1,1187492704115,20.44503,1,1187,1.1820515,19.091476,18.738178,18.9206,0.12885891,0.09076877,0.09306691,0.0738,270.736167,63.5050161,0.5985714,t17_f5_c3,0.9999893,18.7974,0.0832,826120141.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
6,ztf,58943.45525459992,1189455254115015003,1,1189455254115,19.829706,1,1189,0.776846,19.17023,18.79448,19.2109,0.15961823,0.11082832,0.11292282,0.1836,270.7358738,63.5050565,0.7728571,t17_f5_c3,0.9999894,19.4644,0.2966,826120141.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
7,ztf,58943.47319439985,1189473194115015008,2,1189473194115,20.413078,1,1189,1.1432171,19.079819,18.481104,19.2302,0.11011752,0.05279205,0.06344106,0.1406,270.7359632,63.5050492,0.9514286,t17_f5_c3,0.9999927,19.3754,0.2044,826120241.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
8,ztf,58944.46712959977,1190467124115015002,1,1190467124115,19.730011,1,1190,0.79176986,19.40064,18.95228,19.8837,0.18372598,0.118964404,0.12157002,0.4097,270.7359758,63.5050848,0.9257143,t17_f5_c3,0.9999786,19.726,0.4547,826120141.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
9,ztf,58944.511134299915,1190511134115015003,2,1190511134115,20.357052,1,1190,1.2572281,19.178919,18.537088,19.0585,0.12412074,0.057886437,0.06872459,0.1081,270.7359932,63.5050139,0.92285717,t17_f5_c3,0.9999821,19.0432,0.1352,826120241.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
10,ztf,58953.42987270001,1199429874115015006,1,1199429874115,20.1452,1,1199,0.9826,20.1675,19.395504,20.0927,0.279813,0.13216656,0.13742624,0.331,270.7359471,63.5050095,0.682857,t17_f5_c3,,19.891,0.352,,False,True,False,bulk_1.0.0,0.0,1216379834115015008
11,ztf,58953.44866900006,1199448664115015003,2,1199448664115,20.375051,1,1199,1.1273527,19.6445,18.770018,19.6064,0.12447787,0.03141717,0.05562867,0.1903,270.735917,63.5050343,0.96,t17_f5_c3,0.99999684,19.6295,0.2475,826120241.0,False,True,False,bulk_1.0.0,0.0,1216379834115015008
12,ztf,58954.426562500186,1200426564115015007,1,1200426564115,20.1605,1,1200,1.28819,20.457,19.528086,20.1959,0.330684,0.13396108,0.1405553,0.3411,270.735966,63.5049159,0.505714,t17_f5_c3,,20.3618,0.5083,,False,True,False,bulk_1.0.0,0.0,1216379834115015008
