,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58940.488541699946,1186488544315015008,1,1186488544315,20.0868,1,1186,5.14748,20.1877,20.3402,0.22957,0.4883,289.8067711,55.8351861,0.572857,t17_f5_c3,20.2218,0.5596,False,False,False,bulk_1.0.0,0.0,1190512984315015000,,
1,ztf,58941.490393499844,1187490394315015000,1,1187490394315,20.439228,1,1187,5.3581834,19.751331,19.5921,0.16923861,0.1368,289.8065472,55.8351164,0.40142858,t17_f5_c3,19.425,0.1488,False,False,False,bulk_1.0.0,0.0,1200489914315015000,0.9972235,799120143.0
2,ztf,58943.45151619986,1189451514315015001,1,1189451514315,19.771967,1,1189,5.4017825,19.389118,19.1535,0.15556133,0.1793,289.8067203,55.8351111,0.76428574,t17_f5_c3,19.0024,0.1996,False,False,False,bulk_1.0.0,0.0,1200489914315015000,0.99995446,799120143.0
3,ztf,58943.490833300166,1189490834315015001,2,1189490834315,20.463703,1,1189,5.3899493,19.52678,19.3811,0.12929055,0.1532,289.8066221,55.835129,0.9014286,t17_f5_c3,19.3697,0.1918,False,False,False,bulk_1.0.0,0.0,1200489914315015000,0.9997934,799120243.0
4,ztf,58944.4909144002,1190490914315015000,1,1190490914315,19.969894,1,1190,5.3554435,19.241814,19.1151,0.13551934,0.1591,289.8066926,55.8351227,0.8157143,t17_f5_c3,19.0552,0.1925,False,False,False,bulk_1.0.0,0.0,1200489914315015000,0.99999905,799120143.0
5,ztf,58944.51298609981,1190512984315015000,2,1190512984315,20.239744,1,1190,5.401686,19.304974,19.1726,0.11543139,0.1315,289.8066193,55.8351246,0.8371429,t17_f5_c3,19.1647,0.1654,False,False,False,bulk_1.0.0,0.0,1200489914315015000,0.9995271,799120243.0
6,ztf,58954.42793980008,1200427934315015003,1,1200427934315,20.146727,1,1200,5.1897326,18.937672,18.8352,0.11772566,0.0979,289.806685,55.8351712,0.85,t17_f5_c3,18.8534,0.1264,False,False,False,bulk_1.0.0,0.0,1200489914315015000,0.99999785,799120143.0
7,ztf,58954.48991899984,1200489914315015000,2,1200489914315,20.44031,1,1200,5.3991485,18.869873,18.8043,0.08066065,0.0924,289.8067368,55.8351294,0.9357143,t17_f5_c3,18.7766,0.1136,False,False,False,bulk_1.0.0,0.0,1202472144315015004,0.99999964,799120243.0
8,ztf,58955.45045140013,1201450454315015001,2,1201450454315,20.2973,1,1201,5.296362,18.89288,19.0037,0.096231155,0.1181,289.8066768,55.8351571,0.91,t17_f5_c3,19.0338,0.1537,False,False,False,bulk_1.0.0,0.0,1202472144315015004,0.9999999,799120243.0
9,ztf,58955.4707986,1201470794315015004,1,1201470794315,20.384336,1,1201,5.357341,18.966234,18.9355,0.08598318,0.0944,289.8066823,55.8351202,0.92714286,t17_f5_c3,18.9585,0.1222,False,False,False,bulk_1.0.0,0.0,1202472144315015004,0.9999997,799120143.0
10,ztf,58956.47214120021,1202472144315015004,1,1202472144315,20.15989,1,1202,5.25395,18.994036,18.8995,0.07399946,0.1313,289.8066681,55.8351496,0.8357143,t17_f5_c3,18.7975,0.1522,False,False,False,bulk_1.0.0,0.0,1208471624315015002,0.99999905,799120143.0
11,ztf,58956.49379630014,1202493794315015000,2,1202493794315,20.088642,1,1202,5.2916627,18.888319,18.769,0.080074675,0.1272,289.806716,55.8351601,0.9442857,t17_f5_c3,18.8563,0.175,False,False,False,bulk_1.0.0,0.0,1208471624315015002,0.99992955,799120243.0
12,ztf,58962.47162039997,1208471624315015002,2,1208471624315,20.53836,1,1208,5.3233128,19.166988,19.0702,0.0846332,0.109,289.8067082,55.8351502,0.92285717,t17_f5_c3,18.9842,0.127,False,False,False,bulk_1.0.0,0.0,1211448684315015004,0.9999869,799120243.0
13,ztf,58962.49243059987,1208492434315015000,1,1208492434315,20.586555,1,1208,5.3252873,19.308748,19.2144,0.11516036,0.1081,289.8066383,55.8351307,0.8914286,t17_f5_c3,19.1632,0.1305,False,False,False,bulk_1.0.0,0.0,1211448684315015004,0.9999993,799120143.0
14,ztf,58965.42738430016,1211427384315015001,1,1211427384315,20.91224,1,1211,5.2230444,19.660421,19.7846,0.12518229,0.1518,289.806713,55.8351599,0.76428574,t17_f5_c3,19.6976,0.1766,False,False,False,bulk_1.0.0,0.0,1211448684315015004,1.0,799120143.0
15,ztf,58965.44868060015,1211448684315015004,2,1211448684315,20.816591,1,1211,5.3615036,19.40616,19.6489,0.08851352,0.1561,289.8067198,55.835138,0.83,t17_f5_c3,19.8351,0.2321,False,False,False,bulk_1.0.0,0.0,1217408324315015000,0.9999964,799120243.0
