,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58954.38262729999,1200382622615015029,1,1200382622615,20.485952,1,1200,1.0777916,18.355333,16.583694,18.459,0.08586205,100.0,0.016793676,0.0795,218.1603106,31.6709366,0.80857146,t17_f5_c3,0.9986356,18.3795,0.0877,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
1,ztf,58954.455555600114,1200455552615015022,2,1200455552615,20.138035,1,1200,1.2562575,17.685076,16.25751,17.6525,0.047116295,100.0,0.012651573,0.0515,218.1603038,31.6709639,0.9185714,t17_f5_c3,0.9999946,17.6016,0.0592,676120226.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
2,ztf,58955.40152780013,1201401522615015026,1,1201401522615,20.72884,1,1201,1.1372926,18.325998,16.577894,18.4821,0.071870394,100.0,0.014365093,0.0783,218.1602921,31.6709587,0.9185714,t17_f5_c3,0.94300616,18.5523,0.0984,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
3,ztf,58955.42384260008,1201423842615015016,2,1201423842615,20.52662,1,1201,1.3415557,17.60922,16.236614,17.6843,0.059868675,100.0,0.016910534,0.0484,218.1602759,31.6709757,0.93714285,t17_f5_c3,0.99992514,17.7137,0.0588,676120226.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
4,ztf,58956.36210650019,1202362102615015013,1,1202362102615,19.864237,1,1202,1.2008289,18.020191,16.509495,18.0878,0.12127168,100.0,0.030163448,0.1053,218.1603129,31.6709719,0.80142856,t17_f5_c3,0.89247817,18.0837,0.1279,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
5,ztf,58961.40916670021,1207409162615015019,2,1207409162615,20.290386,1,1207,1.2858313,17.41191,16.177155,17.4594,0.046610918,100.0,0.0149481,0.0419,218.1602809,31.6709614,0.93142855,t17_f5_c3,0.9999932,17.4482,0.0493,676120226.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
6,ztf,58962.31680560019,1208316802615015020,2,1208316802615,20.447834,1,1208,1.2849333,17.417414,16.178917,17.3759,0.045101553,100.0,0.014414278,0.0374,218.1602963,31.6709702,0.89,t17_f5_c3,0.99998933,17.3541,0.0433,676120226.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
7,ztf,58962.35515049985,1208355152615015024,1,1208355152615,20.741484,1,1208,1.0942463,18.305832,16.573833,18.3197,0.071464345,100.0,0.0144973975,0.069,218.1603291,31.6709365,0.5957143,t17_f5_c3,0.8619847,18.3583,0.0839,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
8,ztf,58963.29532410018,1209295322615015025,1,1209295322615,20.768766,1,1209,1.1768755,18.362516,16.585096,18.3347,0.08825233,100.0,0.017169511,0.0711,218.1602956,31.6709685,0.69857144,t17_f5_c3,0.93225205,18.348,0.0847,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
9,ztf,58963.35721059982,1209357212615015016,1,1209357212615,20.731953,1,1209,1.1671361,18.383673,16.58918,18.3809,0.082010895,100.0,0.015706316,0.0728,218.1603114,31.6709648,0.92285717,t17_f5_c3,0.99454516,18.3882,0.0864,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
10,ztf,58964.28480320005,1210284802615015010,2,1210284802615,20.69776,1,1210,1.3988513,17.521416,16.211086,17.5912,0.055382535,100.0,0.016566878,0.0439,218.1602742,31.6709933,0.91,t17_f5_c3,0.9835553,17.5673,0.0503,676120226.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
11,ztf,58964.34233799996,1210342332615015022,1,1210342332615,20.756365,1,1210,1.0924859,18.535963,16.61674,18.5739,0.089574225,100.0,0.01529303,0.0857,218.1603168,31.6709394,0.6857143,t17_f5_c3,0.7518027,18.6102,0.1042,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
12,ztf,58965.25989580015,1211259892615015031,1,1211259892615,20.773022,1,1211,1.1319507,18.561296,16.621023,18.7175,0.09365129,100.0,0.015682103,0.0978,218.1603268,31.6709495,0.73,t17_f5_c3,0.68804836,18.7455,0.1182,676120126.0,False,True,False,bulk_1.0.0,0.0,1224272672615015008
