,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58956.29684029985,1202296844915015008,2,1202296844915,19.90613,1,1202,2.395501,17.403316,17.4356,0.06386837,0.0392,208.3673484,7.9095741,0.8157143,t17_f5_c3,0.99999964,17.398,0.0464,476120249,False,False,False,bulk_1.0.0,0.0,1222292764915015006
1,ztf,58956.36113430001,1202361134915015005,1,1202361134915,19.435669,1,1202,2.3328753,17.310814,17.2356,0.05511609,0.058,208.3673078,7.9096045,0.89,t17_f5_c3,0.99999714,17.2599,0.0744,476120149,False,False,False,bulk_1.0.0,0.0,1222292764915015006
2,ztf,58962.31049769977,1208310494915015018,2,1208310494915,20.252193,1,1208,2.2992048,17.052485,17.0225,0.04833722,0.0246,208.3673175,7.9095572,0.7714286,t17_f5_c3,0.99964225,17.0108,0.0292,476120249,False,False,False,bulk_1.0.0,0.0,1222292764915015006
3,ztf,58962.33770829998,1208337704915015017,1,1208337704915,20.26549,1,1208,2.3965464,17.017828,16.9992,0.04915435,0.0195,208.3673197,7.9095677,0.77428573,t17_f5_c3,0.9998845,16.9686,0.0228,476120149,False,False,False,bulk_1.0.0,0.0,1222292764915015006
4,ztf,58965.25348380022,1211253484915015006,1,1211253484915,20.6759,1,1211,2.3127346,17.041487,17.0876,0.041323163,0.0187,208.3672986,7.909581,0.80857146,t17_f5_c3,0.99996185,17.0605,0.0215,476120149,False,False,False,bulk_1.0.0,0.0,1217293174915015007
5,ztf,58965.30761570018,1211307614915015010,2,1211307614915,20.514532,1,1211,2.2454727,17.014664,17.0209,0.040581625,0.022,208.3673052,7.9095799,0.7885714,t17_f5_c3,0.9924114,17.0129,0.0258,476120249,False,False,False,bulk_1.0.0,0.0,1217293174915015007
6,ztf,58968.29479169985,1214294794915015012,1,1214294794915,20.703928,1,1214,2.3539612,17.130672,17.1398,0.03753437,0.0189,208.3673072,7.9095634,0.68714285,t17_f5_c3,0.9999422,17.111,0.0218,476120149,False,False,False,bulk_1.0.0,0.0,1217293174915015007
7,ztf,58971.21583329979,1217215834915015006,2,1217215834915,19.904234,1,1217,2.2585719,17.232733,17.2656,0.04232443,0.0391,208.3673096,7.9095895,0.82,t17_f5_c3,0.99999785,17.2099,0.0461,476120249,False,False,False,bulk_1.0.0,0.0,1217293174915015007
8,ztf,58971.29317130009,1217293174915015007,1,1217293174915,19.93164,1,1217,2.2970908,17.333199,17.3356,0.044199005,0.0364,208.3672948,7.9095854,0.93285716,t17_f5_c3,0.9999924,17.2792,0.0433,476120149,False,False,False,bulk_1.0.0,0.0,1243253034915015011
9,ztf,58976.20680559985,1222206804915015002,1,1222206804915,18.622717,1,1222,2.3107336,17.712141,17.4992,0.07317123,0.1397,208.3672985,7.9095838,0.7842857,t17_f5_c3,0.8986393,17.4659,0.1737,476120149,False,False,False,bulk_1.0.0,0.0,1243253034915015011
10,ztf,58976.29276619991,1222292764915015006,2,1222292764915,18.936129,1,1222,2.2278419,17.6012,17.7052,0.09108432,0.1193,208.3673044,7.9096025,0.83,t17_f5_c3,0.99997604,17.7103,0.1531,476120249,False,False,False,bulk_1.0.0,0.0,1243253034915015011
11,ztf,58979.25013889978,1225250134915015002,1,1225250134915,20.12116,1,1225,2.3401608,17.995173,18.0054,0.08795647,0.0644,208.367309,7.9095975,0.72,t17_f5_c3,0.9984825,17.973,0.0783,476120149,False,False,False,bulk_1.0.0,0.0,1243253034915015011
12,ztf,58985.20643519983,1231206434915015014,1,1231206434915,20.652746,1,1231,2.4349759,18.55191,18.5598,0.072792694,0.0673,208.3673356,7.9095942,0.73142856,t17_f5_c3,0.9999249,18.6278,0.0872,476120149,False,False,False,bulk_1.0.0,0.0,1243253034915015011
13,ztf,58991.24828700023,1237248284915015015,2,1237248284915,20.373913,1,1237,2.2887259,17.833147,17.8192,0.053975653,0.0453,208.3673231,7.9095984,0.6471428,t17_f5_c3,0.9997808,17.8551,0.0565,476120249,False,False,False,bulk_1.0.0,0.0,1267236714915015009
14,ztf,58991.29695599992,1237296954915015011,1,1237296954915,20.518293,1,1237,2.475128,18.992748,19.0261,0.09342583,0.1054,208.367336,7.9095357,0.74,t17_f5_c3,0.99968326,19.077,0.1362,476120149,False,False,False,bulk_1.0.0,0.0,1267236714915015009
15,ztf,58994.23019680008,1240230194915015014,1,1240230194915,20.693357,1,1240,2.6232626,19.224737,19.1654,0.10769239,0.1119,208.3673875,7.9095826,0.50857145,t17_f5_c3,0.95983654,19.1214,0.1317,476120149,False,False,False,bulk_1.0.0,0.0,1267236714915015009
16,ztf,58994.27277779998,1240272774915015012,2,1240272774915,20.383205,1,1240,2.3015602,17.943146,17.9343,0.06861202,0.0505,208.3673257,7.909591,0.74857146,t17_f5_c3,0.9996305,17.905,0.0595,476120249,False,False,False,bulk_1.0.0,0.0,1267236714915015009
17,ztf,58997.2016551001,1243201654915015008,1,1243201654915,20.623997,1,1243,2.401079,19.34168,19.4115,0.10202285,0.147,208.3673189,7.909578,0.7942857,t17_f5_c3,0.98528755,19.4445,0.1867,476120149,False,False,False,bulk_1.0.0,0.0,1267236714915015009
18,ztf,58997.25303239981,1243253034915015011,2,1243253034915,20.294472,1,1243,2.316306,18.170519,18.2679,0.059325546,0.0709,208.3673292,7.9096003,0.76714283,t17_f5_c3,0.99968666,18.2738,0.0868,476120249,False,False,False,bulk_1.0.0,0.0,1267236714915015009
19,ztf,59009.16856480017,1255168564915015007,2,1255168564915,19.64114,1,1255,2.2931027,18.760357,18.9708,0.09946473,0.1783,208.3673264,7.9096377,0.78571427,t17_f5_c3,0.999441,18.9291,0.2156,476120249,False,False,False,bulk_1.0.0,0.0,1267236714915015009
20,ztf,59012.196955999825,1258196954915015013,1,1258196954915,20.768711,1,1258,2.4717045,19.517242,19.3932,0.11360124,0.1302,208.3673367,7.9095443,0.88857144,t17_f5_c3,0.9987526,19.6432,0.1998,476120149,False,False,False,bulk_1.0.0,0.0,1267236714915015009
21,ztf,59012.23412040016,1258234124915015011,2,1258234124915,20.42058,1,1258,2.4303296,18.846031,18.6978,0.09299594,0.0983,208.3673565,7.9095584,0.87,t17_f5_c3,0.97258323,18.6703,0.1168,476120249,False,False,False,bulk_1.0.0,0.0,1267236714915015009
22,ztf,59015.2159258998,1261215924915015012,2,1261215924915,20.411455,1,1261,2.221758,18.793379,18.7807,0.090738215,0.11,208.3672925,7.9095454,0.8842857,t17_f5_c3,0.99985504,18.8445,0.1424,476120249,False,False,False,bulk_1.0.0,0.0,1267236714915015009
23,ztf,59021.23671300011,1267236714915015009,2,1267236714915,20.459814,1,1267,2.4250865,19.114014,19.0524,0.08335071,0.1287,208.3673635,7.9096294,0.9128571,t17_f5_c3,0.9944113,19.0219,0.1517,476120249,False,False,False,bulk_1.0.0,0.0,1286211574915015003
24,ztf,59024.219780100044,1270219784915015006,2,1270219784915,20.176321,1,1270,2.276106,19.343971,19.5383,0.12806718,0.2659,208.3673143,7.9095713,0.8142857,t17_f5_c3,0.887129,19.36,0.279,476120249,False,False,False,bulk_1.0.0,0.0,1286211574915015003
25,ztf,59040.21157409996,1286211574915015003,1,1286211574915,20.451233,1,1286,2.614414,19.897223,20.5571,0.19195104,0.4581,208.3673824,7.9095651,0.76428574,t17_f5_c3,0.96910334,20.1518,0.3938,476120149,True,False,False,bulk_1.0.0,0.0,0
