,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58954.45648150006,1200456482715015003,2,1200456482715,20.182014,1,1200,1.123791,19.80532,19.40212,19.6577,0.19274248,0.13248302,0.13295285,0.2185,217.4771616,24.8217938,0.86,t17_f5_c3,0.9999598,19.8118,0.3224,629120227.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
1,ztf,58955.4001042,1201400102715015006,1,1201400102715,20.572727,1,1201,0.8005787,19.465517,19.318111,19.3882,0.12529494,0.108776554,0.10938832,0.1211,217.4771898,24.8217739,0.91714287,t17_f5_c3,0.99999976,19.4075,0.1571,629120127.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
2,ztf,58955.42240739986,1201422402715015024,2,1201422402715,20.377953,1,1201,1.0073254,19.73061,19.35004,19.7603,0.17191988,0.12061852,0.12108728,0.2072,217.4771997,24.821803,0.8657143,t17_f5_c3,0.9999789,19.5291,0.2146,629120227.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
3,ztf,58956.30940969987,1202309402715015006,2,1202309402715,20.47907,1,1202,1.0568849,19.488932,19.174395,19.3972,0.15468206,0.11542316,0.11577775,0.1487,217.4771761,24.8218076,0.86714286,t17_f5_c3,0.9999329,19.3872,0.1881,629120227.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
4,ztf,58956.36020829994,1202360202715015008,1,1202360202715,19.7747,1,1202,0.597831,19.4939,19.34285,19.511,0.219703,0.19080244,0.19116814,0.3272,217.477197,24.8218406,0.824286,t17_f5_c3,,19.2502,0.3301,,False,True,False,bulk_1.0.0,0.0,1216392192715015005
5,ztf,58961.40686339978,1207406862715015006,2,1207406862715,20.155201,1,1207,0.9401636,19.337992,19.059488,19.0866,0.12305585,0.09486501,0.09521404,0.1207,217.4772371,24.8217943,0.7271429,t17_f5_c3,0.9999962,19.018,0.1448,629120227.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
6,ztf,58962.30723380018,1208307232715015007,2,1208307232715,20.697037,1,1208,0.9052673,19.345387,19.065207,19.3894,0.11886457,0.091463275,0.09182906,0.1277,217.4772295,24.8218155,0.93857145,t17_f5_c3,0.9999974,19.3205,0.1528,629120227.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
7,ztf,58962.336736099795,1208336732715015011,1,1208336732715,20.557222,1,1208,0.6665193,19.194208,19.077715,19.1672,0.10261441,0.09170842,0.09217456,0.0979,217.4772109,24.8218064,0.9128571,t17_f5_c3,0.9999994,19.1632,0.1241,629120127.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
8,ztf,58963.294409700204,1209294402715015012,1,1209294402715,20.933043,1,1209,0.65979993,19.24372,19.122084,19.2863,0.09551406,0.084844865,0.08539125,0.0935,217.4772269,24.8218001,0.8971428,t17_f5_c3,0.9999999,19.303,0.1203,629120127.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
9,ztf,58963.331817099825,1209331812715015009,1,1209331812715,20.891197,1,1209,0.6172887,19.240244,19.118977,19.3787,0.08010303,0.070989355,0.07163779,0.1025,217.4772424,24.8218083,0.93714285,t17_f5_c3,0.9999999,19.4245,0.1356,629120127.0,False,True,False,bulk_1.0.0,0.0,1216392192715015005
