,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58974.31840279978,1220318400515015001,2,1220318400515,19.8765,1,1220,5.36262,20.1956,19.8954,0.264137,0.4417,233.7844427,23.9456748,0.74,t17_f5_c3,20.0355,0.6443,False,False,False,bulk_1.0.0,0.0,1225267470515015003,,
1,ztf,58975.382060199976,1221382060515015001,2,1221382060515,19.5779,1,1221,5.43579,19.789,19.8559,0.269616,0.5273,233.7844038,23.9457313,0.517143,t17_f5_c3,19.8639,0.6814,False,False,False,bulk_1.0.0,0.0,1225267470515015003,,
2,ztf,58978.272187499795,1224272180515015001,2,1224272180515,19.852726,1,1224,5.0064554,19.033003,19.0782,0.11327448,0.2192,233.7844032,23.9455724,0.8971428,t17_f5_c3,19.0956,0.2852,False,False,False,bulk_1.0.0,0.0,1225267470515015003,0.999839,631120205.0
3,ztf,58978.382013900205,1224382010515015001,1,1224382010515,19.0345,1,1224,2.47729,19.0759,18.4286,0.227951,0.2373,233.7845344,23.9455512,0.388571,t17_f5_c3,18.2628,0.2616,False,False,False,bulk_1.0.0,0.0,1225267470515015003,,
4,ztf,58979.267476900015,1225267470515015003,1,1225267470515,19.985327,1,1225,2.7967768,19.019598,19.3037,0.11449569,0.225,233.7844236,23.9455965,0.89857143,t17_f5_c3,19.108,0.2408,False,False,False,bulk_1.0.0,0.0,1227288980515015003,0.9999858,631120105.0
5,ztf,58979.317187500186,1225317180515015001,2,1225317180515,19.989317,1,1225,4.972916,18.967129,18.9083,0.13223957,0.166,233.7844269,23.9455644,0.9028571,t17_f5_c3,18.9416,0.2186,False,False,False,bulk_1.0.0,0.0,1227288980515015003,0.9999633,631120205.0
6,ztf,58980.40239580022,1226402390515015002,1,1226402390515,19.92438,1,1226,2.784042,18.820723,18.7808,0.08100524,0.1235,233.7844388,23.945599,0.92714286,t17_f5_c3,18.7268,0.1503,False,False,False,bulk_1.0.0,0.0,1227288980515015003,0.9999998,631120105.0
7,ztf,58981.28898150008,1227288980515015003,2,1227288980515,20.355639,1,1227,4.869782,18.71952,18.7284,0.09063214,0.08,233.7844405,23.945536,0.9442857,t17_f5_c3,18.7408,0.1021,False,False,False,bulk_1.0.0,0.0,1243227770515015002,0.99999976,631120205.0
8,ztf,58981.2963657002,1227296360515015002,1,1227296360515,20.471416,1,1227,2.7330666,18.725607,18.8202,0.09985468,0.067,233.7844364,23.9455807,0.8957143,t17_f5_c3,18.8437,0.0861,False,False,False,bulk_1.0.0,0.0,1243227770515015002,0.9999985,631120105.0
9,ztf,58985.274745400064,1231274740515015001,2,1231274740515,20.672667,1,1231,4.9553967,18.432344,18.4952,0.07432357,0.0601,233.7843979,23.9455579,0.93857145,t17_f5_c3,18.4122,0.0699,False,False,False,bulk_1.0.0,0.0,1243227770515015002,0.99999857,631120205.0
10,ztf,58985.31081019994,1231310810515015001,1,1231310810515,20.751669,1,1231,2.691417,18.415508,18.4729,0.067888945,0.0504,233.7844332,23.9455668,0.95714283,t17_f5_c3,18.4541,0.0621,False,False,False,bulk_1.0.0,0.0,1243227770515015002,0.99999976,631120105.0
11,ztf,58991.2508911998,1237250890515015001,2,1237250890515,20.685638,1,1237,5.0590496,18.39308,18.3581,0.06317101,0.053,233.7844141,23.9455881,0.93857145,t17_f5_c3,18.2932,0.0626,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.99999964,631120205.0
12,ztf,58992.270370400045,1238270370515015002,2,1238270370515,20.7362,1,1238,5.0077615,18.413319,18.4603,0.06002749,0.0542,233.7844214,23.945574,0.9514286,t17_f5_c3,18.4628,0.0677,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.99999356,631120205.0
13,ztf,58994.26828699978,1240268280515015009,1,1240268280515,20.939003,1,1240,2.765177,18.593882,18.6242,0.080598585,0.0543,233.7844164,23.9455816,0.9442857,t17_f5_c3,18.613,0.0672,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.9999925,631120105.0
14,ztf,58997.22777780006,1243227770515015002,1,1243227770515,20.73418,1,1243,2.738355,18.774021,19.0185,0.07984151,0.0892,233.784425,23.9455777,0.9342857,t17_f5_c3,19.0453,0.1156,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.9999999,631120105.0
15,ztf,58997.29248839989,1243292480515015006,2,1243292480515,20.658335,1,1243,4.9591184,18.677967,18.8329,0.07469047,0.0819,233.7844194,23.94556,0.94142854,t17_f5_c3,18.7776,0.0981,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.99991715,631120205.0
16,ztf,58998.26021989994,1244260210515015005,2,1244260210515,20.673737,1,1244,5.0082054,18.7291,18.7214,0.07118054,0.0754,233.7844179,23.945574,0.9357143,t17_f5_c3,18.7282,0.0956,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.99999917,631120205.0
17,ztf,58999.24740740005,1245247400515015000,1,1245247400515,20.102247,1,1245,2.5990436,18.885115,18.862,0.097743295,0.1001,233.7844717,23.9455583,0.8857143,t17_f5_c3,18.9573,0.139,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.99998677,631120105.0
18,ztf,59000.40071759978,1246400710515015004,1,1246400710515,19.872293,1,1246,2.6518478,19.046543,18.942,0.113126576,0.1539,233.7844481,23.9455624,0.93857145,t17_f5_c3,18.7971,0.172,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.9999992,631120105.0
19,ztf,59009.25196760008,1255251960515015001,1,1255251960515,20.40913,1,1255,2.4872975,19.786957,19.6886,0.13363203,0.1699,233.7845118,23.9455433,0.76714283,t17_f5_c3,19.93,0.2697,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.9999968,631120105.0
20,ztf,59012.25444439985,1258254440515015004,2,1258254440515,20.799294,1,1258,5.0073686,19.205626,19.2048,0.09617847,0.1042,233.7844146,23.9455735,0.88714284,t17_f5_c3,19.2168,0.1327,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.9999956,631120205.0
21,ztf,59012.29708330007,1258297080515015002,1,1258297080515,20.808908,1,1258,2.576679,20.250772,20.1576,0.180488,0.2117,233.7844306,23.9455249,0.7942857,t17_f5_c3,20.033,0.2398,False,False,False,bulk_1.0.0,0.0,1262234050515015002,0.99951684,631120105.0
22,ztf,59016.202094899956,1262202090515015007,1,1262202090515,20.8653,1,1262,2.70707,20.5408,21.4938,0.187314,0.7348,233.7844467,23.9455801,0.772857,t17_f5_c3,21.1012,0.6529,False,False,False,bulk_1.0.0,0.0,1262234050515015002,,
23,ztf,59016.23405090021,1262234050515015002,2,1262234050515,20.55168,1,1262,5.0068846,19.371826,19.4296,0.12017244,0.1512,233.7844215,23.9455737,0.94714284,t17_f5_c3,19.2864,0.1683,False,False,False,bulk_1.0.0,0.0,1265232730515015003,0.9999988,631120205.0
24,ztf,59017.18841439998,1263188410515015002,2,1263188410515,20.56675,1,1263,5.004666,19.405005,19.4955,0.13824323,0.1442,233.7844521,23.9455743,0.88285714,t17_f5_c3,19.5554,0.1928,False,False,False,bulk_1.0.0,0.0,1265232730515015003,0.9999774,631120205.0
25,ztf,59019.232731500175,1265232730515015003,2,1265232730515,20.701118,1,1265,4.9697824,19.508362,19.7145,0.1420367,0.1711,233.7844316,23.9455636,0.93,t17_f5_c3,19.7602,0.2257,False,False,False,bulk_1.0.0,0.0,1268203640515015004,0.99999547,631120205.0
26,ztf,59019.29186340002,1265291860515015002,1,1265291860515,20.9992,1,1265,2.70163,20.7784,21.1467,0.240784,0.4926,233.7844062,23.9455535,0.598571,t17_f5_c3,20.6445,0.3951,False,False,False,bulk_1.0.0,0.0,1268203640515015004,,
27,ztf,59022.203645799775,1268203640515015004,1,1268203640515,20.959517,1,1268,2.7417216,20.814224,21.2005,0.20313634,0.5195,233.7844673,23.9456029,0.78571427,t17_f5_c3,21.2286,0.6783,False,False,False,bulk_1.0.0,0.0,1268232650515015003,0.9999647,631120105.0
28,ztf,59022.23265049979,1268232650515015003,2,1268232650515,20.855648,1,1268,4.995142,19.724318,19.7152,0.12599885,0.156,233.7844195,23.9455703,0.9042857,t17_f5_c3,19.6626,0.1877,False,False,False,bulk_1.0.0,0.0,1274214050515015000,0.9996749,631120205.0
29,ztf,59025.19181710016,1271191810515015005,2,1271191810515,20.0042,1,1271,5.14628,19.9859,20.5391,0.240656,0.7238,233.7844065,23.9456121,0.617143,t17_f5_c3,20.3784,0.7999,False,False,False,bulk_1.0.0,0.0,1274214050515015000,,
30,ztf,59025.23228010023,1271232280515015002,1,1271232280515,20.674,1,1271,2.57692,20.9305,20.5329,0.276397,0.3813,233.784438,23.945531,0.477143,t17_f5_c3,20.2863,0.3875,False,False,False,bulk_1.0.0,0.0,1274214050515015000,,
31,ztf,59028.21405090019,1274214050515015000,2,1274214050515,20.367224,1,1274,5.037248,20.03415,19.9946,0.17343841,0.3012,233.7844499,23.9455833,0.8685714,t17_f5_c3,19.5142,0.2472,True,False,False,bulk_1.0.0,0.0,0,0.999772,631120205.0
