,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59033.36519679986,1279365195315015004,2,1279365195315,19.5791,1,1279,0.69342,19.5811,18.113752,19.2742,0.240403,100.0,0.062230166,0.3082,29.784526,86.676176,0.715714,t17_f5_c3,18.8741,0.2742,False,True,False,bulk_1.0.0,0.0,1307391445315015014,,
1,ztf,59034.37006939994,1280370065315015006,2,1280370065315,19.383179,1,1280,0.9387483,18.404305,17.668938,18.1,0.09194304,100.0,0.04670597,0.1191,29.7833497,86.6761562,0.7785714,t17_f5_c3,18.0541,0.1465,False,True,False,bulk_1.0.0,0.0,1307391445315015014,1.0,869120253.0
2,ztf,59034.48381939996,1280483815315015009,1,1280483815315,19.191687,1,1280,1.3186172,18.285229,17.873295,18.5115,0.12722765,0.07926883,0.087057866,0.208,29.7835585,86.6762138,0.93285716,t17_f5_c3,18.6234,0.296,False,True,False,bulk_1.0.0,0.0,1307391445315015014,0.9999188,869120153.0
3,ztf,59035.36111109983,1281361115315015003,2,1281361115315,19.328653,1,1281,0.8803611,18.198784,17.559687,18.3139,0.08506362,100.0,0.04721772,0.1617,29.7837053,86.6762173,0.9257143,t17_f5_c3,18.4095,0.2268,False,True,False,bulk_1.0.0,0.0,1307391445315015014,0.99999094,869120253.0
4,ztf,59035.45513889985,1281455135315015005,1,1281455135315,19.237152,1,1281,1.2539632,18.109806,17.75026,18.0886,0.07841196,0.04623522,0.056307178,0.1469,29.7837941,86.6761913,0.9557143,t17_f5_c3,18.0027,0.1743,False,True,False,bulk_1.0.0,0.0,1307391445315015014,0.9999999,869120153.0
5,ztf,59038.38677080022,1284386775315015003,2,1284386775315,19.504633,1,1284,0.77193624,17.876078,17.368883,17.9854,0.07186003,0.011046334,0.04504114,0.0826,29.7842647,86.6762039,0.87,t17_f5_c3,18.0379,0.1109,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999925,869120253.0
6,ztf,59038.467499999795,1284467495315015005,1,1284467495315,19.46676,1,1284,1.3997616,17.97334,17.65056,18.0168,0.0674744,0.040653154,0.05012187,0.0923,29.7831282,86.6761856,0.91714287,t17_f5_c3,18.0223,0.1188,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999999,869120153.0
7,ztf,59042.337314799894,1288337315315015001,1,1288337315315,20.110207,1,1288,1.3375719,17.989246,17.662354,17.9198,0.059350096,0.032412708,0.043920204,0.0612,29.7835539,86.6762217,0.97,t17_f5_c3,17.8522,0.0732,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999851,869120153.0
8,ztf,59042.38739580009,1288387395315015003,2,1288387395315,20.073626,1,1288,0.8144436,17.84771,17.351015,17.8629,0.06073798,100.0,0.038439933,0.0641,29.7840012,86.6762081,0.9342857,t17_f5_c3,17.8857,0.0835,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.99999833,869120253.0
9,ztf,59045.3531944002,1291353195315015009,2,1291353195315,20.16321,1,1291,0.81422555,17.82889,17.339067,17.8081,0.05448023,100.0,0.03469842,0.0514,29.7840455,86.6762191,0.94142854,t17_f5_c3,17.8859,0.0703,False,True,False,bulk_1.0.0,0.0,1312472375315015009,1.0,869120253.0
10,ztf,59045.455300900154,1291455305315015008,1,1291455305315,20.214872,1,1291,1.2580612,18.03246,17.694166,18.0096,0.04991047,0.020109914,0.03654889,0.0532,29.7837562,86.676184,0.9657143,t17_f5_c3,17.9389,0.0633,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999995,869120153.0
11,ztf,59048.41353010014,1294413535315015011,2,1294413535315,20.309488,1,1294,0.84580827,17.863094,17.360727,17.8986,0.054089364,100.0,0.03405374,0.0545,29.7838064,86.6761878,0.9457143,t17_f5_c3,17.9079,0.0699,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999994,869120253.0
12,ztf,59048.44968750002,1294449685315015008,1,1294449685315,20.356436,1,1294,1.2190188,18.11356,17.752954,18.0929,0.052340746,0.019286806,0.03754893,0.0558,29.7839905,86.6761975,0.9742857,t17_f5_c3,18.0933,0.0708,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999999,869120153.0
13,ztf,59051.33078699978,1297330785315015004,1,1297330785315,20.237907,1,1297,1.2778405,18.143616,17.774431,18.1597,0.06767487,0.03521753,0.048167445,0.0631,29.7836382,86.6762109,0.9614286,t17_f5_c3,18.0978,0.0757,False,True,False,bulk_1.0.0,0.0,1312472375315015009,1.0,869120153.0
14,ztf,59051.40474539995,1297404745315015008,2,1297404745315,20.246647,1,1297,0.8333357,17.833422,17.341951,17.9316,0.055556,100.0,0.03532992,0.0572,29.7838868,86.6761991,0.9442857,t17_f5_c3,17.9928,0.0769,False,True,False,bulk_1.0.0,0.0,1312472375315015009,1.0,869120253.0
15,ztf,59054.409594899975,1300409595315015011,2,1300409595315,20.267962,1,1300,0.7566302,17.86746,17.363474,17.7699,0.048269305,100.0,0.030344242,0.0473,29.7842742,86.6762036,0.94,t17_f5_c3,17.7516,0.0592,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.999999,869120253.0
16,ztf,59054.45190969994,1300451905315015008,1,1300451905315,20.286606,1,1300,1.2429923,18.221748,17.82946,18.2189,0.060718637,0.024388703,0.042306434,0.059,29.7838755,86.6762005,0.95857143,t17_f5_c3,18.2094,0.0741,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999999,869120153.0
17,ztf,59057.468634299934,1303468635315015007,2,1303468635315,19.979897,1,1303,0.8896767,17.902527,17.385386,17.8886,0.06061408,100.0,0.037645828,0.0599,29.7836149,86.6762005,0.9357143,t17_f5_c3,17.8873,0.0764,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999993,869120253.0
18,ztf,59061.39144679997,1307391445315015014,2,1307391445315,19.975721,1,1307,0.80912375,17.948133,17.413485,17.954,0.06368734,100.0,0.03892184,0.0735,29.7841106,86.6762253,0.94142854,t17_f5_c3,17.8294,0.0839,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.99992156,869120253.0
19,ztf,59063.42973379977,1309429735315015019,1,1309429735315,19.089975,1,1309,1.245166,18.670164,18.121363,18.6702,0.14136161,0.07228749,0.085272804,0.2025,29.7837784,86.6761603,0.6357143,t17_f5_c3,18.7071,0.2689,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999467,869120153.0
20,ztf,59064.415636599995,1310415635315015009,2,1310415635315,19.360222,1,1310,0.76626754,17.954222,17.4172,18.085,0.06839599,100.0,0.04170828,0.1265,29.7842087,86.6761961,0.93285716,t17_f5_c3,18.0795,0.1614,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999894,869120253.0
21,ztf,59066.379270799924,1312379275315015005,1,1312379275315,19.306292,1,1312,1.1798557,18.517532,18.026749,18.4972,0.12098118,0.064868435,0.07698473,0.1765,29.7842622,86.6762198,0.91714287,t17_f5_c3,18.4107,0.2092,False,True,False,bulk_1.0.0,0.0,1312472375315015009,0.9999989,869120153.0
22,ztf,59066.472372699995,1312472375315015009,2,1312472375315,19.545979,1,1312,0.86753666,18.001884,17.446016,18.0493,0.0741996,100.0,0.044468682,0.1067,29.7837404,86.6761946,0.9257143,t17_f5_c3,17.8857,0.1178,False,True,False,bulk_1.0.0,0.0,1319335755315015004,0.9999989,869120253.0
23,ztf,59069.34078700002,1315340785315015008,1,1315340785315,19.897968,1,1315,1.3682765,18.784515,18.18889,18.8702,0.121667154,0.05122873,0.070294805,0.1654,29.7832509,86.6761827,0.95428574,t17_f5_c3,18.8203,0.2027,False,True,False,bulk_1.0.0,0.0,1319335755315015004,0.9999938,869120153.0
24,ztf,59069.423194400035,1315423195315015010,2,1315423195315,20.059158,1,1315,0.7930111,18.034765,17.465603,18.077,0.055634875,100.0,0.032936838,0.0781,29.7841496,86.676213,0.9442857,t17_f5_c3,18.0947,0.1015,False,True,False,bulk_1.0.0,0.0,1319335755315015004,0.99999875,869120253.0
25,ztf,59073.33575229999,1319335755315015004,1,1319335755315,20.140936,1,1319,1.2690984,18.686253,18.131039,18.8545,0.1126059,0.049770344,0.067526676,0.1275,29.7838298,86.676215,0.9671429,t17_f5_c3,18.7253,0.1449,False,True,False,bulk_1.0.0,0.0,1340403725315015003,0.9999999,869120153.0
26,ztf,59073.45106479991,1319451065315015017,2,1319451065315,20.142591,1,1319,0.8137162,18.033741,17.464996,17.9951,0.059564956,100.0,0.035277087,0.0673,29.7840393,86.6762023,0.95,t17_f5_c3,17.9468,0.0822,False,True,False,bulk_1.0.0,0.0,1340403725315015003,0.99999547,869120253.0
27,ztf,59076.387905099895,1322387905315015024,2,1322387905315,20.05632,1,1322,0.84030145,18.032408,17.464207,18.1959,0.071664676,100.0,0.042464342,0.0815,29.7838325,86.6761868,0.9457143,t17_f5_c3,18.352,0.1202,False,True,False,bulk_1.0.0,0.0,1352320625315015006,1.0,869120253.0
