,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59034.2156134001,1280215611215015005,1,1280215611215,19.5751,1,1280,2.01878,19.7213,19.269,0.222253,0.2819,271.9659432,30.842778,0.672857,t17_f5_c3,19.1794,0.3324,False,False,False,bulk_1.0.0,0.0,1285311371215015009,,
1,ztf,59038.226446799934,1284226441215015007,2,1284226441215,20.694487,1,1284,1.9330937,19.786524,20.0263,0.16160747,0.2521,271.9660084,30.842831,0.7185714,t17_f5_c3,19.9382,0.2885,False,False,False,bulk_1.0.0,0.0,1285311371215015009,0.9997189,683120212.0
2,ztf,59038.24964120006,1284249641215015008,1,1284249641215,20.491735,1,1284,1.9560945,19.491459,19.4667,0.145308,0.1612,271.9660054,30.8428005,0.87142855,t17_f5_c3,19.5444,0.2186,False,False,False,bulk_1.0.0,0.0,1285311371215015009,0.9999969,683120112.0
3,ztf,59038.34861110011,1284348611215015007,2,1284348611215,20.244333,1,1284,1.8322475,19.68732,19.7439,0.1470191,0.2582,271.9660166,30.8427948,0.82285714,t17_f5_c3,19.9294,0.3859,False,False,False,bulk_1.0.0,0.0,1285311371215015009,0.99998605,683120212.0
4,ztf,59039.31137729995,1285311371215015009,2,1285311371215,20.478264,1,1285,1.7769438,19.541353,19.5994,0.11874245,0.1938,271.9660737,30.8428269,0.87857145,t17_f5_c3,19.6266,0.2483,False,False,False,bulk_1.0.0,0.0,1290245061215015006,0.9999821,683120212.0
5,ztf,59041.22473380016,1287224731215015031,1,1287224731215,20.881922,1,1287,1.9133474,19.36607,19.2749,0.10029942,0.0987,271.9660308,30.8428009,0.89857143,t17_f5_c3,19.2763,0.1221,False,False,False,bulk_1.0.0,0.0,1290245061215015006,0.9999993,683120112.0
6,ztf,59041.26824070001,1287268241215015015,2,1287268241215,20.868292,1,1287,1.6948621,19.50992,19.7687,0.12330165,0.1772,271.9660629,30.8427877,0.84,t17_f5_c3,19.8648,0.237,False,False,False,bulk_1.0.0,0.0,1290245061215015006,0.99925685,683120212.0
7,ztf,59044.24506939994,1290245061215015006,2,1290245061215,20.801287,1,1290,1.7859753,19.483671,19.7639,0.14730012,0.1782,271.9660336,30.8427936,0.82714283,t17_f5_c3,19.7596,0.2179,False,False,False,bulk_1.0.0,0.0,1299322441215015013,0.9999722,683120212.0
8,ztf,59044.31672450015,1290316721215015006,1,1290316721215,20.744661,1,1290,1.8548118,19.345108,19.3653,0.12294763,0.1071,271.9660489,30.8427949,0.93142855,t17_f5_c3,19.1917,0.1138,False,False,False,bulk_1.0.0,0.0,1299322441215015013,0.99996936,683120112.0
9,ztf,59047.3290161998,1293329011215015008,2,1293329011215,20.934204,1,1293,1.8752595,19.358334,19.4,0.11347437,0.1202,271.9660177,30.8428185,0.91,t17_f5_c3,19.4121,0.148,False,False,False,bulk_1.0.0,0.0,1299322441215015013,0.9976717,683120212.0
10,ztf,59050.277083300054,1296277081215025006,2,1296277081215,20.6636,1,1296,1.78584,19.3914,19.3699,0.108839,0.1337,271.9660434,30.842801,0.934286,t17_f5_c3,19.1597,0.1363,False,False,False,bulk_1.0.0,0.0,1299322441215015013,,
11,ztf,59050.277083300054,1296277081215015006,2,1296277081215,20.663568,1,1296,1.7858362,19.391424,19.3699,0.10883914,0.1337,271.9660434,30.842801,0.9342857,t17_f5_c3,19.1597,0.1363,False,False,False,bulk_1.0.0,0.0,1296362241215015016,0.99997056,683120212.0
12,ztf,59050.36224539997,1296362241215015016,1,1296362241215,20.701109,1,1296,1.8876837,19.486761,19.7414,0.12436974,0.1594,271.9660551,30.8428102,0.8528572,t17_f5_c3,19.6426,0.182,False,False,False,bulk_1.0.0,0.0,1299322441215015013,0.9971883,683120112.0
13,ztf,59053.32244209992,1299322441215015013,2,1299322441215,20.973055,1,1299,1.7548872,19.53763,19.7091,0.13933946,0.1534,271.9660659,30.8428131,0.81285715,t17_f5_c3,19.6403,0.1753,False,False,False,bulk_1.0.0,0.0,1299353421215015013,0.99967957,683120212.0
14,ztf,59053.353425899986,1299353421215015013,1,1299353421215,21.030571,1,1299,1.9445934,19.595951,19.7195,0.1289839,0.1278,271.9660274,30.8428129,0.88,t17_f5_c3,19.6216,0.1436,False,False,False,bulk_1.0.0,0.0,1305291461215015012,0.9996717,683120112.0
15,ztf,59056.27364580007,1302273641215015021,1,1302273641215,20.804354,1,1302,1.9372927,19.730194,19.8861,0.13513887,0.1692,271.9659972,30.8427894,0.9142857,t17_f5_c3,19.7038,0.1786,False,False,False,bulk_1.0.0,0.0,1305291461215015012,0.9999958,683120112.0
16,ztf,59056.35121530015,1302351211215015009,2,1302351211215,20.0557,1,1302,1.87956,19.6344,19.6197,0.226962,0.1973,271.9660707,30.8428617,0.687143,t17_f5_c3,19.8965,0.3189,False,False,False,bulk_1.0.0,0.0,1305291461215015012,,
17,ztf,59059.29146989994,1305291461215015012,1,1305291461215,20.477528,1,1305,1.9635463,19.929996,20.2626,0.1989834,0.3351,271.9659971,30.8428,0.76,t17_f5_c3,19.9157,0.3091,False,False,False,bulk_1.0.0,0.0,1306337681215015009,0.9991766,683120112.0
18,ztf,59060.33768519992,1306337681215015009,1,1306337681215,20.146116,1,1306,1.9151405,19.787952,20.1069,0.18033117,0.3757,271.9660283,30.8428582,0.75285715,t17_f5_c3,20.1636,0.5043,True,False,False,bulk_1.0.0,0.0,0,0.9999728,683120112.0
