,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59098.33359949989,1344333593515015009,2,1344333593515,19.708492,1,1344,0.8921453,19.256384,18.773245,19.5082,0.15148498,0.09060936,0.09707642,0.35,350.7621073,-16.8205556,0.95,t17_f5_c3,0.99999505,19.387,0.4011,343120235.0,False,True,False,bulk_1.0.0,0.0,1356326593515015014
1,ztf,59099.377222199924,1345377224615015011,1,1345377224615,19.387262,1,1345,1.3237346,19.075237,18.84232,19.0614,0.15004462,0.11891177,0.121074654,0.2472,350.7621257,-16.8205729,0.9257143,t17_f5_c3,0.9998044,19.0408,0.3109,344120146.0,False,True,False,bulk_1.0.0,0.0,1356326593515015014
2,ztf,59106.29361109994,1352293614615015005,1,1352293614615,19.356558,1,1352,1.3549412,19.021126,18.798447,19.0256,0.21448931,0.17334113,0.17471667,0.2619,350.7621441,-16.820529,0.87285715,t17_f5_c3,0.99776995,19.2165,0.3988,344120146.0,False,True,False,bulk_1.0.0,0.0,1356326593515015014
3,ztf,59106.311122700106,1352311123515015031,1,1352311123515,19.6877,1,1352,3.216488,19.08343,,19.1245,0.18516257,,,0.2379,350.7620452,-16.8206188,0.88714284,t17_f5_c3,0.99916744,19.0499,0.2835,343120135.0,False,False,True,bulk_1.0.0,0.0,1356326593515015014
4,ztf,59107.293877299875,1353293873515015007,2,1353293873515,19.729053,1,1353,0.93278337,19.138538,18.696268,19.1628,0.16105682,0.1021371,0.10716951,0.2495,350.7621169,-16.8205368,0.92285717,t17_f5_c3,0.9972174,19.3031,0.362,343120235.0,False,True,False,bulk_1.0.0,0.0,1356326593515015014
5,ztf,59107.33653939981,1353336534615015008,1,1353336534615,19.880438,1,1353,1.2494617,19.000193,18.781366,18.7664,0.142445,0.11443437,0.116443805,0.1456,350.7621011,-16.8205801,0.8242857,t17_f5_c3,0.99300444,18.6255,0.1631,344120146.0,False,True,False,bulk_1.0.0,0.0,1356326593515015014
6,ztf,59107.33747689985,1353337473515015009,1,1353337473515,19.850481,1,1353,3.1057074,19.100517,,18.9969,0.13204356,,,0.1769,350.7620427,-16.8205718,0.9085714,t17_f5_c3,0.9997866,18.9139,0.209,343120135.0,False,False,True,bulk_1.0.0,0.0,1356326593515015014
7,ztf,59108.30935190013,1354309353515015012,1,1354309353515,19.920982,1,1354,3.192955,19.04279,,18.9771,0.15177871,,,0.17,350.7620735,-16.8205745,0.91714287,t17_f5_c3,0.9999994,18.9393,0.209,343120135.0,False,False,True,bulk_1.0.0,0.0,1356326593515015014
8,ztf,59108.310289400164,1354310284615015004,1,1354310284615,19.874672,1,1354,1.465081,19.044828,,18.9609,0.15181655,,,0.1759,350.7621741,-16.820547,0.93142855,t17_f5_c3,0.99986553,18.7229,0.1804,344120146.0,False,False,True,bulk_1.0.0,0.0,1356326593515015014
9,ztf,59109.23221059982,1355232213515015010,2,1355232213515,19.930162,1,1355,0.84767663,19.128008,18.68925,19.0496,0.13549188,0.08450727,0.09045034,0.1707,350.7620954,-16.8205637,0.94857144,t17_f5_c3,0.9999495,18.9614,0.2004,343120235.0,False,True,False,bulk_1.0.0,0.0,1356326593515015014
