,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59114.35407410003,1360354072515015003,1,1360354072515,20.5491,1,1360,2.40241,20.5843,20.5115,0.228377,0.3955,32.0077936,-10.1974795,0.884286,t17_f5_c3,20.2793,0.405,False,False,False,bulk_1.0.0,0.0,1363383402515015008,,
1,ztf,59116.310636600014,1362310632515015005,1,1362310632515,20.496725,1,1362,2.1141524,20.369038,20.1342,0.21281935,0.297,32.0078423,-10.1973212,0.87714285,t17_f5_c3,20.2301,0.4115,False,False,False,bulk_1.0.0,0.0,1363383402515015008,0.9996486,349120125.0
2,ztf,59116.41075230017,1362410752515015004,2,1362410752515,20.42426,1,1362,1.8344302,20.344515,20.2556,0.21707998,0.3657,32.007778,-10.1972812,0.9,t17_f5_c3,20.3758,0.5175,False,False,False,bulk_1.0.0,0.0,1363383402515015008,0.9998434,349120225.0
3,ztf,59117.38340280019,1363383402515015008,2,1363383402515,20.628994,1,1363,2.2912724,20.439964,20.4732,0.20053925,0.3851,32.0077972,-10.1974297,0.75142854,t17_f5_c3,19.9665,0.305,False,False,False,bulk_1.0.0,0.0,1382314682515015004,0.9973947,349120225.0
4,ztf,59117.42100689979,1363421002515015006,1,1363421002515,20.656,1,1363,2.1456,20.3036,20.2578,0.22706,0.2805,32.0078167,-10.1973624,0.822857,t17_f5_c3,20.285,0.3632,False,False,False,bulk_1.0.0,0.0,1382314682515015004,,
5,ztf,59118.31287040003,1364312872515015003,2,1364312872515,20.025867,1,1364,1.9267757,20.102654,20.1586,0.19207141,0.4423,32.0077304,-10.1973506,0.9342857,t17_f5_c3,19.7827,0.3991,False,False,False,bulk_1.0.0,0.0,1382314682515015004,0.99963194,349120225.0
6,ztf,59118.45284719998,1364452842515015008,1,1364452842515,20.642988,1,1364,2.351626,20.350882,20.67,0.19702563,0.3884,32.0078599,-10.1974018,0.88,t17_f5_c3,20.5057,0.4221,False,False,False,bulk_1.0.0,0.0,1382314682515015004,0.9999479,349120125.0
7,ztf,59121.44878470013,1367448782515015002,2,1367448782515,19.61965,1,1367,2.0608943,19.86738,19.7313,0.20111963,0.4573,32.0077493,-10.1973833,0.86285716,t17_f5_c3,19.7879,0.6171,False,False,False,bulk_1.0.0,0.0,1382314682515015004,0.99973726,349120225.0
8,ztf,59130.297604199965,1376297602515015002,2,1376297602515,20.2963,1,1376,2.09933,20.1402,20.148,0.235136,0.3811,32.0078278,-10.1973361,0.812857,t17_f5_c3,19.9052,0.3881,False,False,False,bulk_1.0.0,0.0,1382314682515015004,,
9,ztf,59130.374247699976,1376374242515015002,1,1376374242515,20.059,1,1376,2.42685,20.3551,20.1662,0.261782,0.4158,32.0078312,-10.1974562,0.822857,t17_f5_c3,19.9266,0.427,False,False,False,bulk_1.0.0,0.0,1382314682515015004,,
10,ztf,59134.333171300124,1380333172515015004,2,1380333172515,20.125713,1,1380,1.8198397,19.975277,20.0217,0.19155207,0.3144,32.0077601,-10.1972912,0.94,t17_f5_c3,20.0667,0.416,False,False,False,bulk_1.0.0,0.0,1382314682515015004,0.99415267,349120225.0
11,ztf,59136.31468749978,1382314682515015004,2,1382314682515,20.48949,1,1382,2.1942773,20.021908,20.1773,0.17370412,0.34,32.0077951,-10.1973952,0.8914286,t17_f5_c3,20.2683,0.4682,False,False,False,bulk_1.0.0,0.0,1384351932515015002,0.99979496,349120225.0
12,ztf,59136.395740699954,1382395742515015002,1,1382395742515,20.590723,1,1382,2.1076722,20.298098,20.6532,0.18702224,0.4482,32.0077663,-10.1973944,0.8142857,t17_f5_c3,20.8863,0.7052,False,False,False,bulk_1.0.0,0.0,1384351932515015002,0.9999262,349120125.0
13,ztf,59138.35193290003,1384351932515015002,2,1384351932515,20.209925,1,1384,2.2851143,20.08834,19.6978,0.20787585,0.2289,32.0078762,-10.1973645,0.60142857,t17_f5_c3,19.7585,0.3065,True,False,False,bulk_1.0.0,0.0,0,0.9966697,349120225.0
