,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59138.253911999986,1384253914415015012,1,1384253914415,20.1344,1,1384,0.701649,20.3395,19.357634,20.0893,0.257667,0.080225974,0.10430676,0.2871,16.9135829,-8.6178702,0.618571,t17_f5_c3,19.9343,0.318,False,True,False,bulk_1.0.0,0.0,1390233644415015032,,
1,ztf,59140.26853010012,1386268534415015014,2,1386268534415,20.454285,1,1386,0.9122984,20.055265,18.763891,20.5136,0.17347972,100.0,0.052807935,0.4377,16.9135106,-8.6178564,0.88285714,t17_f5_c3,20.0516,0.3651,False,True,False,bulk_1.0.0,0.0,1390315824415015027,0.99993694,347120244.0
2,ztf,59144.233645800035,1390233644415015032,2,1390233644415,20.646229,1,1390,0.9995435,19.73674,18.656681,19.903,0.09800348,100.0,0.036242478,0.2203,16.9135406,-8.6178474,0.9028571,t17_f5_c3,19.8045,0.2552,False,True,False,bulk_1.0.0,0.0,1390315824415015027,0.99997556,347120244.0
3,ztf,59144.315821799915,1390315824415015027,1,1390315824415,20.859818,1,1390,0.53536624,19.665812,19.03335,19.5371,0.11265474,0.03890091,0.06291657,0.1207,16.9135095,-8.617913,0.91714287,t17_f5_c3,19.3955,0.1338,False,True,False,bulk_1.0.0,0.0,1402277334415015011,0.9999619,347120144.0
4,ztf,59146.27307870006,1392273074415015016,2,1392273074415,19.376696,1,1392,0.97012264,19.455317,18.543938,19.1073,0.19402227,0.07078488,0.08381078,0.3144,16.9135182,-8.617879,0.8471429,t17_f5_c3,19.1971,0.4374,False,True,False,bulk_1.0.0,0.0,1402277334415015011,0.9975246,347120244.0
5,ztf,59155.190266199876,1401190264415015007,1,1401190264415,19.4087,1,1401,0.268329,19.9,19.157873,20.3009,0.262718,0.120477766,0.1326293,0.8447,16.913376,-8.6178939,0.664286,t17_f5_c3,20.1754,0.9666,False,True,False,bulk_1.0.0,0.0,1402277334415015011,,
6,ztf,59155.23127309978,1401231274415015009,2,1401231274415,19.636637,1,1401,1.0330994,19.545738,18.582077,20.1758,0.17827213,0.056791987,0.07338691,0.6464,16.9135411,-8.6178726,0.8814286,t17_f5_c3,20.0107,0.7129,False,True,False,bulk_1.0.0,0.0,1402277334415015011,0.99992716,347120244.0
7,ztf,59156.277338000014,1402277334415015011,2,1402277334415,19.812483,1,1402,0.7979917,19.772451,18.66975,19.4405,0.17700763,0.039634183,0.06410794,0.2663,16.9134605,-8.6178817,0.89857143,t17_f5_c3,19.3546,0.315,False,True,False,bulk_1.0.0,0.0,1411226054415015012,0.99960685,347120244.0
8,ztf,59158.2120254999,1404212024415015018,2,1404212024415,19.9198,1,1404,1.11083,20.1847,18.801685,20.0827,0.258002,0.044413082,0.07218008,0.3968,16.9135875,-8.6177577,0.86,t17_f5_c3,20.4596,0.7183,False,True,False,bulk_1.0.0,0.0,1411226054415015012,,
9,ztf,59158.28780090017,1404287804415015007,1,1404287804415,19.6364,1,1404,0.310311,19.977,19.196064,19.9628,0.337735,0.15415874,0.16451357,0.4045,16.9134177,-8.6179025,0.764286,t17_f5_c3,19.9453,0.5106,False,True,False,bulk_1.0.0,0.0,1411226054415015012,,
10,ztf,59164.29401620012,1410294014415015022,2,1410294014415,20.019659,1,1410,1.1857873,20.164478,18.795988,20.036,0.19943772,100.0,0.056547258,0.3039,16.9135748,-8.6179026,0.74,t17_f5_c3,19.8537,0.3281,False,True,False,bulk_1.0.0,0.0,1411226054415015012,0.99785125,347120244.0
11,ztf,59165.19009259995,1411190094415015010,1,1411190094415,20.4104,1,1411,0.207109,20.6736,19.48078,20.8077,0.254082,0.039970733,0.08469271,0.4999,16.9133758,-8.6178752,0.817143,t17_f5_c3,20.5529,0.5055,False,True,False,bulk_1.0.0,0.0,1411226054415015012,,
12,ztf,59165.2260532002,1411226054415015012,2,1411226054415,20.594767,1,1411,0.90399265,20.184221,18.80155,20.4649,0.14785606,100.0,0.041378118,0.3771,16.9135088,-8.6178538,0.8471429,t17_f5_c3,20.1824,0.3701,True,True,False,bulk_1.0.0,0.0,0,0.9999311,347120244.0
