,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58864.1655323999,1110165533215015021,1,1110165533215,20.791088,1,1110,0.22592838,19.603334,17.265055,19.5906,0.1387063,100.0,0.016098466,0.1567,110.3139072,55.8899884,0.9742857,t17_f5_c3,0.99849534,19.5141,0.178,782120132.0,False,True,False,bulk_1.0.0,0.0,1110174504415015003
1,ztf,58864.17075229995,1110170753215015018,1,1110170753215,20.696474,1,1110,0.20350766,19.537004,17.257145,19.6554,0.1654096,100.0,0.020258963,0.1706,110.3139848,55.8900291,0.9742857,t17_f5_c3,0.99065423,19.6766,0.2127,782120132.0,False,True,False,bulk_1.0.0,0.0,1110174504415015003
2,ztf,58864.1745023001,1110174504415015003,1,1110174504415,20.630993,1,1110,0.6772931,19.359146,17.242313,19.4621,0.1344254,100.0,0.019131463,0.1447,110.3140642,55.8901578,0.95714283,t17_f5_c3,0.99994075,19.5934,0.1997,783120144.0,False,True,False,bulk_1.0.0,0.0,1113265773215015016
3,ztf,58864.17971060006,1110179714415015005,1,1110179714415,20.77761,1,1110,0.6186693,19.61486,17.275232,19.7175,0.14172833,100.0,0.016428784,0.175,110.3140734,55.8901387,0.9714286,t17_f5_c3,0.9999,19.8098,0.2325,783120144.0,False,True,False,bulk_1.0.0,0.0,1113265773215015016
4,ztf,58864.22252310021,1110222524415015005,2,1110222524415,20.694006,1,1110,0.32227084,19.078981,16.391565,18.9654,0.10783432,100.0,0.0090738265,0.1078,110.3140653,55.8900625,0.95714283,t17_f5_c3,0.9999689,19.0075,0.1325,783120244.0,False,True,False,bulk_1.0.0,0.0,1113265773215015016
5,ztf,58867.21430560015,1113214304415015008,1,1113214304415,20.559776,1,1113,0.27101615,18.20002,16.981436,18.1997,0.06443777,100.0,0.020975249,0.0533,110.3140727,55.8900451,0.9728571,t17_f5_c3,0.9999324,18.3232,0.0728,783120144.0,False,True,False,bulk_1.0.0,0.0,1113265773215015016
6,ztf,58867.21853009984,1113218533215015016,1,1113218533215,20.785355,1,1113,0.21201846,18.260027,16.993732,18.1587,0.078449026,100.0,0.024438234,0.0428,110.3140415,55.8900315,0.9614286,t17_f5_c3,0.999972,18.1456,0.0508,782120132.0,False,True,False,bulk_1.0.0,0.0,1113265773215015016
7,ztf,58867.260555599816,1113260554415015006,2,1113260554415,20.317282,1,1113,0.23985538,18.18479,16.280615,18.083,0.07220653,100.0,0.012499899,0.0617,110.3140316,55.8900394,0.95857143,t17_f5_c3,0.9999704,18.0389,0.0718,783120244.0,False,True,False,bulk_1.0.0,0.0,1113265773215015016
8,ztf,58867.265775499865,1113265773215015016,2,1113265773215,20.543787,1,1113,0.09317869,18.165428,16.274765,18.176,0.09276096,100.0,0.016259221,0.0556,110.3140052,55.8900076,0.89285713,t17_f5_c3,0.99945843,18.2063,0.0677,782120232.0,False,True,False,bulk_1.0.0,0.0,1132201143215015006
9,ztf,58873.19386570016,1119193863215015014,2,1119193863215,20.469715,1,1119,0.14058958,17.461378,16.113659,17.4639,0.05583918,100.0,0.016138058,0.0307,110.3140508,55.8900091,0.9257143,t17_f5_c3,0.99999744,17.4824,0.0369,782120232.0,False,True,False,bulk_1.0.0,0.0,1149174033215015007
