,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59498.31913190009,1744319134115015036,2,1744319134115,20.423805,1,1744,0.21845286,20.478476,20.140446,20.2667,0.2092764,0.15189748,0.15328798,0.3498,17.7710677,5.6956623,0.52428573,t17_f5_c3,0.99800694,20.3929,0.5043,449120241.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59498.35289350012,1744352894115015027,1,1744352894115,20.5176,1,1744,1.72364,20.4638,,20.5028,0.271322,,,0.4038,17.7710752,5.6957795,0.634286,t17_f5_c3,,20.8243,0.6963,,False,False,False,correction_1.0.6,0.0,1.748337224115015e+18
2,ztf,59502.33722219989,1748337224115015024,2,1748337224115,19.842485,1,1748,0.58215284,20.026436,19.792124,20.1735,0.18849973,0.15117283,0.15190992,0.4298,17.7711338,5.6958574,0.73,t17_f5_c3,0.9999881,20.5595,0.7875,449120241.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59502.39517359994,1748395174115015014,1,1748395174115,19.8573,1,1748,0.918169,20.217,20.069149,19.8866,0.279698,0.24319525,0.24408984,0.2458,17.7709621,5.6954222,0.207143,t17_f5_c3,,19.7111,0.2683,,False,True,True,correction_1.0.6,0.0,1.757259624115015e+18
4,ztf,59504.295057899784,1750295054115015004,2,1750295054115,19.6595,1,1750,0.341821,20.0176,19.784998,19.2577,0.291521,0.23483492,0.2353039,0.2874,17.7709978,5.6958014,0.294286,t17_f5_c3,,19.1998,0.3502,,False,True,False,correction_1.0.6,0.0,1.757259624115015e+18
5,ztf,59511.259629600216,1757259624115015030,2,1757259624115,20.046316,1,1757,0.31625304,19.877205,19.670301,19.5727,0.15212956,0.125022,0.12573382,0.2662,17.771003,5.6957958,0.7171429,t17_f5_c3,0.9998566,20.1751,0.5947,449120241.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59517.21753469994,1763217534115015026,1,1763217534115,20.658735,1,1763,1.8434795,20.190382,,20.3258,0.16015784,,,0.2973,17.7710829,5.6958191,0.8585714,t17_f5_c3,0.99999124,20.4008,0.4084,449120141.0,True,False,False,correction_1.0.6,0.0,
7,ztf,59517.27906250022,1763279064115015031,2,1763279064115,20.701168,1,1763,0.17805284,20.239674,19.960564,20.1439,0.18992907,0.14583391,0.14687477,0.2617,17.7710063,5.69575,0.56285715,t17_f5_c3,0.99964035,20.2604,0.3732,449120241.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59520.268749999814,1766268754115015034,2,1766268754115,20.6058,1,1766,0.26083875,20.227068,19.950802,19.8938,0.16209304,0.12448144,0.12567765,0.2147,17.7710812,5.6957784,0.70714283,t17_f5_c3,0.99994636,19.9365,0.2861,449120241.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59520.29995370004,1766299954115015026,1,1766299954115,20.639679,1,1766,1.6810856,20.32381,,20.6573,0.19849305,,,0.3816,17.771106,5.6957171,0.8657143,t17_f5_c3,0.99991894,20.5861,0.4583,449120141.0,True,False,False,correction_1.0.6,0.0,
10,ztf,59522.26557870023,1768265574115015022,1,1768265574115,20.7136,1,1768,1.6686,20.6284,,20.5569,0.278195,,,0.3358,17.771034,5.6957991,0.802857,t17_f5_c3,,20.7506,0.5143,,False,False,False,correction_1.0.6,0.0,1.768311444115015e+18
11,ztf,59522.3114467999,1768311444115015019,2,1768311444115,20.55126,1,1768,0.27016124,20.299204,20.00631,20.5065,0.20687921,0.15691172,0.15796438,0.3928,17.7710364,5.6957918,0.8471429,t17_f5_c3,0.99987817,20.3172,0.4236,449120241.0,True,True,False,correction_1.0.6,0.0,
12,ztf,59524.2429630002,1770242964115015028,2,1770242964115,20.667953,1,1770,0.18628652,20.404453,20.085737,20.4194,0.1810148,0.13353807,0.13496701,0.354,17.7710451,5.6957676,0.7342857,t17_f5_c3,0.999945,20.2877,0.4021,449120241.0,True,True,False,correction_1.0.6,0.0,
