,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59216.25562500022,1462255624815015006,1,1462255624815,19.534285,1,1462,0.7565392,18.820797,18.165077,18.9334,0.13579096,0.06526692,0.07423056,0.2163,79.2739736,-6.6571151,0.94857144,t17_f5_c3,0.9999994,18.669,0.2172,355120148.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
1,ztf,59216.25749999983,1462257496115015006,1,1462257496115,19.68395,1,1462,0.2152816,18.736683,18.132069,18.8381,0.10091405,0.04756635,0.05782375,0.1708,79.2738983,-6.6570635,0.9128571,t17_f5_c3,1.0,18.9551,0.243,356120161.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
2,ztf,59216.2744907001,1462274494815015011,2,1462274494815,19.7882,1,1462,0.937588,18.72015,17.918959,18.7739,0.09395541,100.0,0.044920545,0.1558,79.2739253,-6.6570568,0.9457143,t17_f5_c3,0.99999905,18.6719,0.1809,355120248.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
3,ztf,59216.30532409996,1462305326115015023,2,1462305326115,19.7884,1,1462,0.905156,18.7576,17.944107,18.9272,0.093064,0.004479697,0.043993056,0.1787,79.2739779,-6.6570594,0.927143,t17_f5_c3,,18.8546,0.2132,,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
4,ztf,59218.231898100115,1464231894815015009,1,1464231894815,20.370958,1,1464,0.6112076,18.971127,18.244667,19.0315,0.1210313,0.048936423,0.061988868,0.1121,79.2739357,-6.6570314,0.9671429,t17_f5_c3,0.9999988,18.9726,0.1338,355120148.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
5,ztf,59218.27519680001,1464275196115015011,2,1464275196115,20.034927,1,1464,0.83868426,18.67158,17.902592,18.7282,0.083735466,100.0,0.041239623,0.1188,79.2739534,-6.6570341,0.95,t17_f5_c3,0.99999875,18.8723,0.1715,356120261.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
6,ztf,59218.279455999844,1464279454815015008,2,1464279454815,19.759275,1,1464,0.91986454,18.757593,17.936699,18.6646,0.09586365,100.0,0.04500867,0.1334,79.2739196,-6.6570577,0.95857143,t17_f5_c3,0.9999999,18.7008,0.1753,355120248.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
7,ztf,59218.347048600204,1464347046115015025,1,1464347046115,19.645744,1,1464,0.2902416,18.891008,18.217798,18.837,0.12958077,0.05993879,0.069703795,0.161,79.2739489,-6.6569899,0.9085714,t17_f5_c3,0.999988,18.735,0.1873,356120161.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
8,ztf,59220.2531365999,1466253134815015008,1,1466253134815,20.083498,1,1466,0.36387596,18.85933,18.18597,18.7623,0.1272397,0.05817132,0.068435155,0.0926,79.2738602,-6.6570228,0.7557143,t17_f5_c3,0.9977496,18.8111,0.1218,355120148.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
9,ztf,59220.25548609998,1466255486115015027,1,1466255486115,20.150434,1,1466,0.34576863,18.919844,18.233213,19.0408,0.101223834,0.03987477,0.05378124,0.1204,79.2739621,-6.6570346,0.87857145,t17_f5_c3,0.9999976,19.0054,0.1474,356120161.0,False,True,False,bulk_1.0.0,0.0,1.466275836115015e+18
