,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59517.2666782001,1763266674215015026,1,1763266674215,20.708965,1,1763,10.635571,20.26021,20.5285,0.18645076,0.3451,42.4184339,12.069192,0.80285716,t17_f5_c3,0.99999577,20.296,0.358,505120142.0,True,False,False,correction_1.0.6,0.0,
1,ztf,59517.33861109987,1763338614215015050,2,1763338614215,20.698183,1,1763,4.315555,20.295137,20.3213,0.15299015,0.3168,42.4183681,12.0690875,0.5928571,t17_f5_c3,0.99998295,20.3181,0.4071,505120242.0,True,False,False,correction_1.0.6,0.0,
2,ztf,59521.30381939979,1767303814215015053,1,1767303814215,20.794827,1,1767,10.7481,20.011732,20.0114,0.16880158,0.1946,42.4184626,12.0691592,0.7771429,t17_f5_c3,0.99999547,20.0591,0.2605,505120142.0,True,False,False,correction_1.0.6,0.0,
3,ztf,59523.27460649982,1769274604215015055,2,1769274604215,20.557922,1,1769,4.354657,19.740274,19.6642,0.12767516,0.1849,42.4184105,12.0690913,0.79,t17_f5_c3,0.99998677,19.5508,0.2142,505120242.0,True,False,False,correction_1.0.6,0.0,
4,ztf,59523.318113400135,1769318114215015046,1,1769318114215,20.787834,1,1769,10.844556,20.029394,20.0999,0.16213055,0.2121,42.4183989,12.0691318,0.5942857,t17_f5_c3,0.999964,20.0342,0.2561,505120142.0,True,False,False,correction_1.0.6,0.0,
5,ztf,59525.296724500135,1771296724215015038,2,1771296724215,20.6472,1,1771,4.2093644,19.897165,20.0658,0.12646754,0.2667,42.4184223,12.0691401,0.6471428,t17_f5_c3,0.9999981,19.8904,0.2922,505120242.0,True,False,False,correction_1.0.6,0.0,
6,ztf,59525.3195369998,1771319534215015023,1,1771319534215,20.625998,1,1771,10.8111,20.039137,19.917,0.17276755,0.1873,42.4184431,12.0691404,0.68,t17_f5_c3,0.99999905,19.8639,0.2288,505120142.0,True,False,False,correction_1.0.6,0.0,
7,ztf,59527.28849539999,1773288494215015020,2,1773288494215,19.7358,1,1773,4.17505,19.8001,19.533,0.23134,0.3509,42.4184289,12.0691533,0.502857,t17_f5_c3,,19.4413,0.4146,,False,False,False,correction_1.0.6,0.0,1.773299504215015e+18
8,ztf,59527.2995023001,1773299504215015034,1,1773299504215,20.454754,1,1773,10.734909,20.02712,19.8803,0.20565686,0.2401,42.4183846,12.069162,0.74714285,t17_f5_c3,0.99995697,19.6112,0.2407,505120142.0,True,False,False,correction_1.0.6,0.0,
9,ztf,59530.34085649997,1776340854215015025,2,1776340854215,20.385218,1,1776,4.0878143,19.99331,19.9503,0.16004764,0.2501,42.4184111,12.0691714,0.7442857,t17_f5_c3,0.9993418,19.8303,0.2884,505120242.0,True,False,False,correction_1.0.6,0.0,
