,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59228.34508100012,1474345080815015005,2,1474345080815,20.5729,1,1474,1.39505,20.5771,18.243446,20.3671,0.237755,100.0,0.027712008,0.3509,123.6359981,2.2477795,0.708571,t17_f5_c3,20.1028,0.349,False,True,False,bulk_1.0.0,0.0,1.476277920815015e+18,,
1,ztf,59228.36515050009,1474365150815015006,1,1474365150815,20.5696,1,1474,0.919047,20.6396,19.08321,20.732,0.266473,0.0065715797,0.063547246,0.4308,123.6361038,2.2478246,0.691429,t17_f5_c3,20.9622,0.6789,False,True,False,bulk_1.0.0,0.0,1.476277920815015e+18,,
2,ztf,59230.277928200085,1476277920815015003,2,1476277920815,20.433014,1,1476,1.0338519,20.145094,18.1833,19.7659,0.1977373,100.0,0.032461703,0.2161,123.6360945,2.2478104,0.7985714,t17_f5_c3,20.0104,0.343,False,True,False,bulk_1.0.0,0.0,1.476337290815015e+18,0.99312496,464120208.0
3,ztf,59230.337291699834,1476337290815015009,1,1476337290815,20.477983,1,1476,1.09675,19.831497,18.82927,19.7014,0.14206715,0.026138356,0.056441996,0.1705,123.6360465,2.2478396,0.8842857,t17_f5_c3,19.7559,0.2279,False,True,False,bulk_1.0.0,0.0,1.478354220815015e+18,0.9999709,464120108.0
4,ztf,59232.35422449978,1478354220815015012,2,1478354220815,20.574713,1,1478,1.0195705,19.599787,18.072826,19.5028,0.09808923,100.0,0.02403463,0.159,123.636098,2.2478301,0.89428574,t17_f5_c3,19.5136,0.2032,False,True,False,bulk_1.0.0,0.0,1.478358570815015e+18,0.9999999,464120208.0
5,ztf,59232.358576400205,1478358570815015002,1,1478358570815,20.452457,1,1478,1.0602472,19.601652,18.732054,19.5008,0.10506344,0.011501209,0.047164164,0.1378,123.6360679,2.2478005,0.88857144,t17_f5_c3,19.5447,0.182,True,True,False,bulk_1.0.0,0.0,0.0,0.9999932,464120108.0
6,ztf,59248.24828700023,1494248280815015004,2,1494248280815,20.226088,1,1494,1.1016665,19.458036,18.036345,19.3148,0.10093143,100.0,0.027248949,0.1513,123.6360817,2.2477674,0.9114286,t17_f5_c3,19.6185,0.2532,True,True,False,correction_0.0.1,0.0,,0.99999285,464120208.0
7,ztf,59248.25363430008,1494253630815015007,1,1494253630815,20.31806,1,1494,0.7896096,19.640163,18.749172,19.5803,0.12171572,0.026663017,0.053573553,0.1526,123.6361531,2.2477877,0.8371429,t17_f5_c3,19.3781,0.1613,True,True,False,correction_0.0.1,0.0,,0.9998011,464120108.0
8,ztf,59250.25900459988,1496259000815015011,1,1496259000815,20.2532,1,1496,0.985858,19.8399,18.8326,19.8114,0.222347,0.072200306,0.087924786,0.1923,123.6360995,2.2477756,0.634286,t17_f5_c3,19.9541,0.2789,False,True,False,correction_0.0.1,0.0,,,
9,ztf,59250.35273149982,1496352730815015008,2,1496352730815,20.124453,1,1496,1.0909083,19.679754,18.091883,19.4454,0.12871483,100.0,0.02981812,0.1763,123.636086,2.2479021,0.8428571,t17_f5_c3,19.296,0.1952,True,True,False,correction_0.0.1,0.0,,0.9987328,464120208.0
10,ztf,59252.213136599865,1498213130815015017,2,1498213130815,20.57171,1,1498,1.1673021,19.654255,18.085922,19.542,0.11882123,100.0,0.028026003,0.1635,123.6360577,2.2478121,0.9085714,t17_f5_c3,19.5591,0.2103,True,True,False,correction_0.0.1,0.0,,0.9999373,464120208.0
11,ztf,59252.267824099865,1498267820815015016,1,1498267820815,20.575348,1,1498,0.91650605,20.19882,18.960728,20.1251,0.15025233,100.0,0.0480379,0.2413,123.6360966,2.2478477,0.8371429,t17_f5_c3,20.3444,0.3754,True,True,False,correction_0.0.1,0.0,,0.999984,464120108.0
12,ztf,59254.25513890013,1500255130815015012,2,1500255130815,20.73275,1,1500,1.0740417,19.842806,18.127535,19.9583,0.12617753,100.0,0.025994048,0.2098,123.6360825,2.2478458,0.87857145,t17_f5_c3,19.6914,0.2075,True,True,False,correction_0.0.1,0.0,,0.99960256,464120208.0
13,ztf,59256.23531250004,1502235310815015007,2,1502235310815,20.495504,1,1502,0.97896075,19.788992,18.116228,19.6664,0.11325014,100.0,0.02426239,0.1868,123.6361093,2.2478096,0.9257143,t17_f5_c3,19.5836,0.2192,True,True,False,correction_0.0.1,0.0,,0.9999895,464120208.0
