,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59248.26763889985,1494267636115015009,1,1494267636115,20.330881,1,1494,1.1462927,18.599337,17.937456,18.6382,0.092914216,0.048481908,0.050504524,0.0728,128.7038208,-6.4553565,0.9057143,t17_f5_c3,0.9989238,18.5165,0.0819,363120161.0,True,True,False,correction_0.0.1,0.0
1,ztf,59248.33474540012,1494334744815015003,1,1494334744815,19.738802,1,1494,1.2965988,18.510645,17.91412,18.4195,0.08796008,0.04741322,0.050778024,0.0958,128.70379,-6.4553604,0.8242857,t17_f5_c3,0.9999219,18.4079,0.1206,362120148.0,True,True,False,correction_0.0.1,0.0
2,ztf,59248.360451399814,1494360454815015005,2,1494360454815,19.907707,1,1494,1.2131737,18.567476,17.794476,18.7473,0.098522194,0.044730913,0.048342984,0.123,128.7037908,-6.4553647,0.88285714,t17_f5_c3,0.99999756,18.7102,0.1512,362120248.0,True,True,False,correction_0.0.1,0.0
3,ztf,59248.38137729978,1494381376115015006,2,1494381376115,19.802681,1,1494,1.1405833,18.671713,17.82773,18.6669,0.12395329,0.052488204,0.056972496,0.119,128.7037805,-6.4553539,0.9128571,t17_f5_c3,0.9999759,18.6469,0.1486,363120261.0,True,True,False,correction_0.0.1,0.0
4,ztf,59250.27526619984,1496275264815015009,1,1496275264815,19.757912,1,1496,1.2711964,18.58419,17.955967,18.5313,0.12299078,0.06631973,0.06895778,0.0844,128.7037968,-6.4553686,0.39857143,t17_f5_c3,0.99473107,18.4989,0.1037,362120148.0,True,True,False,correction_0.0.1,0.0
5,ztf,59250.29282409977,1496292826115015009,1,1496292826115,19.85766,1,1496,1.1405387,18.511196,17.888662,18.5906,0.13307627,0.07377441,0.07500443,0.0754,128.703829,-6.4553403,0.42714286,t17_f5_c3,0.99923414,18.5281,0.0898,363120161.0,True,True,False,correction_0.0.1,0.0
6,ztf,59250.33502310002,1496335026115015011,2,1496335026115,19.836748,1,1496,0.9746739,18.535465,17.762978,18.5994,0.11081933,0.050239388,0.054402746,0.0894,128.7038374,-6.4553152,0.79285717,t17_f5_c3,0.999637,18.6262,0.1158,363120261.0,True,True,False,correction_0.0.1,0.0
7,ztf,59250.41026620008,1496410264815015001,2,1496410264815,19.628473,1,1496,1.1649907,18.562408,17.791985,18.6793,0.13087468,0.061716273,0.064370416,0.1347,128.703802,-6.4553733,0.7885714,t17_f5_c3,0.99989885,18.7145,0.1771,362120248.0,True,True,False,correction_0.0.1,0.0
8,ztf,59252.272129599936,1498272126115015011,1,1498272126115,20.427694,1,1498,1.2724783,18.58413,17.929165,18.6528,0.07701688,0.039721906,0.042130824,0.0707,128.7037937,-6.4553122,0.9242857,t17_f5_c3,0.9999689,18.6412,0.0876,363120161.0,True,True,False,correction_0.0.1,0.0
9,ztf,59252.285161999986,1498285164815015006,1,1498285164815,20.136812,1,1498,1.4521966,18.605627,,18.3762,0.08043996,,,0.0698,128.7037457,-6.4553631,0.7614286,t17_f5_c3,0.9999795,18.3105,0.083,362120148.0,True,False,True,correction_0.0.1,0.0
10,ztf,59252.29457180016,1498294576115015009,2,1498294576115,20.271255,1,1498,1.0329921,18.536442,17.763458,18.6703,0.110593684,0.05008864,0.054267112,0.0849,128.7038163,-6.455329,0.92714286,t17_f5_c3,0.9996388,18.5447,0.0953,363120261.0,True,True,False,correction_0.0.1,0.0
11,ztf,59252.374050899874,1498374054815015003,2,1498374054815,20.278767,1,1498,1.2951165,18.45018,17.735336,18.3321,0.06525047,0.028974583,0.03377894,0.0656,128.7037697,-6.4553549,0.88714284,t17_f5_c3,0.99982786,18.2758,0.0781,362120248.0,True,True,False,correction_0.0.1,0.0
12,ztf,59254.2711920999,1500271196115015005,2,1500271196115,20.412813,1,1500,0.9470418,18.52906,17.759829,18.5433,0.08434709,0.03594056,0.041531514,0.0677,128.7038392,-6.4553365,0.9242857,t17_f5_c3,0.999853,18.5757,0.087,363120261.0,True,True,False,correction_0.0.1,0.0
13,ztf,59254.27318290016,1500273186115015013,1,1500273186115,20.634182,1,1500,1.2115619,18.631775,17.95497,18.5735,0.06358646,0.030910095,0.034091193,0.0572,128.7038057,-6.4553363,0.92714286,t17_f5_c3,0.9999988,18.5281,0.0682,363120161.0,True,True,False,correction_0.0.1,0.0
14,ztf,59254.27364580007,1500273644815015010,1,1500273644815,20.461687,1,1500,1.57492,18.7004,,18.5337,0.09889796,,,0.0638,128.7037121,-6.4553479,0.74857146,t17_f5_c3,0.99983937,18.506,0.0778,362120148.0,True,False,True,correction_0.0.1,0.0
15,ztf,59256.233900499996,1502233904815015011,2,1502233904815,20.222906,1,1502,1.2900289,18.58316,17.802143,18.8193,0.07631104,0.03225768,0.037168935,0.1023,128.7037742,-6.455333,0.8642857,t17_f5_c3,0.9999591,18.6549,0.1111,362120248.0,True,True,False,correction_0.0.1,0.0
16,ztf,59256.29299770016,1502292994815015010,1,1502292994815,20.26817,1,1502,1.4164023,18.755297,,18.5461,0.09245732,,,0.0737,128.7037578,-6.4553449,0.7828571,t17_f5_c3,0.9992948,18.5295,0.0915,362120148.0,True,False,True,correction_0.0.1,0.0
17,ztf,59256.2939352002,1502293936115015008,1,1502293936115,20.362392,1,1502,1.1447829,18.677052,17.979008,18.7186,0.07342861,0.035696484,0.038605396,0.0776,128.7038252,-6.455344,0.9257143,t17_f5_c3,0.9999524,18.7033,0.0961,363120161.0,True,True,False,correction_0.0.1,0.0
18,ztf,59256.345104199834,1502345106115015004,2,1502345106115,20.152765,1,1502,0.9702384,18.565645,17.777689,18.451,0.093578525,0.040043406,0.04528912,0.0737,128.7038346,-6.4553339,0.7942857,t17_f5_c3,0.9999426,18.4359,0.0916,363120261.0,True,True,False,correction_0.0.1,0.0
19,ztf,59260.271284699906,1506271286115015007,2,1506271286115,19.580368,1,1506,1.0129668,18.69999,17.840635,18.7055,0.14904183,0.06371116,0.06754091,0.1413,128.703819,-6.4553604,0.82857144,t17_f5_c3,0.999595,18.6533,0.1716,363120261.0,True,True,False,correction_0.0.1,0.0
20,ztf,59260.30185189983,1506301856115015006,1,1506301856115,19.336597,1,1506,1.3267546,19.002365,18.137875,19.1579,0.15524141,0.067918636,0.07001827,0.3042,128.7037779,-6.4553157,0.8757143,t17_f5_c3,0.9997283,19.2103,0.4083,363120161.0,True,True,False,correction_0.0.1,0.0
21,ztf,59260.30280089984,1506302804815015003,1,1506302804815,19.255388,1,1506,1.4416598,18.890135,,18.5613,0.19024968,,,0.1827,128.7037506,-6.4554295,0.65,t17_f5_c3,0.99970615,18.373,0.1968,362120148.0,True,False,True,correction_0.0.1,0.0
22,ztf,59263.23240739992,1509232404815015001,2,1509232404815,19.152777,1,1509,1.4321539,18.769436,,19.0214,0.19736053,,,0.1828,128.703748,-6.4552637,0.44428572,t17_f5_c3,0.9999298,19.0055,0.2303,362120248.0,True,False,True,correction_0.0.1,0.0
23,ztf,59263.23626160016,1509236266115015003,2,1509236266115,19.3873,1,1509,1.51191,18.899,,18.8917,0.223554,,,0.1259,128.7037133,-6.4552102,0.215714,t17_f5_c3,,18.8152,0.1492,,False,False,True,correction_0.0.1,0.0
24,ztf,59263.26236109994,1509262366115015013,1,1509262366115,19.2984,1,1509,1.55363,19.1624,,19.1775,0.244218,,,0.1406,128.7037142,-6.4554944,0.261429,t17_f5_c3,,19.1075,0.1679,,False,False,True,correction_0.0.1,0.0
25,ztf,59263.27311340021,1509273114815015005,1,1509273114815,19.5116,1,1509,1.27479,18.8939,18.118643,19.0055,0.171558,0.08108874,0.08400562,0.1307,128.7037963,-6.4554114,0.372857,t17_f5_c3,,18.9917,0.1641,,False,True,False,correction_0.0.1,0.0
26,ztf,59265.27350689983,1511273504815015002,2,1511273504815,19.978941,1,1511,1.2770487,19.050325,18.004858,19.3596,0.14112902,0.049068857,0.053880226,0.2041,128.7037718,-6.4553871,0.7614286,t17_f5_c3,0.9999988,19.234,0.2316,362120248.0,True,True,False,correction_0.0.1,0.0
27,ztf,59265.274455999956,1511274456115015003,2,1511274456115,20.08366,1,1511,1.063968,18.93106,17.939308,18.8016,0.115946755,0.039502352,0.04651121,0.1098,128.7038033,-6.4553571,0.9028571,t17_f5_c3,0.99998796,18.7974,0.1387,363120261.0,True,True,False,correction_0.0.1,0.0
28,ztf,59265.395439799875,1511395436115015007,1,1511395436115,19.78684,1,1511,0.9695991,19.475607,18.326334,19.2594,0.1871981,0.0617166,0.064951956,0.1718,128.7038703,-6.4553703,0.48857144,t17_f5_c3,0.9747425,19.2036,0.208,363120161.0,True,True,False,correction_0.0.1,0.0
29,ztf,59267.23241900001,1513232414815015011,1,1513232414815,19.6325,1,1513,1.13347,19.5741,18.399536,19.646,0.292927,0.095141366,0.0992965,0.3312,128.7038366,-6.455413,0.494286,t17_f5_c3,,19.7098,0.4499,,False,True,False,correction_0.0.1,0.0
30,ztf,59267.25432869978,1513254326115015008,1,1513254326115,19.58851,1,1513,1.0252334,19.277742,18.253525,19.2573,0.16083479,0.05968683,0.06261707,0.226,128.7038527,-6.4553813,0.8442857,t17_f5_c3,0.99799216,19.2404,0.2845,363120161.0,True,True,False,correction_0.0.1,0.0
31,ztf,59267.29533560015,1513295334815015004,2,1513295334815,19.646322,1,1513,1.3916883,19.321827,18.100674,19.2423,0.18679856,0.055577558,0.0606614,0.2412,128.7037455,-6.4553143,0.77,t17_f5_c3,0.99820065,19.5866,0.4229,362120248.0,True,True,False,correction_0.0.1,0.0
32,ztf,59269.23122690013,1515231224815015003,1,1515231224815,19.4346,1,1515,1.03432,19.5,18.373848,19.2163,0.231059,0.07704776,0.08189585,0.3067,128.703864,-6.4553683,0.68,t17_f5_c3,,19.9644,0.7828,,False,True,False,correction_0.0.1,0.0
33,ztf,59269.2529397998,1515252936115015006,1,1515252936115,19.417702,1,1515,1.1097502,19.53686,18.347197,19.2362,0.2054542,0.06550954,0.06868315,0.3112,128.703856,-6.4552703,0.73714286,t17_f5_c3,0.99169266,18.7766,0.2616,363120161.0,True,True,False,correction_0.0.1,0.0
34,ztf,59269.29451389983,1515294514815015003,2,1515294514815,19.4314,1,1515,1.24771,19.4056,18.127176,19.1456,0.257224,0.07522239,0.0792396,0.2985,128.703787,-6.4553142,0.617143,t17_f5_c3,,19.4881,0.5242,,False,True,False,correction_0.0.1,0.0
35,ztf,59271.25400459999,1517254004815015004,2,1517254004815,19.0397,1,1517,0.912061,19.2848,18.08851,19.5962,0.226751,0.071403645,0.07534141,0.5515,128.7038985,-6.4552753,0.815714,t17_f5_c3,,19.8331,0.8798,,False,True,False,correction_0.0.1,0.0
36,ztf,59273.23318290012,1519233184815015004,2,1519233184815,18.7596,1,1519,1.00627,19.1711,18.049397,19.6188,0.273546,0.09455109,0.09735289,0.6078,128.7038617,-6.4554663,0.615714,t17_f5_c3,,19.1657,0.5142,,False,True,False,correction_0.0.1,0.0
37,ztf,59275.16928240005,1521169284815015008,1,1521169284815,19.9967,1,1521,1.7382,20.0803,,19.8733,0.292879,,,0.2819,128.7036687,-6.455281,0.47,t17_f5_c3,,19.6137,0.2833,,False,False,True,correction_0.0.1,0.0
38,ztf,59275.25578700006,1521255784815015005,2,1521255784815,19.580359,1,1521,1.0340767,19.300465,18.09369,19.8018,0.19563638,0.059675697,0.06437839,0.4103,128.7038388,-6.4553959,0.73285717,t17_f5_c3,0.9999323,19.3699,0.3529,362120248.0,True,True,False,correction_0.0.1,0.0
39,ztf,59275.27350689983,1521273506115015003,2,1521273506115,19.71449,1,1521,0.9628243,19.442547,18.11666,19.1177,0.2153202,0.05653002,0.06349353,0.2023,128.7038325,-6.4553596,0.59,t17_f5_c3,0.9923717,18.8018,0.1933,363120261.0,True,True,False,correction_0.0.1,0.0
40,ztf,59278.168553200085,1524168554815015004,2,1524168554815,19.794909,1,1524,1.5958517,19.462168,,19.3243,0.15335873,,,0.2079,128.703692,-6.4552957,0.59,t17_f5_c3,0.9973937,19.3685,0.2759,362120248.0,True,False,True,correction_0.0.1,0.0
