,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59248.29049770022,1494290494415015014,1,1494290494415,20.5217,1,1494,0.528258,20.5261,20.284176,20.344,0.242464,0.19148283,0.19403373,0.2994,132.8498219,-1.3438439,0.498571,t17_f5_c3,20.1819,0.3308,False,True,False,correction_0.0.1,0.0,,
1,ztf,59250.29422450019,1496294224415015011,1,1496294224415,20.2417,1,1496,1.0125,20.1906,20.00791,20.7164,0.245217,0.20580928,0.20724057,0.4121,132.8498995,-1.3436931,0.442857,t17_f5_c3,20.2264,0.3369,False,True,False,correction_0.0.1,0.0,,
2,ztf,59250.33549770014,1496335494415015010,2,1496335494415,20.2049,1,1496,0.859295,20.5513,19.927847,20.802,0.296685,0.16533947,0.16707617,0.5169,132.8499721,-1.3437995,0.524286,t17_f5_c3,20.8941,0.7218,False,True,False,correction_0.0.1,0.0,,
3,ztf,59252.27259259997,1498272594415015013,1,1498272594415,20.66281,1,1498,0.599577,20.235956,20.046118,20.2918,0.17324375,0.14325574,0.14545275,0.2538,132.8497793,-1.343735,0.76285714,t17_f5_c3,20.1788,0.2926,True,True,False,correction_0.0.1,0.0,0.9990694,415120144.0
4,ztf,59252.29503470007,1498295034415015028,2,1498295034415,20.6353,1,1498,0.382924,20.5616,19.933636,20.0293,0.31056,0.17248131,0.17416456,0.2245,132.8496968,-1.3438859,0.361429,t17_f5_c3,20.0582,0.295,False,True,False,correction_0.0.1,0.0,,
5,ztf,59254.27693289984,1500276934415015025,1,1500276934415,20.925777,1,1500,0.5401932,20.20376,20.019022,20.1975,0.16236876,0.13474342,0.13696425,0.1915,132.8498228,-1.3438291,0.7242857,t17_f5_c3,20.3001,0.2682,True,True,False,correction_0.0.1,0.0,0.9999943,415120144.0
6,ztf,59254.37853009999,1500378534415015024,2,1500378534415,20.687,1,1500,0.4208,20.7255,20.02249,20.7104,0.251047,0.12874453,0.13138647,0.3963,132.8498381,-1.3438268,0.781429,t17_f5_c3,20.8928,0.6002,False,True,False,correction_0.0.1,0.0,,
7,ztf,59256.294398100115,1502294394415015018,1,1502294394415,20.721365,1,1502,0.362501,20.132132,19.958294,20.8047,0.17354457,0.1460327,0.14786853,0.399,132.8497588,-1.3438102,0.7757143,t17_f5_c3,20.282,0.3161,True,True,False,correction_0.0.1,0.0,0.99991035,415120144.0
8,ztf,59260.37010420021,1506370104415015015,1,1506370104415,20.160757,1,1506,0.57763636,20.040766,19.87997,20.4976,0.20013435,0.17122665,0.17258513,0.4879,132.8498285,-1.3438206,0.82857144,t17_f5_c3,20.4166,0.581,True,True,False,correction_0.0.1,0.0,0.99998844,415120144.0
9,ztf,59265.27491899999,1511274914415015016,2,1511274914415,20.3483,1,1511,0.484073,20.2047,19.719288,19.9778,0.249669,0.15842529,0.15966126,0.2732,132.8498494,-1.3437229,0.502857,t17_f5_c3,19.9409,0.3388,False,True,False,correction_0.0.1,0.0,,
10,ztf,59265.39497689996,1511394974415015005,1,1511394974415,20.227692,1,1511,0.32534435,20.096905,19.928207,19.9368,0.18266134,0.15473428,0.15637507,0.2524,132.84973,-1.3437954,0.56285715,t17_f5_c3,19.5899,0.2354,True,True,False,correction_0.0.1,0.0,0.9997263,415120144.0
11,ztf,59267.27465280006,1513274654415015015,1,1513274654415,19.6877,1,1513,0.827557,20.046,19.884481,20.6234,0.307155,0.26380682,0.26469794,0.7212,132.8499018,-1.3438144,0.485714,t17_f5_c3,20.4023,0.7561,False,True,False,correction_0.0.1,0.0,,
