,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid
0,ztf,59268.22508100001,1514225081015015003,1,1514225081015,19.6058,1,1514,0.840464,19.6542,19.03775,19.6534,0.229535,0.12842506,0.13009764,0.391,158.8283084,-13.0053863,0.765714,t17_f5_c3,19.3955,0.3961,False,True,False,correction_0.0.1,0.0,,
1,ztf,59268.336064800154,1514336061015015004,2,1514336061015,19.876022,1,1514,0.9731551,19.60008,18.742863,19.4929,0.15408845,0.040114064,0.06996534,0.2819,158.8282936,-13.0054409,0.91714287,t17_f5_c3,19.4132,0.3357,True,True,False,correction_0.0.1,0.0,0.99963474,367120210.0
2,ztf,59270.289236099925,1516289231015015004,1,1516289231015,18.997404,1,1516,0.98449135,18.63259,18.349161,18.4292,0.13439104,0.10292488,0.10351402,0.1875,158.8283471,-13.005399,0.7714286,t17_f5_c3,18.3308,0.2198,True,True,False,correction_0.0.1,0.0,0.9980376,367120110.0
3,ztf,59270.336342600174,1516336341015015007,2,1516336341015,19.185541,1,1516,0.99704105,18.602913,18.17732,18.6529,0.104601644,0.06193844,0.0706808,0.22,158.8283316,-13.005421,0.9457143,t17_f5_c3,18.634,0.2774,True,True,False,correction_0.0.1,0.0,0.99999726,367120210.0
4,ztf,59272.314421299845,1518314421015015001,2,1518314421015,18.691053,1,1518,1.0506163,17.86691,17.630167,17.9356,0.09809671,0.076148495,0.07887814,0.1718,158.8282927,-13.0054657,0.8428571,t17_f5_c3,17.923,0.2179,True,True,False,correction_0.0.1,0.0,0.99988866,367120210.0
5,ztf,59272.39609949989,1518396091015015003,1,1518396091015,18.48258,1,1518,0.7788271,17.698694,17.56965,17.5739,0.10644108,0.09435983,0.09451302,0.1409,158.8282814,-13.0054166,0.64857143,t17_f5_c3,17.4354,0.1593,True,True,False,correction_0.0.1,0.0,0.99997807,367120110.0
6,ztf,59274.23315969994,1520233151015015002,1,1520233151015,18.3565,1,1520,0.857817,17.1853,17.103096,17.2144,0.092879,0.08603522,0.08610639,0.0689,158.8282442,-13.0055044,0.337143,t17_f5_c3,17.1368,0.0822,False,True,False,correction_0.0.1,0.0,,
7,ztf,59274.35613430012,1520356131015015002,2,1520356131015,18.769966,1,1520,1.0406383,17.284473,17.139841,17.2056,0.0674453,0.057562668,0.059033517,0.0606,158.8283059,-13.0054569,0.56285715,t17_f5_c3,17.2102,0.0779,True,True,False,correction_0.0.1,0.0,0.99990714,367120210.0
8,ztf,59276.23069440015,1522230691015015006,1,1522230691015,20.130459,1,1522,0.7828886,16.860165,16.798643,16.8699,0.03785714,0.0356738,0.035771664,0.0182,158.8282727,-13.0054327,0.8685714,t17_f5_c3,16.8632,0.0223,True,True,False,correction_0.0.1,0.0,0.9999997,367120110.0
9,ztf,59276.3361343001,1522336131015015003,2,1522336131015,19.497677,1,1522,1.033286,16.932318,16.825857,16.9377,0.031129055,0.026462888,0.028221624,0.0324,158.8283029,-13.0054507,0.91571426,t17_f5_c3,16.9036,0.0397,True,True,False,correction_0.0.1,0.0,0.9999997,367120210.0
10,ztf,59280.232476899866,1526232471015025004,1,1526232471015,20.2892,1,1526,0.838944,16.4734,16.429953,16.494,0.031223,0.029939076,0.029998224,0.0115,158.8282881,-13.005438,0.834286,t17_f5_c3,16.4843,0.0137,False,True,False,correction_0.0.1,0.0,,
11,ztf,59280.232476899866,1526232471015015004,1,1526232471015,20.289188,1,1526,0.8389438,16.473385,16.429937,16.494,0.031223105,0.029939197,0.029998343,0.0115,158.8282881,-13.005438,0.83428574,t17_f5_c3,16.4843,0.0137,True,True,False,correction_0.0.1,0.0,0.99999654,367120110.0
12,ztf,59280.288391199894,1526288391015025011,2,1526288391015,20.3459,1,1526,0.984606,16.5997,16.520334,16.6157,0.027924,0.02487791,0.025955606,0.0146,158.8282954,-13.0054433,0.915714,t17_f5_c3,16.6067,0.0176,False,True,False,correction_0.0.1,0.0,,
13,ztf,59280.288391199894,1526288391015015011,2,1526288391015,20.345861,1,1526,0.98460597,16.599651,16.520288,16.6157,0.027923785,0.024877883,0.02595549,0.0146,158.8282954,-13.0054433,0.91571426,t17_f5_c3,16.6067,0.0176,True,True,False,correction_0.0.1,0.0,1.0,367120210.0
14,ztf,59290.25335650006,1536253351015015002,2,1536253351015,20.126947,1,1536,0.9852589,16.46204,16.391827,16.4749,0.02951904,0.026877876,0.027670482,0.0153,158.8282878,-13.0054479,0.9057143,t17_f5_c3,16.4584,0.0185,True,True,False,correction_0.0.1,0.0,0.9999994,367120210.0
15,ztf,59290.29423609981,1536294231015015002,1,1536294231015,20.310156,1,1536,0.86053413,16.48839,16.444351,16.5229,0.03528652,0.033830106,0.03388387,0.0123,158.828291,-13.0054441,0.87,t17_f5_c3,16.5246,0.0149,True,True,False,correction_0.0.1,0.0,0.99999905,367120110.0
