,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid
0,ztf,59400.301631900016,1646301630015015000,1,1646301630015,20.5735,1,1646,3.15093,20.6905,20.3806,0.274936,0.2982,265.3429528,38.4275477,0.514286,t17_f5_c3,20.5199,0.4324,False,False,False,correction_0.0.1,0.0,,,
1,ztf,59400.34945600014,1646349450015015001,2,1646349450015,20.5815,1,1646,2.76608,20.8046,20.4736,0.268287,0.3634,265.3428649,38.4274753,0.441429,t17_f5_c3,20.4691,0.4628,False,False,False,correction_0.0.1,0.0,,,
2,ztf,59401.346249999944,1647346251315015001,2,1647346251315,20.298,1,1647,3.18089,20.5305,21.1409,0.277367,0.7144,265.3429861,38.4273834,0.442857,t17_f5_c3,20.7505,0.639,False,False,False,correction_0.0.1,0.0,,,
3,ztf,59401.36946759978,1647369461315015001,1,1647369461315,20.624144,1,1647,3.0285344,20.079187,20.1079,0.16951549,0.2176,265.3429353,38.4274741,0.80714285,t17_f5_c3,20.1684,0.2932,True,False,False,correction_0.0.1,0.0,0.9999769,725120113.0,
4,ztf,59402.262557900045,1648262550015015000,2,1648262550015,20.46357,1,1648,2.926503,19.956581,19.8955,0.16431236,0.223,265.3429191,38.4274826,0.82,t17_f5_c3,19.9129,0.2889,True,False,False,correction_0.0.1,0.0,0.99780273,724120200.0,
5,ztf,59402.30101849977,1648301010015015002,1,1648301010015,20.587345,1,1648,3.2461119,19.825148,19.7731,0.1493818,0.1693,265.3429636,38.4274404,0.80714285,t17_f5_c3,19.6239,0.1881,True,False,False,correction_0.0.1,0.0,0.9999498,724120100.0,
6,ztf,59403.32311340002,1649323111315015000,2,1649323111315,20.55184,1,1649,3.266153,19.508917,19.7659,0.12551188,0.1995,265.3429965,38.4274369,0.8357143,t17_f5_c3,19.9534,0.3021,True,False,False,correction_0.0.1,0.0,0.99998194,725120213.0,
7,ztf,59403.36969910003,1649369691315015000,1,1649369691315,20.52711,1,1649,3.1624563,19.340769,19.3409,0.10843608,0.1349,265.3429747,38.4274322,0.89857143,t17_f5_c3,19.2338,0.1557,True,False,False,correction_0.0.1,0.0,0.99999124,725120113.0,
8,ztf,59404.29942130018,1650299420015015002,2,1650299420015,20.435184,1,1650,3.0194776,19.309448,19.2639,0.09351845,0.1343,265.3429456,38.4274404,0.9357143,t17_f5_c3,19.1346,0.1518,True,False,False,correction_0.0.1,0.0,0.99927294,724120200.0,
9,ztf,59404.35209489986,1650352090015015000,1,1650352090015,20.473568,1,1650,3.1918225,19.116383,19.1671,0.100343004,0.1154,265.3429471,38.4274557,0.9442857,t17_f5_c3,19.2361,0.156,True,False,False,correction_0.0.1,0.0,0.9999987,724120100.0,
10,ztf,59405.32465279987,1651324651315015002,1,1651324651315,20.685091,1,1651,3.098457,18.929735,18.966,0.08105032,0.083,265.3429545,38.4274428,0.9342857,t17_f5_c3,19.036,0.1117,True,False,False,correction_0.0.1,0.0,0.9999932,725120113.0,
11,ztf,59406.223715300206,1652223710015015000,1,1652223710015,20.504068,1,1652,3.1247997,18.819754,18.7867,0.07888454,0.0777,265.3429252,38.4274602,0.9442857,t17_f5_c3,18.8029,0.0996,True,False,False,correction_0.0.1,0.0,0.99999994,724120100.0,
12,ztf,59406.257013900205,1652257010015015001,2,1652257010015,20.471827,1,1652,3.0196552,19.006638,18.9358,0.12264548,0.0989,265.3429436,38.4274322,0.9357143,t17_f5_c3,19.0151,0.1348,True,False,False,correction_0.0.1,0.0,0.99967504,724120200.0,
13,ztf,59407.310034700204,1653310031315015000,2,1653310031315,20.460245,1,1653,3.2789235,18.872942,18.954,0.08100934,0.1047,265.3429816,38.427428,0.9114286,t17_f5_c3,18.9377,0.131,True,False,False,correction_0.0.1,0.0,0.9999663,725120213.0,
14,ztf,59408.24300929997,1654243000015015000,2,1654243000015,20.31767,1,1654,3.0182621,18.731222,18.844,0.0743393,0.1089,265.3429404,38.4274251,0.94714284,t17_f5_c3,18.8738,0.1424,True,False,False,correction_0.0.1,0.0,0.9998448,724120200.0,
15,ztf,59408.34577549994,1654345770015015001,1,1654345770015,20.312847,1,1654,3.2228017,18.574701,18.6739,0.08475735,0.0889,265.3429534,38.427442,0.9514286,t17_f5_c3,18.6243,0.1076,True,False,False,correction_0.0.1,0.0,0.99997103,724120100.0,
16,ztf,59409.29084490007,1655290841315015002,2,1655290841315,20.533773,1,1655,3.22769,18.691317,18.5693,0.084845014,0.071,265.3429558,38.4274363,0.9114286,t17_f5_c3,18.7088,0.1018,True,False,False,correction_0.0.1,0.0,1.0,725120213.0,
17,ztf,59409.3210880002,1655321081315015000,1,1655321081315,20.655231,1,1655,3.093746,18.461353,18.3889,0.07343546,0.0521,265.3429516,38.4274377,0.94285715,t17_f5_c3,18.4634,0.0697,True,False,False,correction_0.0.1,0.0,1.0,725120113.0,
18,ztf,59410.24030089984,1656240300015015001,2,1656240300015,20.379885,1,1656,3.033193,18.593302,18.6756,0.076305896,0.0918,265.3429529,38.4274552,0.8971428,t17_f5_c3,18.8417,0.1355,True,False,False,correction_0.0.1,0.0,0.959393,724120200.0,
19,ztf,59410.349490699824,1656349490015015000,1,1656349490015,20.449266,1,1656,3.2418492,18.402018,18.3951,0.07222167,0.065,265.3429618,38.427448,0.95428574,t17_f5_c3,18.3958,0.082,True,False,False,correction_0.0.1,0.0,0.99998844,724120100.0,
20,ztf,59411.26245369995,1657262451315015000,2,1657262451315,20.37441,1,1657,3.1895382,18.50937,18.553,0.09745154,0.0807,265.3429363,38.427423,0.9071429,t17_f5_c3,18.5924,0.106,True,False,False,correction_0.0.1,0.0,0.9999802,725120213.0,
21,ztf,59411.30902779987,1657309021315015005,1,1657309021315,20.592773,1,1657,3.0981402,18.31012,18.2636,0.06710131,0.051,265.3429547,38.4274478,0.93714285,t17_f5_c3,18.2619,0.0637,True,False,False,correction_0.0.1,0.0,0.9999999,725120113.0,
22,ztf,59412.32418979984,1658324180015015000,1,1658324180015,20.5761,1,1658,3.2096226,18.274767,18.1952,0.067806035,0.0489,265.3429479,38.4274417,0.94857144,t17_f5_c3,18.1962,0.0613,True,False,False,correction_0.0.1,0.0,0.9999909,724120100.0,
23,ztf,59412.37156250002,1658371560015015000,2,1658371560015,20.101313,1,1658,3.0343463,18.459576,18.3817,0.07396446,0.0881,265.3429504,38.4274371,0.93714285,t17_f5_c3,18.2909,0.1032,True,False,False,correction_0.0.1,0.0,0.99991786,724120200.0,
24,ztf,59414.29112270009,1660291121315015001,2,1660291121315,20.206467,1,1660,3.1412723,18.451923,18.4431,0.070923366,0.0833,265.3429278,38.4274472,0.91,t17_f5_c3,18.4546,0.1071,True,False,False,correction_0.0.1,0.0,0.99988127,725120213.0,
25,ztf,59414.38624999998,1660386251315015002,1,1660386251315,20.516563,1,1660,3.1091435,18.282848,18.3244,0.06883069,0.0541,265.3429542,38.4274561,0.94285715,t17_f5_c3,18.3455,0.0695,True,False,False,correction_0.0.1,0.0,0.9999994,725120113.0,
26,ztf,59415.20434030006,1661204340015075000,2,1661204340015,19.9921,1,1661,3.01748,18.3414,18.2743,0.064623,0.0837,265.3429407,38.4274293,0.932857,t17_f5_c3,18.2332,0.1029,False,False,False,correction_1.0.6,0.0,,,1.675247701315015e+18
27,ztf,59415.20434030006,1661204340015015000,2,1661204340015,19.992132,1,1661,3.0174835,18.341396,18.2743,0.06462282,0.0837,265.3429407,38.4274293,0.93285716,t17_f5_c3,18.2332,0.1029,True,False,False,correction_0.0.1,0.0,0.9999831,724120200.0,
28,ztf,59415.20434030006,1661204340015065000,2,1661204340015,19.9921,1,1661,3.01748,18.3414,18.2743,0.064623,0.0837,265.3429407,38.4274293,0.932857,t17_f5_c3,18.2332,0.1029,False,False,False,correction_1.0.6,0.0,,,1.671255370015015e+18
29,ztf,59415.281076400075,1661281070015075000,1,1661281070015,19.8167,1,1661,3.1787,18.2671,18.2587,0.06732,0.0915,265.3429394,38.4274462,0.957143,t17_f5_c3,18.21,0.1117,False,False,False,correction_1.0.6,0.0,,,1.675247701315015e+18
30,ztf,59415.281076400075,1661281070015015000,1,1661281070015,19.816656,1,1661,3.1786969,18.267097,18.2587,0.0673197,0.0915,265.3429394,38.4274462,0.95714283,t17_f5_c3,18.21,0.1117,True,False,False,correction_0.0.1,0.0,0.9999998,724120100.0,
31,ztf,59415.281076400075,1661281070015065000,1,1661281070015,19.8167,1,1661,3.1787,18.2671,18.2587,0.06732,0.0915,265.3429394,38.4274462,0.957143,t17_f5_c3,18.21,0.1117,False,False,False,correction_1.0.6,0.0,,,1.671255370015015e+18
32,ztf,59418.319085599855,1664319080015015003,1,1664319080015,18.63648,1,1664,3.2420588,18.32541,18.105,0.14791453,0.2685,265.3429635,38.4274477,0.72571427,t17_f5_c3,18.1121,0.347,True,False,False,correction_1.0.6,0.0,0.99763036,724120100.0,
33,ztf,59419.34672449995,1665346721315015014,1,1665346721315,18.371204,1,1665,3.118927,18.234623,18.462,0.15143868,0.3813,265.3429567,38.4274222,0.64,t17_f5_c3,18.2697,0.4101,True,False,False,correction_1.0.6,0.0,0.9514054,725120113.0,
34,ztf,59423.24016200006,1669240161315015001,2,1669240161315,20.4023,1,1669,3.19141,18.4168,18.4558,0.079895,0.0662,265.3429429,38.4274341,0.934286,t17_f5_c3,18.4266,0.0815,False,False,False,correction_1.0.6,0.0,,,1.669241130015015e+18
35,ztf,59423.2411342999,1669241130015015001,2,1669241130015,20.303616,1,1669,2.9507942,18.392708,18.3904,0.06847854,0.0659,265.3429262,38.4274529,0.9457143,t17_f5_c3,18.3777,0.0824,True,False,False,correction_1.0.6,0.0,0.99999976,724120200.0,
36,ztf,59423.32746529998,1669327460015015000,1,1669327460015,19.786047,1,1669,3.245485,18.44107,18.4332,0.07516611,0.1129,265.3429619,38.427444,0.9357143,t17_f5_c3,18.3722,0.1365,True,False,False,correction_1.0.6,0.0,0.9999976,724120100.0,
37,ztf,59423.34173610015,1669341731315015000,1,1669341731315,19.139078,1,1669,2.9787292,18.437462,18.4818,0.11766841,0.2186,265.3429056,38.4274263,0.8742857,t17_f5_c3,18.4675,0.2766,True,False,False,correction_1.0.6,0.0,0.9999758,725120113.0,
38,ztf,59425.255370399915,1671255370015015002,1,1671255370015,20.79658,1,1671,3.2001297,18.579851,18.5661,0.062233347,0.0533,265.3429416,38.4274307,0.93,t17_f5_c3,18.5596,0.0663,True,False,False,correction_1.0.6,0.0,0.99989283,724120100.0,
39,ztf,59425.26281249989,1671262811315015002,1,1671262811315,20.717508,1,1671,3.0504644,18.566032,18.6139,0.0690119,0.0599,265.3429294,38.4274399,0.94857144,t17_f5_c3,18.6384,0.077,True,False,False,correction_1.0.6,0.0,0.9999999,725120113.0,
40,ztf,59427.221874999814,1673221870015015000,2,1673221870015,20.425274,1,1673,2.9338715,18.61247,18.4904,0.06526655,0.0662,265.3429107,38.4274216,0.9257143,t17_f5_c3,18.4426,0.0801,True,False,False,correction_1.0.6,0.0,0.999999,724120200.0,
41,ztf,59427.27680560015,1673276800015015001,1,1673276800015,20.638838,1,1673,3.2220292,18.700298,18.7857,0.07479812,0.0694,265.3429536,38.427444,0.96428573,t17_f5_c3,18.8065,0.0892,True,False,False,correction_1.0.6,0.0,0.9999994,724120100.0,
42,ztf,59427.277280100156,1673277281315015001,1,1673277281315,20.595098,1,1673,3.1620643,18.762478,18.6844,0.08174403,0.0665,265.3429733,38.4274466,0.94714284,t17_f5_c3,18.6113,0.0785,True,False,False,correction_1.0.6,0.0,0.9999994,725120113.0,
43,ztf,59427.35126159992,1673351261315015000,2,1673351261315,20.244957,1,1673,3.1029136,18.633732,18.7049,0.07900428,0.0977,265.3429111,38.4274271,0.93,t17_f5_c3,18.7462,0.1292,True,False,False,correction_1.0.6,0.0,0.99996805,725120213.0,
44,ztf,59429.24770830013,1675247701315015000,2,1675247701315,20.50647,1,1675,3.2267392,18.742577,18.7211,0.08790087,0.0769,265.3429561,38.4274215,0.9,t17_f5_c3,18.6613,0.0921,True,False,False,correction_1.0.6,0.0,0.99998164,725120213.0,
45,ztf,59429.24817130016,1675248170015015000,2,1675248170015,20.589802,1,1675,3.0046523,18.70953,18.771,0.08216827,0.0797,265.3429422,38.4274466,0.94714284,t17_f5_c3,18.7185,0.096,True,False,False,correction_1.0.6,0.0,0.9997158,724120200.0,
46,ztf,59429.28703700006,1675287031315015001,1,1675287031315,20.506102,1,1675,3.175976,18.936928,18.997,0.09420864,0.0915,265.3429866,38.427463,0.9142857,t17_f5_c3,18.9898,0.1152,True,False,False,correction_1.0.6,0.0,0.9999995,725120113.0,
47,ztf,59429.30665510008,1675306650015015000,1,1675306650015,20.662535,1,1675,3.2151783,18.922466,18.9121,0.08218732,0.0836,265.3429502,38.4274431,0.9514286,t17_f5_c3,18.9766,0.1119,True,False,False,correction_1.0.6,0.0,0.9999998,724120100.0,
48,ztf,59434.20111110015,1680201110015015000,2,1680201110015,20.56645,1,1680,2.9437456,18.887365,18.8876,0.07997302,0.0886,265.342914,38.4274323,0.94857144,t17_f5_c3,18.818,0.1054,True,False,False,correction_1.0.6,0.0,0.9999858,724120200.0,
49,ztf,59434.202997699846,1680202991315015002,2,1680202991315,20.645332,1,1680,3.1609893,18.893103,18.9123,0.086016536,0.0873,265.3429299,38.427432,0.9285714,t17_f5_c3,18.9275,0.1121,True,False,False,correction_1.0.6,0.0,0.9982562,725120213.0,
50,ztf,59434.243553199805,1680243551315015004,1,1680243551315,20.80888,1,1680,3.1147418,19.425053,19.4076,0.12955007,0.1127,265.3429613,38.4274501,0.87285715,t17_f5_c3,19.4534,0.1488,True,False,False,correction_1.0.6,0.0,0.9999728,725120113.0,
51,ztf,59434.24402779993,1680244020015015001,1,1680244020015,20.740154,1,1680,3.2894783,19.424118,19.3208,0.09933694,0.1106,265.3429781,38.4274449,0.9285714,t17_f5_c3,19.4326,0.1551,True,False,False,correction_1.0.6,0.0,0.99999994,724120100.0,
52,ztf,59436.22164350003,1682221641315015000,2,1682221641315,20.586737,1,1682,3.274132,19.015957,19.0624,0.08217789,0.107,265.3429698,38.4274162,0.9342857,t17_f5_c3,19.0446,0.1336,True,False,False,correction_1.0.6,0.0,0.9999999,725120213.0,
53,ztf,59436.22210650006,1682222100015015002,2,1682222100015,20.618605,1,1682,2.9649909,18.964907,19.0154,0.07839117,0.0922,265.3429229,38.4274284,0.94714284,t17_f5_c3,19.1047,0.1267,True,False,False,correction_1.0.6,0.0,0.9861913,724120200.0,
54,ztf,59436.23881939985,1682238810015015001,1,1682238810015,20.657022,1,1682,3.2254117,19.648108,19.7291,0.13316302,0.1638,265.3429554,38.4274481,0.86285716,t17_f5_c3,19.6399,0.1923,True,False,False,correction_1.0.6,0.0,0.986386,724120100.0,
55,ztf,59436.25660880003,1682256601315015003,1,1682256601315,20.675621,1,1682,3.101764,19.598272,19.6562,0.13393103,0.1557,265.3429577,38.4274613,0.8414286,t17_f5_c3,19.7683,0.2195,True,False,False,correction_1.0.6,0.0,0.9999995,725120113.0,
56,ztf,59439.218854200095,1685218851315015000,2,1685218851315,20.279707,1,1685,3.2561774,19.130152,19.2068,0.10706309,0.1487,265.3429679,38.4274424,0.92285717,t17_f5_c3,19.1428,0.1788,True,False,False,correction_1.0.6,0.0,0.998402,725120213.0,
57,ztf,59439.22515049996,1685225150015015000,2,1685225150015,20.206245,1,1685,3.0067296,19.014566,18.9698,0.095733106,0.1265,265.3429474,38.4274464,0.94857144,t17_f5_c3,19.0458,0.1727,True,False,False,correction_1.0.6,0.0,0.9999944,724120200.0,
58,ztf,59439.25936339982,1685259360015015000,1,1685259360015,20.204103,1,1685,3.251662,19.942743,19.792,0.18090713,0.2338,265.3429577,38.4274169,0.62285715,t17_f5_c3,19.6155,0.2543,True,False,False,correction_1.0.6,0.0,0.9999389,724120100.0,
59,ztf,59439.25983799994,1685259831315015001,1,1685259831315,20.322512,1,1685,2.9605546,19.79247,19.6364,0.1498543,0.1965,265.3428908,38.4274135,0.7657143,t17_f5_c3,19.6239,0.2481,True,False,False,correction_1.0.6,0.0,0.9996605,725120113.0,
60,ztf,59441.19797449978,1687197970015015000,2,1687197970015,20.278057,1,1687,3.0232646,19.084463,19.2464,0.11316313,0.1526,265.3429485,38.4274486,0.9285714,t17_f5_c3,19.3328,0.2111,True,False,False,correction_1.0.6,0.0,0.99999523,724120200.0,
61,ztf,59441.198958300054,1687198951315015000,2,1687198951315,20.230478,1,1687,3.1433043,19.081026,19.1496,0.0962667,0.1563,265.3429234,38.4274433,0.9057143,t17_f5_c3,19.1126,0.193,True,False,False,correction_1.0.6,0.0,0.99978614,725120213.0,
62,ztf,59441.261678200215,1687261671315015001,1,1687261671315,20.395374,1,1687,3.0697148,20.022423,20.1609,0.20043169,0.3166,265.3429531,38.4274713,0.6457143,t17_f5_c3,19.9768,0.3423,True,False,False,correction_1.0.6,0.0,0.99998546,725120113.0,
63,ztf,59443.19590280019,1689195901315015000,1,1689195901315,19.7736,1,1689,2.99614,20.1996,19.9623,0.295815,0.4985,265.3429196,38.4274497,0.392857,t17_f5_c3,19.9784,0.6494,False,False,False,correction_1.0.6,0.0,,,1.693224130015015e+18
64,ztf,59447.224131899886,1693224130015015001,2,1693224130015,19.482674,1,1693,3.1883729,19.196802,19.0498,0.16581868,0.2498,265.3430106,38.4274572,0.8657143,t17_f5_c3,19.3437,0.4203,True,False,False,correction_1.0.6,0.0,0.99846876,724120200.0,
65,ztf,59448.185080999974,1694185081315015001,1,1694185081315,19.6524,1,1694,3.18218,20.1829,19.5951,0.31438,0.3893,265.3429932,38.4274896,0.231429,t17_f5_c3,19.7585,0.5809,False,False,False,correction_1.0.6,0.0,,,1.694244951315015e+18
66,ztf,59448.244953699876,1694244951315015005,2,1694244951315,19.550095,1,1694,3.0891328,19.358288,19.1153,0.17344587,0.2628,265.3429025,38.4274296,0.56285715,t17_f5_c3,19.128,0.3413,True,False,False,correction_1.0.6,0.0,0.999788,725120213.0,
67,ztf,59450.28567129979,1696285670015015001,2,1696285670015,19.2304,1,1696,3.01797,19.6113,20.2009,0.303662,0.9905,265.3429505,38.4274539,0.488571,t17_f5_c3,19.2624,0.5365,False,False,False,correction_1.0.6,0.0,,,1.698200090015015e+18
68,ztf,59452.20009260019,1698200090015015000,2,1698200090015,20.292694,1,1698,2.9331305,19.52872,19.2959,0.16259554,0.1673,265.3429118,38.4274469,0.7757143,t17_f5_c3,19.344,0.2233,True,False,False,correction_1.0.6,0.0,0.999002,724120200.0,
69,ztf,59452.219699100126,1698219691315015013,2,1698219691315,20.366972,1,1698,3.1940315,19.575573,19.469,0.14616494,0.191,265.3429479,38.427451,0.45,t17_f5_c3,19.7893,0.3273,True,False,False,correction_1.0.6,0.0,0.9967581,725120213.0,
70,ztf,59452.28760420019,1698287601315015001,1,1698287601315,20.0014,1,1698,3.17943,20.2452,19.9362,0.341414,0.3836,265.3429998,38.4274995,0.27,t17_f5_c3,20.0116,0.5271,False,False,False,correction_1.0.6,0.0,,,1.700263620015015e+18
71,ztf,59454.19650459988,1700196500015015000,1,1700196500015,20.6687,1,1700,2.95245,21.0345,21.2194,0.362302,0.6512,265.3428337,38.4274019,0.501429,t17_f5_c3,21.0334,0.7028,False,False,False,correction_1.0.6,0.0,,,1.700263620015015e+18
72,ztf,59454.263148100115,1700263141315015000,2,1700263141315,20.320614,1,1700,2.9845092,19.626661,19.9035,0.173685,0.2921,265.3428746,38.4274684,0.68857145,t17_f5_c3,20.0241,0.4178,True,False,False,correction_1.0.6,0.0,0.9996833,725120213.0,
73,ztf,59454.26362269977,1700263620015015000,2,1700263620015,20.181417,1,1700,3.1057737,19.585554,19.6971,0.15675822,0.2614,265.3429866,38.4274392,0.78571427,t17_f5_c3,19.7196,0.3418,True,False,False,correction_1.0.6,0.0,0.9999779,724120200.0,
74,ztf,59458.1771296002,1704177120015015001,1,1704177120015,20.9312,1,1704,3.24307,21.0611,22.0019,0.25367,1.0226,265.3429524,38.4274138,0.474286,t17_f5_c3,21.6612,0.9553,False,False,False,correction_1.0.6,0.0,,,1.704221790015015e+18
75,ztf,59458.18396990001,1704183961315015002,1,1704183961315,20.7596,1,1704,3.05999,20.879,21.5189,0.309654,0.7331,265.3429389,38.4274357,0.531429,t17_f5_c3,21.4619,0.8898,False,False,False,correction_1.0.6,0.0,,,1.704221790015015e+18
76,ztf,59458.221793999895,1704221790015015000,2,1704221790015,20.576513,1,1704,2.9000099,19.722994,19.6214,0.13314804,0.1717,265.3428943,38.4274124,0.8314286,t17_f5_c3,19.7115,0.2375,True,False,False,correction_1.0.6,0.0,0.9999519,724120200.0,
77,ztf,59460.195995400194,1706195991315015002,2,1706195991315,20.586304,1,1706,3.1098726,19.871183,20.3103,0.16878341,0.326,265.3429127,38.4274192,0.67,t17_f5_c3,20.3117,0.4166,True,False,False,correction_1.0.6,0.0,0.9999634,725120213.0,
78,ztf,59460.2204167,1706220410015015000,2,1706220410015,20.499304,1,1706,3.0836003,19.861618,19.8752,0.1618083,0.2316,265.342975,38.4274738,0.8,t17_f5_c3,19.9944,0.3299,True,False,False,correction_1.0.6,0.0,0.9999249,724120200.0,
79,ztf,59462.20026620012,1708200261315015001,2,1708200261315,20.559414,1,1708,3.3059523,19.863203,19.6146,0.16598709,0.1768,265.3429892,38.4274558,0.5442857,t17_f5_c3,19.7075,0.2455,True,False,False,correction_1.0.6,0.0,0.998669,725120213.0,
80,ztf,59462.21614579996,1708216140015015000,2,1708216140015,20.45229,1,1708,2.9866955,19.970463,19.6589,0.16623947,0.1972,265.3429349,38.4274424,0.54,t17_f5_c3,19.8538,0.3012,True,False,False,correction_1.0.6,0.0,0.9999444,724120200.0,
81,ztf,59464.18334490014,1710183341315025001,1,1710183341315,20.7434,1,1710,2.98926,20.8338,20.6534,0.258769,0.3701,265.3429205,38.4274677,0.441429,t17_f5_c3,20.7408,0.5122,False,False,False,correction_1.0.6,0.0,,,1.714219860015015e+18
82,ztf,59464.18334490014,1710183341315015001,1,1710183341315,20.7434,1,1710,2.98926,20.8338,20.6534,0.258769,0.3701,265.3429205,38.4274677,0.441429,t17_f5_c3,20.7408,0.5122,False,False,False,correction_1.0.6,0.0,,,1.710216790015015e+18
83,ztf,59464.21679400001,1710216790015025000,2,1710216790015,20.4309,1,1710,3.00585,20.0435,19.8733,0.167795,0.2462,265.3429469,38.4274573,0.735714,t17_f5_c3,20.136,0.4002,False,False,False,correction_1.0.6,0.0,,,1.714219860015015e+18
84,ztf,59464.21679400001,1710216790015015000,2,1710216790015,20.43089,1,1710,3.00585,20.043491,19.8733,0.16779536,0.2462,265.3429469,38.4274573,0.73571426,t17_f5_c3,20.136,0.4002,True,False,False,correction_1.0.6,0.0,0.99981695,724120200.0,
85,ztf,59466.160439800005,1712160430015015000,2,1712160430015,20.5622,1,1712,3.0211415,19.998592,19.8475,0.15757038,0.2163,265.3429401,38.4274149,0.7228571,t17_f5_c3,19.5919,0.2182,True,False,False,correction_1.0.6,0.0,0.9993283,724120200.0,
