,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid
0,ztf,59403.284247700125,1649284245915015013,1,1649284245915,20.787,1,1649,0.416069,20.5384,18.992048,20.5565,0.238138,0.045445763,0.057317533,0.3198,257.5448092,57.2953546,0.938571,t17_f5_c3,20.6717,0.4509,False,True,False,correction_0.0.1,0.0,,,
1,ztf,59403.30384259997,1649303845915015010,2,1649303845915,20.437983,1,1649,0.35449094,20.42157,18.29665,20.2684,0.21384615,100.0,0.030208774,0.3309,257.5449848,57.2953882,0.9671429,t17_f5_c3,20.1816,0.3871,True,True,False,correction_0.0.1,0.0,0.9996685,796120259.0,
2,ztf,59405.305486099795,1651305485915015022,1,1651305485915,20.670984,1,1651,0.13251403,19.685848,18.717999,20.2125,0.12451933,0.043254074,0.051061876,0.2531,257.5448612,57.2954324,0.9242857,t17_f5_c3,20.1952,0.3161,True,True,False,correction_0.0.1,0.0,0.9999994,796120159.0,
3,ztf,59407.269317099825,1653269315915015034,1,1653269315915,20.653248,1,1653,0.2504289,19.282444,18.53414,19.0641,0.123580515,0.057648458,0.06203373,0.0945,257.5448417,57.2954007,0.8757143,t17_f5_c3,19.055,0.1181,True,True,False,correction_0.0.1,0.0,0.99999994,796120159.0,
4,ztf,59407.312893500086,1653312895915015017,2,1653312895915,20.50554,1,1653,0.19296414,19.41035,18.083189,19.2924,0.13116929,0.015759692,0.038633835,0.1499,257.5449155,57.2954175,0.93285716,t17_f5_c3,19.2363,0.18,True,True,False,correction_0.0.1,0.0,0.99988484,796120259.0,
5,ztf,59409.24451390002,1655244515915015020,1,1655244515915,20.627464,1,1655,0.061338224,19.04013,18.405762,19.1941,0.11294099,0.05958493,0.06296565,0.1063,257.5448679,57.2954598,0.91571426,t17_f5_c3,19.1104,0.1245,True,True,False,correction_0.0.1,0.0,0.9999999,796120159.0,
6,ztf,59409.290358799975,1655290355915015016,2,1655290355915,20.55105,1,1655,0.15167321,19.101082,17.982607,19.1416,0.09512935,0.0109214755,0.03395665,0.1259,257.5448865,57.2954252,0.95,t17_f5_c3,19.004,0.14,True,True,False,correction_0.0.1,0.0,0.9999974,796120259.0,
7,ztf,59411.24414349999,1657244145915015013,2,1657244145915,20.349571,1,1657,0.09851377,18.847439,17.88513,19.0018,0.09124823,0.0234656,0.03760977,0.1342,257.5448433,57.2954471,0.9357143,t17_f5_c3,19.279,0.2192,True,True,False,correction_0.0.1,0.0,1.0,796120259.0,
8,ztf,59411.3099769,1657309975915015010,1,1657309975915,20.500214,1,1657,0.068368025,18.757595,18.23929,18.8646,0.09160747,0.054085314,0.056834094,0.0932,257.544872,57.295452,0.9657143,t17_f5_c3,18.9581,0.1283,True,True,False,correction_0.0.1,0.0,1.0,796120159.0,
9,ztf,59414.25869210018,1660258695915015008,1,1660258695915,20.194288,1,1660,0.080577075,18.523073,18.087938,18.5569,0.108170085,0.070842445,0.07245248,0.0903,257.5448597,57.2954721,0.9671429,t17_f5_c3,18.6802,0.1286,True,True,False,correction_0.0.1,0.0,0.9999993,796120159.0,
10,ztf,59414.292060200125,1660292065915015012,2,1660292065915,20.2787,1,1660,0.14976962,18.725544,17.83322,18.6922,0.0727944,0.015459718,0.03200136,0.1042,257.5448926,57.295426,0.97,t17_f5_c3,18.5901,0.1204,True,True,False,correction_0.0.1,0.0,0.99999994,796120259.0,
11,ztf,59423.23778939992,1669237785915015012,2,1669237785915,20.22716,1,1669,0.1729843,18.901512,17.907091,19.0476,0.10736914,0.030764194,0.04296465,0.1199,257.5448447,57.2954222,0.96,t17_f5_c3,19.0399,0.1505,True,True,False,correction_1.0.6,0.0,0.99999833,796120259.0,
12,ztf,59425.241388900205,1671241385915015022,1,1671241385915,20.614965,1,1671,0.15941715,18.933722,18.345156,18.9152,0.122446105,0.06855508,0.07120634,0.0868,257.5448329,57.2954355,0.96428573,t17_f5_c3,18.8789,0.1061,True,True,False,correction_1.0.6,0.0,0.9999987,796120159.0,
13,ztf,59427.22093749978,1673220935915015021,2,1673220935915,20.558891,1,1673,0.14451781,18.95994,17.930096,18.9533,0.09832293,0.0226221,0.03808178,0.0985,257.544865,57.2954276,0.9714286,t17_f5_c3,18.899,0.1179,True,True,False,correction_1.0.6,0.0,0.99999964,796120259.0,
14,ztf,59427.28059029998,1673280595915015015,1,1673280595915,20.594479,1,1673,0.11031764,19.021646,18.395416,18.9388,0.10757555,0.05696295,0.06042571,0.0854,257.5448621,57.2954395,0.9614286,t17_f5_c3,18.8771,0.1019,True,True,False,correction_1.0.6,0.0,0.9999999,796120159.0,
15,ztf,59429.24675930012,1675246755915015017,2,1675246755915,20.593805,1,1675,0.14022805,19.145964,17.998417,19.0584,0.11293493,0.021818,0.03924726,0.1114,257.5448812,57.2954282,0.96,t17_f5_c3,18.9323,0.1252,True,True,False,correction_1.0.6,0.0,0.99999976,796120259.0,
16,ztf,59429.28512729984,1675285125915015012,1,1675285125915,20.662788,1,1675,0.08620326,19.276312,18.531055,19.2806,0.104584314,0.047431216,0.052645873,0.1121,257.5448538,57.2954592,0.9557143,t17_f5_c3,19.3038,0.1448,True,True,False,correction_1.0.6,0.0,0.9999998,796120159.0,
17,ztf,59434.184155100025,1680184155915015020,2,1680184155915,20.680683,1,1680,0.2201367,19.27809,18.042534,19.1732,0.09125393,100.0,0.029243479,0.1143,257.5448224,57.2954162,0.95285714,t17_f5_c3,19.0613,0.13,True,True,False,correction_1.0.6,0.0,0.9999492,796120259.0,
18,ztf,59434.22126160003,1680221265915015024,1,1680221265915,20.761143,1,1680,0.25940046,19.78589,18.757914,19.8702,0.14366716,0.048107807,0.05574,0.1766,257.544812,57.2954049,0.94857144,t17_f5_c3,19.9002,0.2298,True,True,False,correction_1.0.6,0.0,0.99999976,796120159.0,
19,ztf,59436.22020829981,1682220205915015008,2,1682220205915,20.48432,1,1682,0.33517113,19.471712,18.100906,19.5369,0.1448612,0.01985768,0.040985424,0.1864,257.5449116,57.2953763,0.96,t17_f5_c3,19.4394,0.2159,True,True,False,correction_1.0.6,0.0,0.999984,796120259.0,
20,ztf,59436.25901619997,1682259015915015012,1,1682259015915,20.636393,1,1682,0.044933137,20.039358,18.849365,20.4046,0.19954607,0.059238847,0.06668771,0.3225,257.5448905,57.2954509,0.91714287,t17_f5_c3,20.4406,0.4239,True,True,False,correction_1.0.6,0.0,0.9999999,796120159.0,
21,ztf,59439.20319439983,1685203195915015010,2,1685203195915,20.306854,1,1685,0.124045745,19.453493,18.09572,19.4243,0.14899708,0.02338841,0.04266467,0.1945,257.5449415,57.2954651,0.9714286,t17_f5_c3,19.4116,0.244,True,True,False,correction_1.0.6,0.0,0.99999905,796120259.0,
22,ztf,59439.261724499986,1685261725915015010,1,1685261725915,20.3368,1,1685,0.195443,20.561,18.997444,20.848,0.385319,0.08426577,0.09128467,0.5909,257.5448311,57.2954217,0.857143,t17_f5_c3,21.036,0.8967,False,True,False,correction_1.0.6,0.0,,,1.687199895915015e+18
23,ztf,59441.19989580009,1687199895915015014,2,1687199895915,20.316792,1,1687,0.16149661,19.598276,18.135242,19.9781,0.162388,0.020289363,0.042202745,0.3325,257.5447938,57.2954736,0.87,t17_f5_c3,20.2463,0.5414,True,True,False,correction_1.0.6,0.0,0.99999785,796120259.0,
24,ztf,59441.25717590004,1687257175915015018,1,1687257175915,20.4277,1,1687,0.505589,20.4549,18.971355,19.906,0.245461,0.052385345,0.062598564,0.2467,257.544788,57.2955903,0.682857,t17_f5_c3,19.9994,0.3425,False,True,False,correction_1.0.6,0.0,,,1.710303555915015e+18
25,ztf,59443.19685189985,1689196855915015017,1,1689196855915,19.8094,1,1689,0.444955,20.2332,18.910376,20.4403,0.355724,0.10007897,0.1051921,0.7559,257.5450076,57.2953546,0.862857,t17_f5_c3,20.3094,0.8596,False,True,False,correction_1.0.6,0.0,,,1.710303555915015e+18
26,ztf,59464.30355319986,1710303555915015004,2,1710303555915,20.165457,1,1710,0.28415787,20.092684,18.243698,20.158,0.19409533,100.0,0.035352528,0.4242,257.5449557,57.2953998,0.95714283,t17_f5_c3,20.4538,0.7103,True,True,False,correction_1.0.6,0.0,0.99998355,796120259.0,
