,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid
0,ztf,59405.318437499925,1651318435915015027,1,1651318435915,20.7997,1,1651,0.437101,20.5846,20.428713,21.038,0.280798,0.23869517,0.24324206,0.473,277.3374252,14.0103822,0.477143,t17_f5_c3,20.778,0.4786,False,True,False,correction_0.0.1,0.0,,,
1,ztf,59405.337465300225,1651337465915015020,2,1651337465915,20.451838,1,1651,0.25642568,20.324213,20.10003,20.3613,0.19898885,0.15776803,0.16186604,0.3501,277.3374637,14.0104224,0.5314286,t17_f5_c3,20.1783,0.3798,True,True,False,correction_0.0.1,0.0,0.9999989,538120259.0,
2,ztf,59407.276979200076,1653276975915015032,1,1653276975915,20.716778,1,1653,0.42940494,20.169016,20.06032,20.2157,0.20367111,0.18122697,0.18426862,0.238,277.3373907,14.0104161,0.66714287,t17_f5_c3,20.1282,0.2814,True,True,False,correction_0.0.1,0.0,0.999972,538120159.0,
3,ztf,59407.29718750017,1653297185915015019,2,1653297185915,20.6945,1,1653,0.447643,20.289,20.0713,20.1169,0.25237,0.20348799,0.20651805,0.2332,277.3373934,14.0103396,0.358571,t17_f5_c3,19.9999,0.2685,False,True,False,correction_0.0.1,0.0,,,
4,ztf,59409.29706020001,1655297065915015019,2,1655297065915,20.747189,1,1655,0.4192706,19.904488,19.747272,19.807,0.14436324,0.122133635,0.12490224,0.1717,277.3374541,14.0103622,0.6042857,t17_f5_c3,19.7492,0.2082,True,True,False,correction_0.0.1,0.0,0.9999902,538120259.0,
5,ztf,59411.253900500014,1657253905915015035,2,1657253905915,20.565985,1,1657,0.3500446,19.894112,19.738289,19.6845,0.19111793,0.16352221,0.16556641,0.1785,277.3374216,14.010368,0.42714286,t17_f5_c3,19.5218,0.1971,True,True,False,correction_0.0.1,0.0,0.99882853,538120259.0,
6,ztf,59411.29806709988,1657298065915015034,1,1657298065915,20.624083,1,1657,0.5345412,19.955235,19.865185,20.0016,0.20495325,0.1865722,0.18864046,0.2152,277.3374657,14.0103659,0.69714284,t17_f5_c3,19.9,0.2509,True,True,False,correction_0.0.1,0.0,0.9999975,538120159.0,
7,ztf,59414.29685189994,1660296855915015028,2,1660296855915,20.370266,1,1660,0.6582555,19.398245,19.296991,19.2297,0.1607168,0.14538357,0.14640622,0.1424,277.3374772,14.0102949,0.69285715,t17_f5_c3,19.1292,0.1663,True,True,False,correction_0.0.1,0.0,0.9999989,538120259.0,
8,ztf,59425.2670948999,1671267095915015021,1,1671267095915,20.655376,1,1671,0.5462642,19.965776,19.874884,20.3318,0.1699178,0.15372372,0.15627223,0.2748,277.3374674,14.0103742,0.7657143,t17_f5_c3,20.6158,0.4571,True,True,False,correction_1.0.6,0.0,0.99999964,538120159.0,
9,ztf,59425.33228009986,1671332285915015025,2,1671332285915,20.285116,1,1671,0.29303122,19.62556,19.502022,19.6017,0.15590374,0.13756308,0.13913637,0.211,277.3374074,14.0103818,0.74,t17_f5_c3,19.5576,0.2597,True,True,False,correction_1.0.6,0.0,0.9999958,538120259.0,
10,ztf,59427.22854170017,1673228545915015033,2,1673228545915,20.817091,1,1673,0.4280111,19.643883,19.518358,19.6181,0.11201086,0.09750754,0.09978152,0.1347,277.3374553,14.0103566,0.7,t17_f5_c3,19.736,0.1915,True,True,False,correction_1.0.6,0.0,0.99999994,538120259.0,
11,ztf,59427.2902199002,1673290215915015023,1,1673290215915,20.744772,1,1673,0.60140634,20.000654,19.90692,20.3303,0.18506072,0.16726738,0.16975403,0.2564,277.3374882,14.0103572,0.7242857,t17_f5_c3,20.063,0.2571,True,True,False,correction_1.0.6,0.0,0.99999446,538120159.0,
12,ztf,59430.23201389983,1676232015915015040,2,1676232015915,20.641863,1,1676,0.40183207,19.702389,19.57032,19.8763,0.13638784,0.11870542,0.12076702,0.1913,277.3374572,14.0103666,0.7385714,t17_f5_c3,19.9243,0.2559,True,True,False,correction_1.0.6,0.0,1.0,538120259.0,
13,ztf,59430.29050929984,1676290505915015034,1,1676290505915,20.883791,1,1676,0.5683831,20.1146,20.010973,20.4192,0.17322977,0.15420346,0.15746053,0.2517,277.3374508,14.0104111,0.5871429,t17_f5_c3,20.0422,0.2281,True,True,False,correction_1.0.6,0.0,0.9999998,538120159.0,
