,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,rbversion
0,ztf,58279.19386570016,525193865315010000,1,525193865315,20.513208,-1,525,0.31527537,20.085354,17.460724,19.9227,0.16846552,100.0,0.015019637,0.2137,198.3837717,72.9863571,0.82666665,0.0,19.8233,0.2417,844120153.0,False,True,False,bulk_1.0.0,0.0,5.3426104531501e+17,
1,ztf,58282.20738429995,528207385315010000,2,528207385315,20.299294,-1,528,0.2174559,19.742735,16.93053,19.6679,0.15962483,100.0,0.011973431,0.2168,198.3841339,72.9863071,0.86333334,0.0,19.8668,0.3209,844120253.0,False,True,False,bulk_1.0.0,0.0,5.3426104531501e+17,
2,ztf,58282.281944400165,528281945315010000,1,528281945315,20.237778,-1,528,0.30169314,19.94241,17.474432,20.0326,0.16993482,100.0,0.017502153,0.2736,198.3838377,72.9864215,0.8333333,0.0,19.8856,0.298,844120153.0,False,True,False,bulk_1.0.0,0.0,5.3426104531501e+17,
3,ztf,58288.26104169991,534261045315010000,2,534261045315,20.087954,-1,534,0.39065117,19.648567,16.937935,19.5382,0.17027894,100.0,0.01402516,0.2154,198.3837982,72.9863336,0.8333333,0.0,19.4601,0.2494,844120253.0,True,True,False,bulk_1.0.0,0.0,0.0,
4,ztf,58546.26363429986,792263631015010025,1,792263631015,20.305445,-1,792,0.14042771,19.864948,17.507212,19.762,0.17433637,100.0,0.019874386,0.1812,198.3839217,72.9863335,0.72571427,0.0,19.8371,0.2397,862120110.0,False,True,False,bulk_1.0.0,0.0,8.2130754531501e+17,t15_f5_c3
5,ztf,58575.30754629988,821307545315010002,1,821307545315,20.521564,-1,821,0.06864909,19.97859,17.470774,20.0791,0.16982326,100.0,0.016860504,0.2933,198.3840063,72.9863765,0.8314286,0.0,20.1924,0.4045,844120153.0,False,True,False,bulk_1.0.0,0.0,8.3332046101501e+17,t15_f5_c3
6,ztf,58580.31275459984,826312755315010002,1,826312755315,20.310041,-1,826,0.68181086,19.830137,17.486683,19.9397,0.17553285,100.0,0.020275747,0.2262,198.3834169,72.9863552,0.81857145,0.0,19.9942,0.2955,844120153.0,False,True,False,bulk_1.0.0,0.0,8.3332046101501e+17,t15_f5_c3
7,ztf,58580.378043999895,826378045315010002,2,826378045315,20.029715,-1,826,0.36322573,19.806168,16.925919,19.5099,0.20835383,100.0,0.014679181,0.208,198.3841049,72.9862666,0.81857145,0.0,19.5431,0.2664,844120253.0,False,True,False,bulk_1.0.0,0.0,8.3332046101501e+17,t15_f5_c3
8,ztf,58581.3112269002,827311221015010013,1,827311221015,20.392223,-1,827,0.27147117,19.931112,17.49992,19.9977,0.21347763,100.0,0.022744443,0.2636,198.3838014,72.9864026,0.8428571,0.0,19.8236,0.2807,862120110.0,False,True,False,bulk_1.0.0,0.0,8.3332046101501e+17,t15_f5_c3
9,ztf,58586.2672569002,832267255315010000,1,832267255315,19.8546,-1,832,1.05985,19.784,17.492142,19.676,0.293673,0.021905545,0.03557299,0.275,198.3830896,72.9862915,0.484286,,19.9073,0.4313,,False,True,False,bulk_1.0.0,0.0,8.3332046101501e+17,t15_f5_c3
