,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59422.39160879981,1668391603615015006,2,1668391603615,20.41042,1,1668,0.9840726,19.627077,17.64604,19.8423,0.1746674,100.0,0.028170664,0.2603,297.4017955,42.2398514,0.7557143,t17_f5_c3,0.9997096,19.9667,0.3669,728120236.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59427.30180560006,1673301803615015004,1,1673301803615,20.96976,1,1673,1.0400451,19.571348,18.566195,19.8743,0.14237483,0.018953975,0.056412004,0.1568,297.4016839,42.2397923,0.8042857,t17_f5_c3,0.9999275,19.9071,0.2024,728120136.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59427.33035880001,1673330353615015001,2,1673330353615,20.770542,1,1673,1.0579401,18.845251,17.475492,19.0554,0.11541128,100.0,0.032684706,0.0946,297.4017607,42.2398058,0.9114286,t17_f5_c3,1.0,18.9667,0.1072,728120236.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59429.33307870012,1675333073615015005,1,1675333073615,20.987625,1,1675,1.2131999,19.408804,18.498852,19.3961,0.09903545,100.0,0.042836096,0.1019,297.4017608,42.239767,0.93285716,t17_f5_c3,0.99999875,19.2978,0.1165,728120136.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59429.36978009995,1675369783615015004,2,1675369783615,20.74174,1,1675,1.1383965,18.66658,17.421839,18.7722,0.07823517,100.0,0.024860235,0.075,297.4017532,42.2397758,0.9128571,t17_f5_c3,0.9999995,18.7541,0.0905,728120236.0,True,True,False,correction_1.0.6,0.0,
5,ztf,59434.26159719983,1680261593615015002,1,1680261593615,21.00338,1,1680,1.1138514,19.40774,18.498392,19.4513,0.111648306,100.0,0.048318435,0.1047,297.4016936,42.2397741,0.92,t17_f5_c3,1.0,19.4603,0.1318,728120136.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59436.35305560008,1682353053615015001,1,1682353053615,20.903622,1,1682,1.0984772,19.559464,18.56147,19.7013,0.15104088,0.02881767,0.060241655,0.1434,297.4017531,42.2397977,0.83285713,t17_f5_c3,1.0,19.599,0.1639,728120136.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59439.34819439985,1685348193615015002,1,1685348193615,20.533583,1,1685,1.2808167,19.883919,18.679523,19.9477,0.15899125,100.0,0.052434213,0.236,297.4017602,42.2397411,0.89285713,t17_f5_c3,0.99999976,19.9018,0.2867,728120136.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59439.362986099906,1685362983615015004,2,1685362983615,20.56394,1,1685,1.0042747,18.664677,17.421232,18.8119,0.09347566,100.0,0.029738639,0.0907,297.4017646,42.2398254,0.92285717,t17_f5_c3,0.9999993,18.7621,0.1072,728120236.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59441.29075230006,1687290753615015000,1,1687290753615,20.738,1,1687,1.11242,20.2179,18.778736,20.6307,0.284732,0.039319012,0.07564337,0.3717,297.4017326,42.2397863,0.611429,t17_f5_c3,,20.4516,0.3987,,False,True,False,correction_1.0.6,0.0,1.692342683615015e+18
10,ztf,59446.34268519981,1692342683615015003,2,1692342683615,19.704187,1,1692,1.2783647,19.045696,17.528605,18.999,0.14497262,100.0,0.035846714,0.1967,297.4017795,42.2397392,0.85714287,t17_f5_c3,0.9999999,18.7353,0.1968,728120236.0,True,True,False,correction_1.0.6,0.0,
11,ztf,59452.259062500205,1698259063615015006,2,1698259063615,19.970228,1,1698,1.1198674,19.599977,17.641623,19.9446,0.20133318,100.0,0.033156887,0.4213,297.4017896,42.2397997,0.49,t17_f5_c3,0.9999995,19.9055,0.5162,728120236.0,True,True,False,correction_1.0.6,0.0,
12,ztf,59454.30462960014,1700304623615015003,2,1700304623615,20.667099,1,1700,0.95589656,19.696804,17.656988,20.1335,0.2154536,100.0,0.032917514,0.2746,297.4016784,42.2398063,0.6185714,t17_f5_c3,0.9891568,19.8595,0.2657,728120236.0,True,True,False,correction_1.0.6,0.0,
13,ztf,59460.32341440022,1706323413615015003,2,1706323413615,20.779745,1,1706,1.1278081,19.950521,17.692118,20.2436,0.20463252,100.0,0.025563063,0.2763,297.4017321,42.2397745,0.69285715,t17_f5_c3,0.9993571,20.0535,0.287,728120236.0,True,True,False,correction_1.0.6,0.0,
