,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59425.24243059987,1671242431715015004,1,1671242431715,20.491632,1,1671,0.89624614,19.261486,18.46896,19.1226,0.110313855,0.044208966,0.05316421,0.1175,237.128591,68.9263147,0.94142854,t17_f5_c3,0.9998488,19.1077,0.1471,846120117.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59427.28206019988,1673282061715015003,1,1673282061715,20.233086,1,1673,1.2563004,19.297022,18.48594,19.1063,0.12243531,0.049648818,0.05800614,0.1292,237.1288704,68.9263478,0.95285714,t17_f5_c3,0.9997759,18.9732,0.1454,846120117.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59427.32348380005,1673323481715015006,2,1673323481715,20.203869,1,1673,0.98059213,19.151,18.263456,19.076,0.07718384,0.017838659,0.034080733,0.149,237.1286687,68.9263144,0.96,t17_f5_c3,0.99999946,19.06,0.187,846120217.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59429.304282399826,1675304281715015007,1,1675304281715,20.427639,1,1675,0.9919504,19.308985,18.49159,19.207,0.11107062,0.042754337,0.052316878,0.1336,237.1286646,68.926305,0.96428573,t17_f5_c3,0.9999783,19.1781,0.1653,846120117.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59434.19966439996,1680199661715015003,2,1680199661715,20.421032,1,1680,1.014133,19.353374,18.348204,19.2735,0.08938817,0.01638924,0.035417013,0.1499,237.1286957,68.9263087,0.9142857,t17_f5_c3,0.9999975,19.121,0.1659,846120217.0,True,True,False,correction_1.0.6,0.0,
5,ztf,59434.2222684999,1680222261715015002,1,1680222261715,20.549883,1,1680,0.8885155,19.485281,18.57108,19.4188,0.11703726,0.038602803,0.05042474,0.1405,237.1285789,68.9262896,0.9685714,t17_f5_c3,0.99999994,19.3835,0.1726,846120117.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59436.20043980004,1682200431715015003,2,1682200431715,20.30811,1,1682,1.0591253,19.477705,18.395777,19.1073,0.14003752,0.039957944,0.051697943,0.142,237.1287285,68.9263213,0.79,t17_f5_c3,0.99992263,19.0659,0.1739,846120217.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59436.26046299981,1682260461715015002,1,1682260461715,20.362978,1,1682,1.0866795,19.508074,18.580841,19.4711,0.16101266,0.060221706,0.06854362,0.181,237.1287398,68.9263106,0.94857144,t17_f5_c3,0.9999659,19.6325,0.2671,846120117.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59439.2042824002,1685204281715015002,2,1685204281715,20.034018,1,1685,1.0020113,19.538006,18.41765,19.5895,0.14972469,0.04154711,0.053352073,0.2668,237.1286859,68.926311,0.94285715,t17_f5_c3,0.9999952,19.893,0.4505,846120217.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59439.263703700155,1685263701715015007,1,1685263701715,19.7743,1,1685,1.00661,19.829,18.706072,19.4449,0.238424,0.076382264,0.08475764,0.253,237.128669,68.9262812,0.795714,t17_f5_c3,,19.5696,0.3627,,False,True,False,correction_1.0.6,0.0,1.687180981715015e+18
10,ztf,59441.180983799975,1687180981715015006,2,1687180981715,20.174572,1,1687,1.0832139,19.66796,18.462194,19.4584,0.16066815,0.03980577,0.052920513,0.224,237.1287482,68.9262706,0.88,t17_f5_c3,0.99994534,19.4176,0.2754,846120217.0,True,True,False,correction_1.0.6,0.0,
11,ztf,59441.239618100226,1687239611715015002,1,1687239611715,19.919756,1,1687,0.89930624,19.788582,18.691532,20.0609,0.2109236,0.06769619,0.07679004,0.4144,237.1285934,68.9263272,0.9285714,t17_f5_c3,0.9999933,20.3914,0.7187,846120117.0,True,True,False,correction_1.0.6,0.0,
12,ztf,59449.18171299994,1695181711715015004,2,1695181711715,19.681585,1,1695,1.0753285,19.834173,18.514183,19.7034,0.2050488,0.048555285,0.060794022,0.4038,237.1286314,68.9264475,0.8914286,t17_f5_c3,0.99967337,20.1468,0.7792,846120217.0,True,True,False,correction_1.0.6,0.0,
13,ztf,59451.165879600216,1697165871715015006,2,1697165871715,20.383669,1,1697,1.0649319,20.159718,18.600952,20.3447,0.17338856,0.011490058,0.04125858,0.4101,237.1287156,68.9263321,0.85571426,t17_f5_c3,0.99998975,20.1202,0.4254,846120217.0,True,True,False,correction_1.0.6,0.0,
