,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59434.241169000044,1680241160915015005,1,1680241160915,20.786102,1,1680,0.42744976,19.963736,19.368862,19.9722,0.15383053,0.06935149,0.08893912,0.1989,283.3121734,59.900892,0.8042857,t17_f5_c3,0.983229,19.8994,0.2339,827120109.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59436.35069439979,1682350690915015002,1,1682350690915,20.531666,1,1682,0.48072326,19.406511,19.01308,19.3457,0.12040401,0.07357499,0.0838047,0.1359,283.3122864,59.9008745,0.8528572,t17_f5_c3,0.9999987,19.3355,0.1689,827120109.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59436.36719910009,1682367190915015001,2,1682367190915,20.507008,1,1682,2.5713162,19.490665,,19.8089,0.13748159,,,0.2453,283.3122598,59.9009032,0.89857143,t17_f5_c3,0.99997556,19.7761,0.2979,827120209.0,True,False,False,correction_1.0.6,0.0,
3,ztf,59439.350567100104,1685350560915015003,1,1685350560915,20.31346,1,1685,0.46208975,19.04327,18.747988,19.0665,0.09745235,0.067265645,0.07424704,0.128,283.3122417,59.9008747,0.9514286,t17_f5_c3,0.9999995,19.0129,0.1536,827120109.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59439.36921299994,1685369210915015001,2,1685369210915,20.213127,1,1685,2.7234976,19.048,,19.3009,0.1058833,,,0.195,283.3122034,59.9008711,0.9442857,t17_f5_c3,0.99967206,19.365,0.2608,827120209.0,True,False,False,correction_1.0.6,0.0,
5,ztf,59446.339826399926,1692339820915015003,2,1692339820915,19.612803,1,1692,2.6104054,18.846313,,18.696,0.09769765,,,0.1618,283.3122481,59.9008935,0.9671429,t17_f5_c3,0.99999917,18.5712,0.184,827120209.0,True,False,False,correction_1.0.6,0.0,
6,ztf,59446.429791700095,1692429790915015003,1,1692429790915,19.19469,1,1692,0.61868143,18.741825,18.5111,18.9137,0.21251678,0.16996346,0.17183183,0.23,283.3122879,59.9008386,0.81142855,t17_f5_c3,0.9805594,18.8897,0.2881,827120109.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59449.222661999986,1695222660915015000,1,1695222660915,19.702932,1,1695,0.60603034,19.022167,18.731873,19.5439,0.12186474,0.08798272,0.09327389,0.3659,283.3121776,59.9008414,0.86,t17_f5_c3,0.999996,19.5153,0.4568,827120109.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59449.32932869997,1695329320915015003,2,1695329320915,19.70456,1,1695,2.7255113,18.896889,,18.8006,0.12744455,,,0.1956,283.3122407,59.9008488,0.9557143,t17_f5_c3,0.99959743,18.6615,0.2198,827120209.0,True,False,False,correction_1.0.6,0.0,
9,ztf,59451.20667820005,1697206670915015007,1,1697206670915,20.015314,1,1697,0.51182383,19.085108,18.779715,19.1121,0.11601195,0.08136797,0.08756806,0.1801,283.3122414,59.9008638,0.9342857,t17_f5_c3,0.99999964,19.3351,0.2817,827120109.0,True,True,False,correction_1.0.6,0.0,
10,ztf,59451.286562500056,1697286560915015000,2,1697286560915,19.98543,1,1697,2.6164565,18.861183,,18.7662,0.10412798,,,0.1509,283.3122099,59.9009112,0.9457143,t17_f5_c3,0.9998061,18.8956,0.2157,827120209.0,True,False,False,correction_1.0.6,0.0,
11,ztf,59453.201053199824,1699201050915015009,1,1699201050915,20.79373,1,1699,0.421977,19.144869,18.824516,19.1673,0.08460363,0.053195734,0.062986605,0.0988,283.3122248,59.9008866,0.94857144,t17_f5_c3,0.9999999,19.1736,0.124,827120109.0,True,True,False,correction_1.0.6,0.0,
12,ztf,59453.26615739986,1699266150915015002,2,1699266150915,20.45749,1,1699,2.671106,18.956772,,19.2167,0.093365245,,,0.1507,283.3122417,59.9008679,0.92,t17_f5_c3,0.999413,19.3099,0.2062,827120209.0,True,False,False,correction_1.0.6,0.0,
13,ztf,59455.17880789982,1701178800915015010,2,1701178800915,20.720835,1,1701,2.6272569,19.01691,,19.0234,0.090734355,,,0.1022,283.3122611,59.9008831,0.91,t17_f5_c3,0.99981797,19.0514,0.1297,827120209.0,True,False,False,correction_1.0.6,0.0,
