,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59446.435555600096,1692435553315015005,1,1692435553315,19.163778,1,1692,0.99589986,19.286116,18.100275,19.1834,0.21611054,0.050003238,0.07250026,0.3301,339.4389009,-8.6563556,0.70714283,t17_f5_c3,0.99975175,19.2735,0.4595,392120133.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59453.35097219981,1699350973315015016,2,1699350973315,20.064724,1,1699,1.1907372,18.947035,18.395899,18.6896,0.09394052,0.021864872,0.05654559,0.1202,339.4390195,-8.656367,0.9257143,t17_f5_c3,0.99999845,18.684,0.1515,392120233.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59453.360451399814,1699360453315015013,1,1699360453315,19.959803,1,1699,1.4722357,18.824444,,18.701,0.102469735,,,0.1299,339.4390429,-8.6563669,0.96428573,t17_f5_c3,0.9999958,18.661,0.1595,392120133.0,True,False,True,correction_1.0.6,0.0,
3,ztf,59455.31796299992,1701317963315015027,1,1701317963315,20.146725,1,1701,1.4977243,18.746464,,18.8787,0.092035435,,,0.1319,339.4390585,-8.6563527,0.9614286,t17_f5_c3,1.0,19.1006,0.205,392120133.0,True,False,True,correction_1.0.6,0.0,
4,ztf,59459.295497700106,1705295493315015039,1,1705295493315,20.626112,1,1705,1.6014441,18.700697,,18.632,0.07846168,,,0.0659,339.4390877,-8.6563585,0.93714285,t17_f5_c3,0.9999999,18.6307,0.0817,392120133.0,True,False,True,correction_1.0.6,0.0,
5,ztf,59461.235057900194,1707235053315015045,1,1707235053315,20.28892,1,1707,1.5479921,18.800264,,18.931,0.09594027,,,0.1041,339.4390508,-8.6564079,0.9342857,t17_f5_c3,0.9999286,18.9544,0.1338,392120133.0,True,False,True,correction_1.0.6,0.0,
6,ztf,59461.29606480012,1707296063315015030,2,1707296063315,20.353241,1,1707,0.98191214,18.900837,18.367857,19.0624,0.10354202,0.03786932,0.06337596,0.1289,339.4390277,-8.6562988,0.92714286,t17_f5_c3,0.99999964,19.0344,0.1577,392120233.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59463.238622699864,1709238623315015030,1,1709238623315,20.361263,1,1709,1.5507853,18.958605,,18.8987,0.111175664,,,0.0983,339.4390737,-8.6563514,0.9685714,t17_f5_c3,0.9999994,18.9672,0.1313,392120133.0,True,False,True,correction_1.0.6,0.0,
8,ztf,59463.27458330011,1709274583315015030,2,1709274583315,20.318027,1,1709,1.0360622,18.896444,18.365166,18.9134,0.10416551,0.038834706,0.06385759,0.1141,339.4390523,-8.6563362,0.94714284,t17_f5_c3,0.9999953,18.7798,0.1269,392120233.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59465.33596060006,1711335963315015030,2,1711335963315,20.223768,1,1711,1.0843668,18.86047,18.342972,18.8938,0.107852146,0.044913355,0.06696213,0.1176,339.4390591,-8.6563578,0.94142854,t17_f5_c3,0.9999969,18.8269,0.1392,392120233.0,True,True,False,correction_1.0.6,0.0,
10,ztf,59467.22858799994,1713228583315015023,1,1713228583315,20.463598,1,1713,1.4123974,19.143648,,19.2815,0.11190858,,,0.1408,339.4390396,-8.6563324,0.9628571,t17_f5_c3,0.99999964,19.3248,0.1841,392120133.0,True,False,True,correction_1.0.6,0.0,
11,ztf,59470.26091440022,1716260913315015022,2,1716260913315,20.477873,1,1716,1.0597488,19.227888,18.556118,19.2406,0.11627021,0.016408103,0.06262685,0.1492,339.4390376,-8.6563344,0.9185714,t17_f5_c3,0.9999195,19.1403,0.171,392120233.0,True,True,False,correction_1.0.6,0.0,
12,ztf,59470.36149309995,1716361493315015015,1,1716361493315,20.366854,1,1716,1.5387927,19.33722,,19.5644,0.11253143,,,0.187,339.4390636,-8.6563621,0.9557143,t17_f5_c3,0.99999964,19.4375,0.2101,392120133.0,True,False,True,correction_1.0.6,0.0,
13,ztf,59472.3603356001,1718360333315015033,2,1718360333315,20.3052,1,1718,0.97678983,19.294483,18.59148,19.553,0.16236174,0.057634205,0.08497333,0.212,339.4390571,-8.6563232,0.86285716,t17_f5_c3,0.9999443,19.4299,0.2387,392120233.0,True,True,False,correction_1.0.6,0.0,
14,ztf,59474.23666669987,1720236663315015018,2,1720236663315,19.479698,1,1720,1.2443594,19.317406,18.603416,19.3618,0.16033433,0.053988572,0.08306747,0.3646,339.4390266,-8.6563911,0.8471429,t17_f5_c3,0.9999943,19.1403,0.3808,392120233.0,True,True,False,correction_1.0.6,0.0,
15,ztf,59474.344444400165,1720344443315015005,1,1720344443315,19.3977,1,1720,1.36147,19.4787,18.161152,19.5071,0.246011,0.047550324,0.07310299,0.4372,339.4390199,-8.6563273,0.912857,t17_f5_c3,,19.2765,0.4531,,False,True,False,correction_1.0.6,0.0,1.726258463315015e+18
16,ztf,59480.25846059993,1726258463315015011,2,1726258463315,19.543537,1,1726,1.1811393,19.445326,18.667809,19.4487,0.15928687,0.039634425,0.07783461,0.3635,339.4390578,-8.6563866,0.8914286,t17_f5_c3,0.9999808,19.502,0.4885,392120233.0,True,True,False,correction_1.0.6,0.0,
17,ztf,59485.232580999844,1731232583315015019,2,1731232583315,20.38855,1,1731,0.9856398,19.562115,18.723309,19.8633,0.15428603,0.010326375,0.07125316,0.2676,339.4390983,-8.6563449,0.89,t17_f5_c3,0.9992541,19.9729,0.3712,392120233.0,True,True,False,correction_1.0.6,0.0,
