,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59440.22055559978,1686220554515025004,2,1686220554515,20.1356,1,1686,1.09869,20.3232,19.96831,19.9535,0.285008,0.20118394,0.20554207,0.335,252.0041108,63.4159403,0.455714,t17_f5_c3,20.0045,0.45,False,True,True,correction_1.0.6,0.0,1.695185053315015e+18,,
1,ztf,59440.26325230021,1686263254515025009,1,1686263254515,20.3314,1,1686,1.51127,20.7497,,20.5838,0.421742,,,0.4707,252.0037643,63.415986,0.197143,t17_f5_c3,20.4642,0.5409,False,False,False,correction_1.0.6,0.0,1.695185053315015e+18,,
2,ztf,59441.20275459997,1687202753315015005,2,1687202753315,20.2425,1,1687,1.0551,20.4648,20.041185,20.7728,0.250281,0.16500777,0.16942686,0.6923,252.0040888,63.4159155,0.575714,t17_f5_c3,20.268,0.5591,False,True,True,correction_1.0.6,0.0,1.695185053315015e+18,,
3,ztf,59441.25922450004,1687259223315015007,1,1687259223315,20.3297,1,1687,1.26726,20.3662,19.997711,19.9303,0.239988,0.1680706,0.17092049,0.2714,252.0038803,63.415975,0.432857,t17_f5_c3,19.7807,0.3032,False,True,True,correction_1.0.6,0.0,1.695185053315015e+18,,
4,ztf,59443.28215279989,1689282153315015004,2,1689282153315,19.8182,1,1689,0.893163,19.9149,19.640463,20.0377,0.251468,0.19348569,0.19530268,0.5551,252.0041996,63.4158653,0.342857,t17_f5_c3,20.1203,0.769,False,True,True,correction_1.0.6,0.0,1.695185053315015e+18,,
5,ztf,59448.19607640011,1694196074515015002,1,1694196074515,19.2949,1,1694,1.12056,19.9725,19.713396,19.8627,0.430465,0.3380018,0.3390755,0.5537,252.0041714,63.4157535,0.254286,t17_f5_c3,20.1317,0.9114,False,True,True,correction_1.0.6,0.0,1.695185053315015e+18,,
6,ztf,59449.185057899915,1695185053315015004,2,1695185053315,19.93557,1,1695,1.3997366,19.784403,19.537783,20.0445,0.18024689,0.14157148,0.14362161,0.4904,252.0038757,63.4159462,0.6942857,t17_f5_c3,19.849,0.526,True,True,True,correction_1.0.6,0.0,,0.99959177,824120233.0
7,ztf,59451.18130790023,1697181303315015013,2,1697181303315,20.30443,1,1697,0.982891,19.606726,19.39393,19.6367,0.17117481,0.1391059,0.14070903,0.233,252.0041358,63.4158908,0.7714286,t17_f5_c3,19.8385,0.3592,True,True,False,correction_1.0.6,0.0,,0.9998627,824120233.0
8,ztf,59452.21774310013,1698217744515015005,2,1698217744515,20.217579,1,1698,1.3015988,19.725653,19.507107,19.6561,0.15821286,0.12640354,0.12936693,0.2534,252.0040366,63.4158633,0.5757143,t17_f5_c3,19.263,0.2264,True,True,False,correction_1.0.6,0.0,,0.9995302,825120245.0
9,ztf,59453.17767360015,1699177673315015009,1,1699177673315,20.674751,1,1699,1.0230243,20.332981,19.97395,20.2924,0.18520397,0.12953545,0.13305692,0.2749,252.004029,63.4159519,0.6528571,t17_f5_c3,20.04,0.2794,True,True,True,correction_1.0.6,0.0,,0.9378218,824120133.0
10,ztf,59453.29084490007,1699290843315015005,2,1699290843315,20.100683,1,1699,1.2294468,19.6816,19.455095,19.6962,0.11936684,0.09426412,0.096890666,0.2835,252.0039796,63.4159249,0.87142855,t17_f5_c3,19.7353,0.377,True,True,False,correction_1.0.6,0.0,,0.9999998,824120233.0
11,ztf,59454.22074070014,1700220744515015003,1,1700220744515,20.5075,1,1700,1.37483,20.2433,19.920788,19.9393,0.296506,0.21787617,0.22030714,0.2212,252.0038434,63.4159699,0.237143,t17_f5_c3,19.9632,0.2896,False,True,True,correction_1.0.6,0.0,1.700302124515015e+18,,
12,ztf,59454.3021296002,1700302124515015003,2,1700302124515,20.031923,1,1700,1.3419725,19.790539,19.55987,19.4058,0.19585012,0.15570423,0.15836388,0.2327,252.0040004,63.4158669,0.36,t17_f5_c3,19.1048,0.2263,True,True,False,correction_1.0.6,0.0,,0.99982715,825120245.0
13,ztf,59455.182175899856,1701182173315015004,2,1701182173315,20.626669,1,1701,1.0967541,19.81372,19.561079,19.676,0.11983245,0.091684945,0.09495498,0.1787,252.0040626,63.4159173,0.7657143,t17_f5_c3,19.7537,0.2452,True,True,False,correction_1.0.6,0.0,,0.99999464,824120233.0
14,ztf,59455.221527799964,1701221523315015011,1,1701221523315,20.5328,1,1701,1.08888,20.5654,20.135742,20.3679,0.257936,0.1700146,0.1736397,0.3135,252.0039862,63.4159421,0.534286,t17_f5_c3,20.2976,0.3767,False,True,True,correction_1.0.6,0.0,1.704242403315015e+18,,
15,ztf,59458.16568290023,1704165683315015011,1,1704165683315,20.7407,1,1704,0.909637,20.5425,20.120274,20.2278,0.232122,0.15343912,0.15733513,0.2269,252.0041006,63.4159513,0.577143,t17_f5_c3,20.2862,0.3061,False,True,True,correction_1.0.6,0.0,1.704242403315015e+18,,
16,ztf,59458.18111110013,1704181114515015008,1,1704181114515,20.6229,1,1704,0.936381,20.8877,20.359797,21.1078,0.485164,0.29431605,0.29835096,0.548,252.0041188,63.4159529,0.578571,t17_f5_c3,20.7992,0.5294,False,True,True,correction_1.0.6,0.0,1.704242403315015e+18,,
17,ztf,59458.20337959984,1704203374515015005,2,1704203374515,20.2547,1,1704,1.34164,19.967,19.70026,19.7633,0.226507,0.17408855,0.17716846,0.2238,252.0040408,63.4158333,0.588571,t17_f5_c3,19.5135,0.2278,False,True,False,correction_1.0.6,0.0,1.704242403315015e+18,,
18,ztf,59458.24240740016,1704242403315015005,2,1704242403315,20.48069,1,1704,1.074482,20.062405,19.753242,20.0417,0.16241431,0.118556306,0.12216846,0.2694,252.0040779,63.4159303,0.7214286,t17_f5_c3,19.8974,0.3023,True,True,False,correction_1.0.6,0.0,,0.9959971,824120233.0
19,ztf,59460.24064810015,1706240643315015005,2,1706240643315,20.4942,1,1706,1.08904,20.0827,19.768473,19.6236,0.15998,0.11598417,0.119777314,0.1902,252.0040655,63.415943,0.398571,t17_f5_c3,19.5785,0.2336,False,True,False,correction_1.0.6,0.0,1.706242074515015e+18,,
20,ztf,59460.242071799934,1706242074515015007,2,1706242074515,20.385035,1,1706,1.3935949,20.06779,19.778286,20.1685,0.18215054,0.13496707,0.13951764,0.3401,252.0039544,63.4158844,0.68285716,t17_f5_c3,20.2223,0.4582,True,True,False,correction_1.0.6,0.0,,0.9998312,825120245.0
21,ztf,59462.21858800016,1708218583315015005,2,1708218583315,20.397753,1,1708,1.0671487,20.255148,19.894941,20.482,0.1829393,0.1269157,0.13128774,0.4365,252.0040811,63.4159072,0.7014286,t17_f5_c3,20.2364,0.447,True,True,False,correction_1.0.6,0.0,,0.9995084,824120233.0
22,ztf,59464.286018500105,1710286013315015001,2,1710286013315,20.175217,1,1710,1.3225971,20.309261,19.9335,20.4033,0.18798661,0.12835364,0.1329911,0.4996,252.0039238,63.4159337,0.73714286,t17_f5_c3,20.3281,0.5985,True,True,False,correction_1.0.6,0.0,,0.9999622,824120233.0
