,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59460.3486227002,1706348622215015029,2,1706348622215,20.434862,1,1706,0.6366854,19.768856,18.838299,19.4853,0.12225295,0.04528314,0.05188435,0.1666,351.2837662,-11.2876488,0.6571429,t17_f5_c3,0.99968684,19.412,0.1987,394120222.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59460.39393519983,1706393932215015024,1,1706393932215,20.503807,1,1706,0.6099297,19.626717,18.93639,19.3689,0.13214856,0.068228856,0.06997317,0.1239,351.2837883,-11.2876239,0.80285716,t17_f5_c3,0.99995464,19.3707,0.1579,394120122.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59462.31328700017,1708313282215015026,1,1708313282215,20.52498,1,1708,0.5132581,19.148457,18.657337,18.8063,0.113717616,0.07133675,0.07234024,0.0829,351.2837534,-11.2876677,0.7828571,t17_f5_c3,0.999994,18.9031,0.1149,394120122.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59462.37269680016,1708372692215015024,2,1708372692215,20.396158,1,1708,0.42222556,19.3534,18.642302,19.1911,0.100932695,0.04797942,0.05243152,0.1339,351.2837085,-11.2876188,0.93285716,t17_f5_c3,0.9999915,19.0992,0.157,394120222.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59464.335266199894,1710335262215025033,2,1710335262215,20.3717,1,1710,0.486497,19.1036,18.505402,19.0682,0.111425,0.061460856,0.06422487,0.1256,351.2837192,-11.2876546,0.922857,t17_f5_c3,,19.037,0.1555,,False,True,False,correction_1.0.6,0.0,1.714428692215015e+18
5,ztf,59464.335266199894,1710335262215015033,2,1710335262215,20.371704,1,1710,0.48649704,19.103615,18.50541,19.0682,0.11142547,0.061460692,0.06422476,0.1256,351.2837192,-11.2876546,0.92285717,t17_f5_c3,0.9999988,19.037,0.1555,394120222.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59466.336689800024,1712336682215015021,2,1712336682215,19.844988,1,1712,0.23768944,18.924461,18.398573,18.9611,0.11283488,0.06743293,0.06951648,0.1939,351.2836489,-11.287644,0.93142855,t17_f5_c3,0.99995184,18.9583,0.2474,394120222.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59468.428692100104,1714428692215015016,1,1714428692215,20.269596,1,1714,0.37263262,18.63533,18.304234,18.6829,0.068615966,0.04983161,0.050580863,0.0912,351.2837202,-11.2876248,0.9614286,t17_f5_c3,1.0,18.7595,0.1243,394120122.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59470.35866900021,1716358662215015030,1,1716358662215,20.504238,1,1716,0.3943148,18.62158,18.29408,18.4752,0.07618985,0.05569137,0.05635041,0.0619,351.2837247,-11.2876428,0.93142855,t17_f5_c3,0.9999999,18.4556,0.077,394120122.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59470.41462960001,1716414622215015017,2,1716414622215,20.309433,1,1716,0.3610405,18.749222,18.28731,18.6549,0.0650066,0.039650377,0.042480756,0.0961,351.2836887,-11.2876365,0.9457143,t17_f5_c3,0.99999857,18.5418,0.1105,394120222.0,True,True,False,correction_1.0.6,0.0,
10,ztf,59472.36221060017,1718362212215015034,2,1718362212215,20.48618,1,1718,0.34009454,18.672283,18.236418,18.6085,0.067306295,0.042637777,0.045051534,0.079,351.2836811,-11.2876416,0.9357143,t17_f5_c3,0.9999999,18.5389,0.0942,394120222.0,True,True,False,correction_1.0.6,0.0,
11,ztf,59472.41295140004,1718412952215015017,1,1718412952215,19.944506,1,1718,0.44260845,18.60201,18.279573,18.5365,0.10929319,0.08076771,0.08121155,0.0682,351.2837364,-11.2876541,0.73285717,t17_f5_c3,0.99999106,18.4527,0.08,394120122.0,True,True,False,correction_1.0.6,0.0,
