,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59469.360347200185,1715360344415015002,2,1715360344415,20.763346,1,1715,0.3618518,20.550657,19.476313,21.1058,0.16893823,0.046611734,0.062804446,0.5933,359.1814152,13.3499022,0.81,t17_f5_c3,0.9999993,21.2082,0.834,499120244.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59471.42535880022,1717425354415015008,2,1717425354415,20.314377,1,1717,0.5846557,19.982899,19.229374,19.966,0.18070225,0.083814286,0.090272084,0.2853,359.1814719,13.3498099,0.88,t17_f5_c3,0.9994683,20.3043,0.4977,499120244.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59474.31046300009,1720310464415015004,2,1720310464415,20.021221,1,1720,0.3378747,19.192162,18.763887,19.0815,0.13028373,0.08505851,0.08781734,0.1773,359.181398,13.3498246,0.8485714,t17_f5_c3,0.9995533,19.0166,0.214,499120244.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59474.36395830009,1720363954415015002,1,1720363954415,20.093494,1,1720,0.5279232,19.137302,18.910666,19.028,0.09828851,0.0782984,0.07977157,0.1567,359.1814865,13.3498825,0.9357143,t17_f5_c3,0.99999756,19.2172,0.2389,499120144.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59476.280173600186,1722280174415015002,1,1722280174415,19.31976,1,1722,0.73074305,18.86258,18.682661,18.9978,0.16508792,0.13932952,0.13987751,0.2661,359.1815483,13.3498776,0.86142856,t17_f5_c3,0.9999764,19.0437,0.3567,499120144.0,True,True,False,correction_1.0.6,0.0,
5,ztf,59476.34755790001,1722347554415015003,2,1722347554415,19.54847,1,1722,0.47676513,18.904903,18.562183,19.0703,0.16155222,0.116417296,0.11782152,0.2728,359.1814544,13.3498645,0.8057143,t17_f5_c3,0.99996096,18.9734,0.32,499120244.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59480.291805599816,1726291804415015000,2,1726291804415,19.3674,1,1726,0.676353,18.6905,18.401766,18.509,0.117464,0.08866521,0.09003495,0.1729,359.1815116,13.3498995,0.231429,t17_f5_c3,,18.597,0.2405,,False,True,False,correction_1.0.6,0.0,1.726359084415015e+18
7,ztf,59480.35908559989,1726359084415015000,1,1726359084415,19.366177,1,1726,0.40640777,18.702147,18.545246,18.5098,0.12223136,0.105221614,0.105784565,0.1813,359.1814462,13.3498394,0.9128571,t17_f5_c3,0.999516,18.2084,0.1764,499120144.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59485.2943171002,1731294314415015003,1,1731294314415,19.310982,1,1731,0.4054327,18.681541,18.527391,18.8397,0.14344119,0.12399268,0.124455325,0.223,359.1814464,13.3499069,0.88285714,t17_f5_c3,1.0,18.489,0.2072,499120144.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59488.266296300106,1734266294415015001,1,1734266294415,20.710485,1,1734,0.4348029,18.948881,18.755331,18.9251,0.10148361,0.08387707,0.08491337,0.0776,359.1814591,13.3498901,0.94714284,t17_f5_c3,0.9999969,18.8808,0.0944,499120144.0,True,True,False,correction_1.0.6,0.0,
10,ztf,59488.31156249996,1734311564415015002,2,1734311564415,20.584288,1,1734,0.5675185,18.8704,18.536911,18.8891,0.06406117,0.043660868,0.047119368,0.0889,359.1814808,13.3498922,0.95,t17_f5_c3,0.9999999,18.7862,0.1028,499120244.0,True,True,False,correction_1.0.6,0.0,
11,ztf,59490.3406134001,1736340614415015006,1,1736340614415,20.771423,1,1736,0.5171522,19.070118,18.855825,19.0885,0.09517287,0.07676712,0.07812605,0.0889,359.1814823,13.3498909,0.94857144,t17_f5_c3,0.99997723,19.0799,0.112,499120144.0,True,True,False,correction_1.0.6,0.0,
12,ztf,59497.30329860002,1743303294415015007,2,1743303294415,20.488617,1,1743,0.4900519,19.429913,18.918285,19.6981,0.095141426,0.053790543,0.05939075,0.1872,359.1814532,13.3499134,0.9242857,t17_f5_c3,0.99986696,19.6612,0.2309,499120244.0,True,True,False,correction_1.0.6,0.0,
13,ztf,59502.34052080009,1748340524415015002,2,1748340524415,19.861692,1,1748,0.48718724,19.604952,19.0242,20.1394,0.155196,0.086562306,0.09090337,0.4181,359.1814474,13.3498282,0.8914286,t17_f5_c3,0.9999083,20.1399,0.5364,499120244.0,True,True,False,correction_1.0.6,0.0,
14,ztf,59502.391875000205,1748391874415015002,1,1748391874415,19.9899,1,1748,0.527926,20.1094,19.620842,20.1723,0.335466,0.21188413,0.21390736,0.3154,359.1814892,13.3498796,0.605714,t17_f5_c3,,19.8666,0.3053,,False,True,False,correction_1.0.6,0.0,1.767254004415015e+18
15,ztf,59512.15315969987,1758153154415015005,2,1758153154415,20.6589,1,1758,0.536524,20.0913,19.282175,20.1257,0.140686,0.05674144,0.06677306,0.2709,359.1814717,13.3498632,0.83,t17_f5_c3,,20.0394,0.3197,,False,True,False,correction_1.0.6,0.0,1.767254004415015e+18
16,ztf,59521.25400459999,1767254004415015007,2,1767254004415,20.629793,1,1767,0.4859852,20.409262,19.421576,21.0385,0.15936378,0.050156325,0.06416748,0.5902,359.181446,13.349933,0.8414286,t17_f5_c3,0.9998871,20.8054,0.6093,499120244.0,True,True,False,correction_1.0.6,0.0,
