,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59622.26743059978,1868267434215015001,1,1868267434215,19.709404,1,1868,0.51505,19.006996,17.91603,18.8961,0.13371977,0.034369193,0.0489564,0.1717,131.8973748,33.9896963,0.9557143,t17_f5_c3,0.9995625,18.9351,0.2278,665120142.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59622.365243100096,1868365244215015002,2,1868365244215,19.835152,1,1868,0.43241125,18.602192,17.5168,18.4982,0.08601303,100.0,0.031652436,0.1091,131.8974335,33.9897264,0.9714286,t17_f5_c3,0.9999988,18.4002,0.1271,665120242.0,True,True,False,correction_1.0.6,0.0,
2,ztf,59627.36563660018,1873365634215015003,2,1873365634215,19.034296,1,1873,0.6920721,18.71015,17.55529,18.551,0.1801073,0.05158284,0.062170953,0.209,131.8973296,33.9897316,0.75142854,t17_f5_c3,0.99776745,18.5343,0.2639,665120242.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59629.34313660022,1875343134215015008,2,1875343134215,19.989517,1,1875,0.63642234,18.719566,17.55853,18.8154,0.101748325,0.0028240606,0.034923144,0.133,131.8973757,33.9897591,0.9671429,t17_f5_c3,0.99999547,18.7507,0.1597,665120242.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59629.41178240022,1875411784215015003,1,1875411784215,19.25565,1,1875,0.4772451,19.152714,17.967138,19.1204,0.20170955,0.056972507,0.067685634,0.2514,131.8973576,33.9896213,0.7871429,t17_f5_c3,0.999476,19.1741,0.3386,665120142.0,True,True,False,correction_1.0.6,0.0,
5,ztf,59636.22693290003,1882226934215015015,1,1882226934215,20.755985,1,1882,0.5116432,19.146025,17.96489,19.1351,0.08884383,100.0,0.029934587,0.0965,131.8973979,33.9897173,0.95857143,t17_f5_c3,0.9999994,19.0793,0.1151,665120142.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59636.33312499989,1882333124215015008,2,1882333124215,20.21941,1,1882,0.5846716,18.611382,17.520172,18.6661,0.084695965,100.0,0.031001227,0.0827,131.8973932,33.9897534,0.96428573,t17_f5_c3,0.99999964,18.7293,0.1104,665120242.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59638.332881900016,1884332884215015010,2,1884332884215,20.35256,1,1884,0.5614128,18.579475,17.508385,18.7288,0.07504652,100.0,0.027982987,0.0858,131.8973924,33.989743,0.9671429,t17_f5_c3,0.999993,18.7779,0.113,665120242.0,True,True,False,correction_1.0.6,0.0,
8,ztf,59638.350590299815,1884350594215015006,1,1884350594215,19.960573,1,1884,0.3770834,19.011677,17.917742,19.0159,0.11469869,0.023117756,0.04187787,0.1365,131.8974326,33.9896928,0.9685714,t17_f5_c3,0.9999962,18.9786,0.1675,665120142.0,True,True,False,correction_1.0.6,0.0,
9,ztf,59640.30474539986,1886304744215015006,1,1886304744215,20.587671,1,1886,0.51227057,19.15837,17.969034,19.0502,0.11465891,0.01139969,0.038341887,0.0925,131.8974126,33.9897286,0.9685714,t17_f5_c3,0.99999905,19.0131,0.1123,665120142.0,True,True,False,correction_1.0.6,0.0,
