,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59622.33143519983,1868331430615015003,2,1868331430615,19.740263,1,1868,1.9161744,18.915554,19.1125,0.12675294,0.1857,149.338631,36.8771933,0.9114286,t17_f5_c3,0.98967266,19.0391,0.2226,711120206.0,True,False,False,correction_1.0.6,0.0,
1,ztf,59622.34540509991,1868345400615015003,1,1868345400615,19.743612,1,1868,1.9327264,18.904598,18.9459,0.115810096,0.1641,149.3385866,36.8772658,0.94714284,t17_f5_c3,0.99999124,19.112,0.2438,711120106.0,True,False,False,correction_1.0.6,0.0,
2,ztf,59623.3453819002,1869345385315015003,2,1869345385315,19.676851,1,1869,1.6575035,18.86021,19.0721,0.118502535,0.2346,149.3385928,36.8772234,0.94714284,t17_f5_c3,0.999987,18.9437,0.2667,667120253.0,True,False,False,correction_1.0.6,0.0,
3,ztf,59624.262847200036,1870262840615015002,1,1870262840615,19.561686,1,1870,1.8684243,19.07703,19.1884,0.16662231,0.2816,149.3385406,36.8772791,0.93142855,t17_f5_c3,0.9993317,19.1911,0.3613,711120106.0,True,False,False,correction_1.0.6,0.0,
4,ztf,59627.36467589997,1873364675315015001,2,1873364675315,18.9129,1,1873,1.85098,18.8989,19.2176,0.2299,0.4494,149.3385933,36.8773026,0.772857,t17_f5_c3,,18.7713,0.3824,,False,False,False,correction_1.0.6,0.0,1.882238040615015e+18
5,ztf,59629.331469899975,1875331460615015005,2,1875331460615,19.884,1,1875,1.85056,19.127,19.0625,0.116702,0.1872,149.3386095,36.8771868,0.947143,t17_f5_c3,,19.25,0.2843,,False,False,False,correction_1.0.6,0.0,1.882238040615015e+18
6,ztf,59629.408425900154,1875408425315015001,1,1875408425315,19.2708,1,1875,1.97239,19.4195,19.4677,0.251488,0.3379,149.3387612,36.8771379,0.45,t17_f5_c3,,19.3792,0.3998,,False,False,False,correction_1.0.6,0.0,1.882238040615015e+18
7,ztf,59629.40890049981,1875408900615015006,1,1875408900615,19.4648,1,1875,1.99257,19.2855,19.4333,0.183536,0.3057,149.3386515,36.8772257,0.89,t17_f5_c3,,19.2907,0.3434,,False,False,False,correction_1.0.6,0.0,1.882238040615015e+18
8,ztf,59636.23804400023,1882238040615015010,1,1882238040615,20.689833,1,1882,1.9010677,19.699783,19.452,0.14392112,0.1491,149.3386081,36.8772292,0.9085714,t17_f5_c3,0.9976393,19.4893,0.195,711120106.0,True,False,False,correction_1.0.6,0.0,
9,ztf,59636.34995369986,1882349950615015005,2,1882349950615,20.4223,1,1882,1.98502,19.3016,19.2674,0.111976,0.1503,149.3386463,36.8772119,0.952857,t17_f5_c3,,19.595,0.257,,False,False,False,correction_1.0.6,0.0,1.882351875315015e+18
10,ztf,59636.35187500017,1882351875315015001,2,1882351875315,20.113594,1,1882,1.7458938,19.338823,19.5264,0.14384602,0.2301,149.3386132,36.8772427,0.93,t17_f5_c3,0.9999958,19.3707,0.2544,667120253.0,True,False,False,correction_1.0.6,0.0,
11,ztf,59638.383842600044,1884383845315015005,2,1884383845315,19.632,1,1884,1.54352,19.4744,19.4598,0.17523,0.275,149.3385923,36.8771708,0.667143,t17_f5_c3,,19.5499,0.3827,,False,False,False,correction_1.0.6,0.0,1.884384320615015e+18
12,ztf,59638.38432870014,1884384320615015010,2,1884384320615,19.991278,1,1884,1.9895338,19.422098,19.2664,0.14748248,0.1902,149.3386102,36.8772591,0.94142854,t17_f5_c3,0.94516134,19.1914,0.2265,711120206.0,True,False,False,correction_1.0.6,0.0,
13,ztf,59640.35640050005,1886356405315015000,1,1886356405315,20.3782,1,1886,1.97411,19.8223,19.4111,0.180997,0.1603,149.3387447,36.8771768,0.701429,t17_f5_c3,,19.3344,0.19,,False,False,False,correction_1.0.6,0.0,1.886389525315015e+18
14,ztf,59640.356886600144,1886356880615015010,1,1886356880615,20.6618,1,1886,1.78674,19.8793,19.8942,0.168671,0.2216,149.338584,36.8772022,0.948571,t17_f5_c3,,20.1955,0.3699,,False,False,False,correction_1.0.6,0.0,1.886389525315015e+18
15,ztf,59640.389525500126,1886389525315015004,2,1886389525315,20.244274,1,1886,1.791148,19.431913,19.6263,0.14004679,0.2254,149.3386179,36.8772578,0.9285714,t17_f5_c3,0.999945,19.5702,0.2716,667120253.0,True,False,False,correction_1.0.6,0.0,
