,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59637.3662268999,1883366225515015003,1,1883366225515,20.127836,1,1883,3.4791896,18.392324,18.3403,0.09184205,0.059,217.8415114,71.6639466,0.8357143,t17_f5_c3,0.9999654,18.2375,0.0682,845120155.0,True,False,False,correction_1.0.6,0.0,
1,ztf,59637.4375,1883437505515015004,2,1883437505515,20.043407,1,1883,2.239148,18.486382,18.5612,0.08009468,0.0845,217.8413913,71.6639525,0.9342857,t17_f5_c3,0.9999999,18.6307,0.1146,845120255.0,True,False,False,correction_1.0.6,0.0,
2,ztf,59639.306631899904,1885306635515015005,2,1885306635515,19.658337,1,1885,2.2090256,18.438934,18.4034,0.0894038,0.0764,217.8413406,71.6639378,0.5714286,t17_f5_c3,0.9997992,18.4023,0.0972,845120255.0,True,False,False,correction_1.0.6,0.0,
3,ztf,59639.34937500022,1885349375515015002,1,1885349375515,19.901081,1,1885,3.3921437,18.199085,18.3062,0.079753734,0.054,217.8413581,71.6639565,0.60571426,t17_f5_c3,0.9999335,18.2795,0.0667,845120155.0,True,False,False,correction_1.0.6,0.0,
4,ztf,59641.30288190022,1887302885515015026,2,1887302885515,20.106968,1,1887,2.3200116,18.277893,18.3603,0.060529254,0.0836,217.8414903,71.6639678,0.94714284,t17_f5_c3,0.99970275,18.4691,0.1176,845120255.0,True,False,False,correction_1.0.6,0.0,
5,ztf,59671.36541670002,1917365415515015016,2,1917365415515,20.531399,1,1917,2.231336,19.087915,18.9831,0.079322755,0.0995,217.8413721,71.6639442,0.9085714,t17_f5_c3,0.9999107,18.9557,0.1234,845120255.0,True,False,False,correction_1.0.6,0.0,
6,ztf,59671.36541670002,1917365415515025015,2,1917365415515,20.5421,1,1917,2.23132,19.096,19.0155,0.083918,0.1021,217.8413743,71.6639458,0.907143,t17_f5_c3,,18.9913,0.1269,,False,False,False,correction_1.0.6,0.0,1.936326715515015e+18
7,ztf,59671.44048610004,1917440485515025018,1,1917440485515,20.753,1,1917,3.61616,20.0644,20.2372,0.150294,0.2435,217.8414701,71.6640116,0.645714,t17_f5_c3,,19.979,0.2455,,False,False,False,correction_1.0.6,0.0,1.936326715515015e+18
8,ztf,59671.44048610004,1917440485515015015,1,1917440485515,20.760738,1,1917,3.6089232,20.088266,20.2901,0.15385258,0.2535,217.8414616,71.6640112,0.63714284,t17_f5_c3,0.99988663,20.019,0.2527,845120155.0,True,False,False,correction_1.0.6,0.0,
9,ztf,59674.40674770018,1920406745515015009,1,1920406745515,20.507942,1,1920,3.4398446,20.20757,19.835,0.1801549,0.1936,217.841449,71.6639491,0.24857143,t17_f5_c3,0.9998029,19.6607,0.2111,845120155.0,True,False,False,correction_1.0.6,0.0,
10,ztf,59674.4631829001,1920463185515015011,2,1920463185515,20.21973,1,1920,2.3444386,19.2015,19.1578,0.09523164,0.1415,217.8414979,71.6639568,0.88285714,t17_f5_c3,0.9999998,19.1911,0.1863,845120255.0,True,False,False,correction_1.0.6,0.0,
11,ztf,59676.453252300154,1922453255515015004,2,1922453255515,19.599169,1,1922,2.396948,19.286402,19.2573,0.14155783,0.1682,217.8415441,71.6639517,0.42857143,t17_f5_c3,0.9986084,19.1577,0.1965,845120255.0,True,False,False,correction_1.0.6,0.0,
12,ztf,59678.35045140004,1924350455515015013,1,1924350455515,20.451492,1,1924,3.5331726,20.229092,19.916,0.1992707,0.2489,217.8415379,71.6639594,0.45714286,t17_f5_c3,0.9994504,19.8179,0.2911,845120155.0,True,False,False,correction_1.0.6,0.0,
13,ztf,59678.388773099985,1924388775515015008,2,1924388775515,20.403402,1,1924,2.3325086,19.35768,19.325,0.11026554,0.1575,217.841451,71.663934,0.8757143,t17_f5_c3,0.99964,19.3646,0.2086,845120255.0,True,False,False,correction_1.0.6,0.0,
14,ztf,59682.3472684999,1928347265515015005,2,1928347265515,19.634367,1,1928,1.7274295,19.665829,19.4654,0.20736894,0.2757,217.8410143,71.6640436,0.38,t17_f5_c3,0.9993635,19.344,0.3162,845120255.0,True,False,False,correction_1.0.6,0.0,
15,ztf,59684.34825230017,1930348255515015009,2,1930348255515,19.585499,1,1930,2.266321,19.618551,19.3281,0.20305999,0.2779,217.8412581,71.6638586,0.41714287,t17_f5_c3,0.9308091,19.1764,0.3103,845120255.0,True,False,False,correction_1.0.6,0.0,
16,ztf,59687.40773149999,1933407735515015006,2,1933407735515,19.806404,1,1933,2.2987232,19.558151,19.6523,0.16931203,0.3609,217.8415129,71.6640088,0.80714285,t17_f5_c3,0.9999874,19.8116,0.5362,845120255.0,True,False,False,correction_1.0.6,0.0,
17,ztf,59690.30515050003,1936305155515015011,1,1936305155515,20.5147,1,1936,3.52499,20.6911,21.2716,0.254576,0.7413,217.8415044,71.6639672,0.52,t17_f5_c3,,20.681,0.5526,,False,False,False,correction_1.0.6,0.0,1.936326715515015e+18
18,ztf,59690.32671299996,1936326715515015006,2,1936326715515,20.157623,1,1936,2.1539931,19.955448,20.3208,0.18524651,0.4512,217.8413011,71.6639522,0.7942857,t17_f5_c3,0.9999165,20.1208,0.4815,845120255.0,True,False,False,correction_1.0.6,0.0,
19,ztf,59694.27810190013,1940278105515015013,2,1940278105515,20.284609,1,1940,2.296309,19.974873,20.1807,0.2147012,0.3743,217.8414477,71.663953,0.62857145,t17_f5_c3,0.99995697,20.2338,0.5036,845120255.0,True,False,False,correction_1.0.6,0.0,
